Location,Instr_ID,Date_,Avg_FlowRa,DailyFlow_
WS80,Weir80,1/1/2003,82.012,7085.837
WS80,Weir80,1/2/2003,73.203,6324.771
WS80,Weir80,1/3/2003,46.329,4002.841
WS80,Weir80,1/4/2003,30.346,2621.898
WS80,Weir80,1/5/2003,20.875,1803.582
WS80,Weir80,1/6/2003,16.631,1436.903
WS80,Weir80,1/7/2003,16.475,1423.454
WS80,Weir80,1/8/2003,15.02,1297.705
WS80,Weir80,1/9/2003,9.222,796.779
WS80,Weir80,1/10/2003,6.876,594.047
WS80,Weir80,1/11/2003,NULL,NULL
WS80,Weir80,1/12/2003,NULL,NULL
WS80,Weir80,1/13/2003,NULL,NULL
WS80,Weir80,1/14/2003,3.561,307.711
WS80,Weir80,1/15/2003,3.725,321.803
WS80,Weir80,1/16/2003,3.34,288.56
WS80,Weir80,1/17/2003,3.277,283.134
WS80,Weir80,1/18/2003,2.924,252.663
WS80,Weir80,1/19/2003,2.482,214.467
WS80,Weir80,1/20/2003,2.251,194.469
WS80,Weir80,1/21/2003,2.323,200.744
WS80,Weir80,1/22/2003,3.356,289.935
WS80,Weir80,1/23/2003,4.867,420.532
WS80,Weir80,1/24/2003,3.223,278.496
WS80,Weir80,1/25/2003,2.367,204.5
WS80,Weir80,1/26/2003,2.293,198.147
WS80,Weir80,1/27/2003,2.021,174.581
WS80,Weir80,1/28/2003,1.367,118.081
WS80,Weir80,1/29/2003,1.199,103.634
WS80,Weir80,1/30/2003,1.509,130.385
WS80,Weir80,1/31/2003,1.525,131.773
WS80,Weir80,2/1/2003,1.899,164.034
WS80,Weir80,2/2/2003,2.252,194.587
WS80,Weir80,2/3/2003,2.093,180.83
WS80,Weir80,2/4/2003,1.412,122.037
WS80,Weir80,2/5/2003,0.978,84.498
WS80,Weir80,2/6/2003,0.912,78.818
WS80,Weir80,2/7/2003,5.811,502.08
WS80,Weir80,2/8/2003,7.931,685.229
WS80,Weir80,2/9/2003,6.557,566.485
WS80,Weir80,2/10/2003,8.931,771.666
WS80,Weir80,2/11/2003,10.879,939.919
WS80,Weir80,2/12/2003,7.634,659.612
WS80,Weir80,2/13/2003,6.046,522.35
WS80,Weir80,2/14/2003,4.185,361.551
WS80,Weir80,2/15/2003,3.39,292.935
WS80,Weir80,2/16/2003,3.55,306.738
WS80,Weir80,2/17/2003,8.495,733.932
WS80,Weir80,2/18/2003,8.132,702.605
WS80,Weir80,2/19/2003,6.072,524.597
WS80,Weir80,2/20/2003,4.751,410.485
WS80,Weir80,2/21/2003,4.16,359.383
WS80,Weir80,2/22/2003,8.185,707.197
WS80,Weir80,2/23/2003,27.215,2351.347
WS80,Weir80,2/24/2003,16.661,1439.543
WS80,Weir80,2/25/2003,11.187,966.578
WS80,Weir80,2/26/2003,8.404,726.135
WS80,Weir80,2/27/2003,23.413,2022.899
WS80,Weir80,2/28/2003,35.532,3069.957
WS80,Weir80,3/1/2003,40.894,3533.237
