WS,Year,Month,Day,Date,EST,Ca,Mg,K,Na,Al_Ferron,TMAl,OMAl,Al_ICP,NH4,pH,SO4,NO3,Cl,PO4,DOC,TDN,DON,DIC,SiO2,Mn,Fe,F,ANC,Cation,Anion,SpecCond,TheoryCond,Temp_C,GageHt,Flow,Hydro,FieldCode,VarCode,IonBal,IonErr,Qcode,Pass
8,1974,7,15,7/15/1974,1125,1.25,0.37,0.23,0.85,-888.88,-888.89,-888.89,-888.88,0.01,4.91,5.9,0.62,0.48,-888.89,-888.88,-888.88,-888.88,-888,-888.88,-888.88,-888.88,-888.88,-888.8,148.3,146.2,22,23.5,-888.8,0.25,4.17, L ,0, IOQ ,2.1,1.4,0,T
8,1974,7,22,7/22/1974,1200,1.2,0.39,0.2,0.9,-888.88,-888.89,-888.89,-888.88,0.01,5.02,5.8,0.66,0.3,-888.89,-888.88,-888.88,-888.88,-888,-888.88,-888.88,-888.88,-888.88,-888.8,146.1,139.7,21,22,-888.8,0.22,3.04, L ,0, IOQ ,6.4,4.5,8,T
8,1974,7,29,7/29/1974,1200,1.2,0.4,0.23,1.05,-888.88,-888.89,-888.89,-888.88,0.01,5.17,5.8,0.84,0.44,-888.89,-888.88,-888.88,-888.88,-888,-888.88,-888.88,-888.88,-888.88,-888.8,151.4,146.6,20.5,22,-888.8,0.21,2.59, L ,0, IOQ ,4.8,3.2,8,T
8,1974,8,5,8/5/1974,1200,1.3,0.36,0.18,0.52,-888.88,-888.89,-888.89,-888.88,0.01,4.53,6.7,0.66,0.45,-888.89,-888.88,-888.88,-888.88,-888,-888.88,-888.88,-888.88,-888.88,-888.8,151.5,162.7,30,30.1,-888.8,0.56,30.59, F ,0, IOQ ,-11.2,-7.1,0,T
8,1974,8,12,8/12/1974,1200,1.25,0.41,0.19,0.98,-888.88,-888.89,-888.89,-888.88,0.01,5.12,5.6,0.89,0.47,-888.89,-888.88,-888.88,-888.88,-888,-888.88,-888.88,-888.88,-888.88,-888.8,151.5,144.1,22,22,-888.8,0.18,1.76, L ,0, IOQ ,7.4,5,8,T
8,1974,8,19,8/19/1974,1200,1.3,0.4,0.22,0.98,-888.88,-888.89,-888.89,-888.88,0.01,5.14,6,1.03,0.45,-888.89,-888.88,-888.88,-888.88,-888,-888.88,-888.88,-888.88,-888.88,-888.8,153.6,154.1,23,22.8,-888.8,0.23,3.43, L ,0, IOQ ,-0.5,-0.3,8,T
8,1974,8,26,8/26/1974,1200,1.18,0.38,0.23,1.13,-888.88,-888.89,-888.89,-888.88,0.01,5.68,5.28,0.97,0.64,-888.89,-888.88,-888.88,-888.88,-888,-888.88,-888.88,-888.88,-888.88,-888.8,147.6,143.5,16,20.1,-888.8,0.14,0.93, L ,0, IOQ ,4.1,2.8,8,T
8,1974,9,3,9/3/1974,1100,1.13,0.37,0.23,0.7,-888.88,-888.89,-888.89,-888.88,0.01,4.84,6.17,0.67,0.46,-888.89,-888.88,-888.88,-888.88,-888,-888.88,-888.88,-888.88,-888.88,-888.8,137.9,152.1,21,24,-888.8,0.44,16.34, R ,0, IOQ ,-14.2,-9.8,0,T
8,1974,9,9,9/9/1974,1200,1.24,0.36,0.13,0.85,-888.88,-888.89,-888.89,-888.88,0.01,4.9,5.65,0.8,0.4,-888.89,-888.88,-888.88,-888.88,-888,-888.88,-888.88,-888.88,-888.88,-888.8,144.7,141.7,22.5,22.9,-888.8,0.25,4.21, L ,0, IOQ ,3,2.1,8,T
8,1974,9,16,9/16/1974,1200,1.2,0.37,0.13,0.85,-888.88,-888.89,-888.89,-888.88,0.01,4.95,5.65,0.62,0.43,-888.89,-888.88,-888.88,-888.88,-888,-888.88,-888.88,-888.88,-888.88,-888.8,142.1,139.6,22,22.2,-888.8,0.26,4.63, L ,0, IOQ ,2.5,1.8,8,T
8,1974,9,23,9/23/1974,1200,1.37,0.4,0.17,0.72,-888.88,-888.89,-888.89,-888.88,0.01,4.66,6.67,0.62,0.41,-888.89,-888.88,-888.88,-888.88,-888,-888.88,-888.88,-888.88,-888.88,-888.8,159.1,160.3,26,28,-888.8,0.45,17.75, L ,0, IOQ ,-1.2,-0.8,8,T
8,1974,9,30,9/30/1974,1240,1.37,0.37,0.19,0.55,-888.88,-888.89,-888.89,-888.88,0.01,4.53,6.98,0.75,0.4,-888.89,-888.88,-888.88,-888.88,-888,-888.88,-888.88,-888.88,-888.88,-888.8,157.4,168.5,29,30.9,-888.8,0.7,52.2, F ,0, IOQ ,-11.1,-6.8,0,T
8,1974,10,7,10/7/1974,1200,1.39,0.4,0.26,0.84,-888.88,-888.89,-888.89,-888.88,0.01,4.88,6.25,0.75,0.38,-888.89,-888.88,-888.88,-888.88,-888,-888.88,-888.88,-888.88,-888.88,-888.8,158.9,152.8,23,24.9,-888.8,0.32,7.41, L ,0, IOQ ,6.1,3.9,8,T
8,1974,10,15,10/15/1974,1200,1.43,0.44,0.7,0.98,-888.88,-888.89,-888.89,-888.88,0.01,5.13,6.34,0.62,0.46,-888.89,-888.88,-888.88,-888.88,-888,-888.88,-888.88,-888.88,-888.88,-888.8,175.8,154.8,22,24.5,-888.8,0.31,6.85, L ,0, IOQ ,21,12.7,8,T
8,1974,10,21,10/21/1974,1200,1.36,0.44,0.29,0.8,-888.88,-888.89,-888.89,-888.88,0.01,4.86,6.34,0.8,0.38,-888.89,-888.88,-888.88,-888.88,-888,0.78,-888.88,-888.88,-888.88,-888.8,160.4,155.5,23.5,25.4,-888.8,0.32,7.88, L ,0, IO ,4.9,3.1,8,T
8,1974,11,4,11/4/1974,1200,1.39,0.46,0.33,0.92,-888.88,-888.89,-888.89,-888.88,0.01,5,6.1,1.11,0.41,-888.89,-888.88,-888.88,-888.88,-888,-888.88,-888.88,-888.88,-888.88,-888.8,166,156.3,22.5,24.6,-888.8,0.31,7.13, L ,0, IOQ ,9.7,6,8,T
8,1974,11,11,11/11/1974,1200,1.43,0.47,0.27,0.83,-888.88,-888.89,-888.89,-888.88,0.01,4.85,6.18,1.37,0.39,-888.89,-888.88,-888.88,-888.88,-888,-888.88,-888.88,-888.88,-888.88,-888.8,167.5,161.6,24,26.2,-888.8,0.32,7.41, L ,0, IOQ ,5.9,3.6,8,T
8,1974,11,18,11/18/1974,1200,1.47,0.46,0.26,0.8,-888.88,-888.89,-888.89,-888.88,0.01,4.77,6.02,1.59,0.37,-888.89,-888.88,-888.88,-888.88,-888,-888.88,-888.88,-888.88,-888.88,-888.8,169.9,161.2,25,27.2,-888.8,0.34,8.94, L ,0, IOQ ,8.7,5.3,8,T
8,1974,11,25,11/25/1974,1200,1.43,0.42,0.27,0.58,-888.88,-888.89,-888.89,-888.88,0.01,4.52,6.8,1.9,0.54,-888.89,-888.88,-888.88,-888.88,-888,-888.88,-888.88,-888.88,-888.88,-888.8,168.5,187.3,31,33.1,-888.8,0.68,48.79, L ,0, IOQ ,-18.8,-10.6,8,T
8,1974,12,2,12/2/1974,1200,2.08,0.45,0.25,0.86,-888.88,-888.89,-888.89,-888.88,0.01,4.81,5.69,2.13,0.52,-888.89,-888.88,-888.88,-888.88,-888,-888.88,-888.88,-888.88,-888.88,-888.8,200.4,167.3,25,28.9,-888.8,0.31,6.85, L ,0, IOQ ,33.1,18,8,T
8,1974,12,10,12/10/1974,1200,2.44,0.44,0.29,0.63,-888.88,-888.89,-888.89,-888.88,0.01,4.58,6.02,2.79,0.62,-888.89,-888.88,-888.88,-888.88,-888,-888.88,-888.88,-888.88,-888.88,-888.8,219.4,187.6,30,34.8,-888.8,0.55,28.76, L ,0, IOQ ,31.8,15.6,8,T
8,1974,12,16,12/16/1974,1200,1.51,0.46,0.27,0.83,-888.88,-888.89,-888.89,-888.88,0.01,4.76,5.65,2.48,0.52,-888.89,-888.88,-888.88,-888.88,-888,-888.88,-888.88,-888.88,-888.88,-888.8,173.9,172.1,26,28.3,-888.8,0.31,7.13, L ,0, IOQ ,1.8,1,8,T
8,1974,12,23,12/23/1974,1200,1.51,0.46,0.26,0.92,-888.88,-888.89,-888.89,-888.88,0.01,4.87,5.43,2.35,0.43,-888.89,-888.88,-888.88,-888.88,-888,-888.88,-888.88,-888.88,-888.88,-888.8,173.6,162.9,24,26.4,-888.8,0.27,5.08, L ,0, IOQ ,10.7,6.4,8,T
8,1975,1,6,1/6/1975,1200,1.46,0.48,0.27,1.05,-888.88,-888.89,-888.89,-888.88,0.01,5.1,5.31,2.3,0.42,-888.89,-888.88,-888.88,-888.88,-888,-888.88,-888.88,-888.88,-888.88,-888.8,173.2,159.3,22,24.4,-888.8,0.21,2.75, L ,0, IOQ ,13.9,8.4,8,T
8,1975,1,13,1/13/1975,1200,2.2,0.53,0.28,0.86,-888.88,-888.89,-888.89,-888.88,0.01,4.74,6.14,2.7,0.47,-888.89,-888.88,-888.88,-888.88,-888,-888.88,-888.88,-888.88,-888.88,-888.8,216.5,184.4,28,31.9,-888.8,0.32,7.41, L ,0, IOQ ,32.1,16,8,T
8,1975,1,20,1/20/1975,1200,1.53,0.5,0.29,0.97,-888.88,-888.89,-888.89,-888.88,0.01,4.99,5.57,2.48,0.45,-888.89,-888.88,-888.88,-888.88,-888,-888.88,-888.88,-888.88,-888.88,-888.8,177.6,168.5,24.5,26,-888.8,0.23,3.25, L ,0, IOQ ,9.1,5.3,8,T
8,1975,1,27,1/27/1975,1200,1.5,0.5,0.28,1.05,-888.88,-888.89,-888.89,-888.88,0.01,5.12,5.35,2.48,0.43,-888.89,-888.88,-888.88,-888.88,-888,-888.88,-888.88,-888.88,-888.88,-888.8,176.7,163.3,23,24.8,-888.8,0.21,2.71, L ,0, IOQ ,13.4,7.9,8,T
8,1975,2,3,2/3/1975,1200,1.53,0.51,0.29,1.05,-888.88,-888.89,-888.89,-888.88,0.01,5.1,5.43,2.61,0.42,-888.89,-888.88,-888.88,-888.88,-888,-888.88,-888.88,-888.88,-888.88,-888.8,179.6,166.8,23.5,25.3,-888.8,0.21,2.75, L ,0, IOQ ,12.8,7.4,8,T
8,1975,2,10,2/10/1975,1200,1.53,0.51,0.27,1.11,-888.88,-888.89,-888.89,-888.88,0.01,5.23,5.27,2.48,0.43,-888.89,-888.88,-888.88,-888.88,-888,-888.88,-888.88,-888.88,-888.88,-888.8,179.7,161.7,22,24.3,-888.8,0.2,2.29, L ,0, IOQ ,18,10.5,8,T
8,1975,2,18,2/18/1975,1200,1.34,0.53,0.3,1.15,-888.88,-888.89,-888.89,-888.88,0.01,5.62,4.38,2.44,0.53,-888.89,-888.88,-888.88,-888.88,-888,-888.88,-888.88,-888.88,-888.88,-888.8,170.9,145.3,18.7,21.4,-888.8,0.18,1.96, L ,0, IOQ ,25.6,16.2,8,T
8,1975,2,24,2/24/1975,900,1.38,0.55,0.3,1.1,-888.88,-888.89,-888.89,-888.88,0.01,5.33,5.02,2.84,0.5,-888.89,-888.88,-888.88,-888.88,-888,-888.88,-888.88,-888.88,-888.88,-888.8,174.6,164.2,20.5,23.8,-888.8,0.22,3.08, L ,0, IOQ ,10.4,6.1,0,T
