Site,WS,Date,Q_Ls,Ca_mgL,DOC_mgL,NH4_mgL,NO3_mgL,SRP_mgL,SO4_mgL
ELA,EIF,1971-01-01T05:00:00Z,0,NA,NA,NA,NA,NA,NA
ELA,EIF,1971-01-02T05:00:00Z,0,NA,NA,NA,NA,NA,NA
ELA,EIF,1971-01-03T05:00:00Z,0,NA,NA,NA,NA,NA,NA
ELA,EIF,1971-01-04T05:00:00Z,0,NA,NA,NA,NA,NA,NA
ELA,EIF,1971-01-05T05:00:00Z,0,NA,NA,NA,NA,NA,NA
ELA,EIF,1971-01-06T05:00:00Z,0,NA,NA,NA,NA,NA,NA
ELA,EIF,1971-01-07T05:00:00Z,0,NA,NA,NA,NA,NA,NA
ELA,EIF,1971-01-08T05:00:00Z,0,NA,NA,NA,NA,NA,NA
ELA,EIF,1971-01-09T05:00:00Z,0,NA,NA,NA,NA,NA,NA
ELA,EIF,1971-01-10T05:00:00Z,0,NA,NA,NA,NA,NA,NA
ELA,EIF,1971-01-11T05:00:00Z,0,NA,NA,NA,NA,NA,NA
ELA,EIF,1971-01-12T05:00:00Z,0,NA,NA,NA,NA,NA,NA
ELA,EIF,1971-01-13T05:00:00Z,0,NA,NA,NA,NA,NA,NA
ELA,EIF,1971-01-14T05:00:00Z,0,NA,NA,NA,NA,NA,NA
ELA,EIF,1971-01-15T05:00:00Z,0,NA,NA,NA,NA,NA,NA
ELA,EIF,1971-01-16T05:00:00Z,0,NA,NA,NA,NA,NA,NA
ELA,EIF,1971-01-17T05:00:00Z,0,NA,NA,NA,NA,NA,NA
ELA,EIF,1971-01-18T05:00:00Z,0,NA,NA,NA,NA,NA,NA
ELA,EIF,1971-01-19T05:00:00Z,0,NA,NA,NA,NA,NA,NA
ELA,EIF,1971-01-20T05:00:00Z,0,NA,NA,NA,NA,NA,NA
ELA,EIF,1971-01-21T05:00:00Z,0,NA,NA,NA,NA,NA,NA
ELA,EIF,1971-01-22T05:00:00Z,0,NA,NA,NA,NA,NA,NA
ELA,EIF,1971-01-23T05:00:00Z,0,NA,NA,NA,NA,NA,NA
ELA,EIF,1971-01-24T05:00:00Z,0,NA,NA,NA,NA,NA,NA
ELA,EIF,1971-01-25T05:00:00Z,0,NA,NA,NA,NA,NA,NA
ELA,EIF,1971-01-26T05:00:00Z,0,NA,NA,NA,NA,NA,NA
ELA,EIF,1971-01-27T05:00:00Z,0,NA,NA,NA,NA,NA,NA
ELA,EIF,1971-01-28T05:00:00Z,0,NA,NA,NA,NA,NA,NA
ELA,EIF,1971-01-29T05:00:00Z,0,NA,NA,NA,NA,NA,NA
ELA,EIF,1971-01-30T05:00:00Z,0,NA,NA,NA,NA,NA,NA
ELA,EIF,1971-01-31T05:00:00Z,0,NA,NA,NA,NA,NA,NA
ELA,EIF,1971-02-01T05:00:00Z,0,NA,NA,NA,NA,NA,NA
ELA,EIF,1971-02-02T05:00:00Z,0,NA,NA,NA,NA,NA,NA
ELA,EIF,1971-02-03T05:00:00Z,0,NA,NA,NA,NA,NA,NA
ELA,EIF,1971-02-04T05:00:00Z,0,NA,NA,NA,NA,NA,NA
ELA,EIF,1971-02-05T05:00:00Z,0,NA,NA,NA,NA,NA,NA
ELA,EIF,1971-02-06T05:00:00Z,0,NA,NA,NA,NA,NA,NA
ELA,EIF,1971-02-07T05:00:00Z,0,NA,NA,NA,NA,NA,NA
ELA,EIF,1971-02-08T05:00:00Z,0,NA,NA,NA,NA,NA,NA
ELA,EIF,1971-02-09T05:00:00Z,0,NA,NA,NA,NA,NA,NA
ELA,EIF,1971-02-10T05:00:00Z,0,NA,NA,NA,NA,NA,NA
ELA,EIF,1971-02-11T05:00:00Z,0,NA,NA,NA,NA,NA,NA
ELA,EIF,1971-02-12T05:00:00Z,0,NA,NA,NA,NA,NA,NA
ELA,EIF,1971-02-13T05:00:00Z,0,NA,NA,NA,NA,NA,NA
ELA,EIF,1971-02-14T05:00:00Z,0,NA,NA,NA,NA,NA,NA
ELA,EIF,1971-02-15T05:00:00Z,0,NA,NA,NA,NA,NA,NA
ELA,EIF,1971-02-16T05:00:00Z,0,NA,NA,NA,NA,NA,NA
ELA,EIF,1971-02-17T05:00:00Z,0,NA,NA,NA,NA,NA,NA
ELA,EIF,1971-02-18T05:00:00Z,0,NA,NA,NA,NA,NA,NA
ELA,EIF,1971-02-19T05:00:00Z,0,NA,NA,NA,NA,NA,NA
ELA,EIF,1971-02-20T05:00:00Z,0,NA,NA,NA,NA,NA,NA
ELA,EIF,1971-02-21T05:00:00Z,0,NA,NA,NA,NA,NA,NA
ELA,EIF,1971-02-22T05:00:00Z,0,NA,NA,NA,NA,NA,NA
ELA,EIF,1971-02-23T05:00:00Z,0,NA,NA,NA,NA,NA,NA
ELA,EIF,1971-02-24T05:00:00Z,0,NA,NA,NA,NA,NA,NA
ELA,EIF,1971-02-25T05:00:00Z,0,NA,NA,NA,NA,NA,NA
ELA,EIF,1971-02-26T05:00:00Z,0,NA,NA,NA,NA,NA,NA
ELA,EIF,1971-02-27T05:00:00Z,0,NA,NA,NA,NA,NA,NA
ELA,EIF,1971-02-28T05:00:00Z,0,NA,NA,NA,NA,NA,NA
ELA,EIF,1971-03-01T05:00:00Z,0,NA,NA,NA,NA,NA,NA
ELA,EIF,1971-03-02T05:00:00Z,0,NA,NA,NA,NA,NA,NA
ELA,EIF,1971-03-03T05:00:00Z,0,NA,NA,NA,NA,NA,NA
ELA,EIF,1971-03-04T05:00:00Z,0,NA,NA,NA,NA,NA,NA
ELA,EIF,1971-03-05T05:00:00Z,0,NA,NA,NA,NA,NA,NA
ELA,EIF,1971-03-06T05:00:00Z,0,NA,NA,NA,NA,NA,NA
ELA,EIF,1971-03-07T05:00:00Z,0,NA,NA,NA,NA,NA,NA
ELA,EIF,1971-03-08T05:00:00Z,0,NA,NA,NA,NA,NA,NA
ELA,EIF,1971-03-09T05:00:00Z,0,NA,NA,NA,NA,NA,NA
ELA,EIF,1971-03-10T05:00:00Z,0,NA,NA,NA,NA,NA,NA
ELA,EIF,1971-03-11T05:00:00Z,0,NA,NA,NA,NA,NA,NA
ELA,EIF,1971-03-12T05:00:00Z,0,NA,NA,NA,NA,NA,NA
ELA,EIF,1971-03-13T05:00:00Z,0,NA,NA,NA,NA,NA,NA
ELA,EIF,1971-03-14T05:00:00Z,0,NA,NA,NA,NA,NA,NA
ELA,EIF,1971-03-15T05:00:00Z,0,NA,NA,NA,NA,NA,NA
ELA,EIF,1971-03-16T05:00:00Z,0,NA,NA,NA,NA,NA,NA
ELA,EIF,1971-03-17T05:00:00Z,0,NA,NA,NA,NA,NA,NA
ELA,EIF,1971-03-18T05:00:00Z,0,NA,NA,NA,NA,NA,NA
ELA,EIF,1971-03-19T05:00:00Z,0,NA,NA,NA,NA,NA,NA
ELA,EIF,1971-03-20T05:00:00Z,0,NA,NA,NA,NA,NA,NA
ELA,EIF,1971-03-21T05:00:00Z,0,NA,NA,NA,NA,NA,NA
ELA,EIF,1971-03-22T05:00:00Z,0,NA,NA,NA,NA,NA,NA
ELA,EIF,1971-03-23T05:00:00Z,0,NA,NA,NA,NA,NA,NA
ELA,EIF,1971-03-24T05:00:00Z,0,NA,NA,NA,NA,NA,NA
ELA,EIF,1971-03-25T05:00:00Z,0,NA,NA,NA,NA,NA,NA
ELA,EIF,1971-03-26T05:00:00Z,0,NA,NA,NA,NA,NA,NA
ELA,EIF,1971-03-27T05:00:00Z,0,NA,NA,NA,NA,NA,NA
ELA,EIF,1971-03-28T05:00:00Z,0,NA,NA,NA,NA,NA,NA
ELA,EIF,1971-03-29T05:00:00Z,0,NA,NA,NA,NA,NA,NA
ELA,EIF,1971-03-30T05:00:00Z,0,NA,NA,NA,NA,NA,NA
ELA,EIF,1971-03-31T05:00:00Z,0,NA,NA,NA,NA,NA,NA
ELA,EIF,1971-04-01T05:00:00Z,0,NA,NA,NA,NA,NA,NA
ELA,EIF,1971-04-02T05:00:00Z,0,NA,NA,NA,NA,NA,NA
ELA,EIF,1971-04-03T05:00:00Z,0,NA,NA,NA,NA,NA,NA
ELA,EIF,1971-04-04T05:00:00Z,0,NA,NA,NA,NA,NA,NA
ELA,EIF,1971-04-05T05:00:00Z,0,NA,NA,NA,NA,NA,NA
ELA,EIF,1971-04-06T05:00:00Z,0,NA,NA,NA,NA,NA,NA
ELA,EIF,1971-04-07T05:00:00Z,22.1,NA,NA,NA,NA,NA,NA
ELA,EIF,1971-04-08T05:00:00Z,47.9,NA,NA,NA,NA,NA,NA
ELA,EIF,1971-04-09T05:00:00Z,68.5,NA,NA,NA,NA,NA,NA
ELA,EIF,1971-04-10T05:00:00Z,90.6,NA,NA,NA,NA,NA,NA
ELA,EIF,1971-04-11T05:00:00Z,112.69999999999999,NA,NA,NA,NA,NA,NA
ELA,EIF,1971-04-12T05:00:00Z,136.8,NA,NA,NA,NA,NA,NA
