Site,WS,Date,Q_Ls,Ca_mgL,DOC_mgL,NH4_mgL,NO3_mgL,SRP_mgL,SO4_mgL
SEF,WS80,1985-10-31T05:00:00Z,NA,NA,NA,NA,NA,NA,NA
SEF,WS80,1985-11-01T05:00:00Z,NA,NA,NA,NA,NA,NA,NA
SEF,WS80,1985-11-02T05:00:00Z,NA,NA,NA,NA,NA,NA,NA
SEF,WS80,1985-11-03T05:00:00Z,NA,NA,NA,NA,NA,NA,NA
SEF,WS80,1985-11-04T05:00:00Z,NA,NA,NA,NA,NA,NA,NA
SEF,WS80,1985-11-05T05:00:00Z,NA,NA,NA,NA,NA,NA,NA
SEF,WS80,1985-11-06T05:00:00Z,NA,NA,NA,NA,NA,NA,NA
SEF,WS80,1985-11-07T05:00:00Z,NA,NA,NA,NA,NA,NA,NA
SEF,WS80,1985-11-08T05:00:00Z,NA,NA,NA,NA,NA,NA,NA
SEF,WS80,1985-11-09T05:00:00Z,NA,NA,NA,NA,NA,NA,NA
SEF,WS80,1985-11-10T05:00:00Z,NA,NA,NA,NA,NA,NA,NA
SEF,WS80,1985-11-11T05:00:00Z,NA,NA,NA,NA,NA,NA,NA
SEF,WS80,1985-11-12T05:00:00Z,NA,NA,NA,NA,NA,NA,NA
SEF,WS80,1985-11-13T05:00:00Z,NA,NA,NA,NA,NA,NA,NA
SEF,WS80,1985-11-14T05:00:00Z,NA,NA,NA,NA,NA,NA,NA
SEF,WS80,1985-11-15T05:00:00Z,NA,NA,NA,NA,NA,NA,NA
SEF,WS80,1985-11-16T05:00:00Z,NA,NA,NA,NA,NA,NA,NA
SEF,WS80,1985-11-17T05:00:00Z,NA,NA,NA,NA,NA,NA,NA
SEF,WS80,1985-11-18T05:00:00Z,NA,NA,NA,NA,NA,NA,NA
SEF,WS80,1985-11-19T05:00:00Z,NA,NA,NA,NA,NA,NA,NA
SEF,WS80,1985-11-20T05:00:00Z,NA,NA,NA,NA,NA,NA,NA
SEF,WS80,1985-11-21T05:00:00Z,NA,NA,NA,NA,NA,NA,NA
SEF,WS80,1985-11-22T05:00:00Z,NA,NA,NA,NA,NA,NA,NA
SEF,WS80,1985-11-23T05:00:00Z,NA,NA,NA,NA,NA,NA,NA
SEF,WS80,1985-11-24T05:00:00Z,NA,NA,NA,NA,NA,NA,NA
SEF,WS80,1985-11-25T05:00:00Z,NA,NA,NA,NA,NA,NA,NA
SEF,WS80,1985-11-26T05:00:00Z,NA,NA,NA,NA,NA,NA,NA
SEF,WS80,1985-11-27T05:00:00Z,NA,NA,NA,NA,NA,NA,NA
SEF,WS80,1985-11-28T05:00:00Z,NA,NA,NA,NA,NA,NA,NA
SEF,WS80,1985-11-29T05:00:00Z,NA,NA,NA,NA,NA,NA,NA
SEF,WS80,1985-11-30T05:00:00Z,NA,NA,NA,NA,NA,NA,NA
SEF,WS80,1985-12-01T05:00:00Z,NA,NA,NA,NA,NA,NA,NA
SEF,WS80,1985-12-02T05:00:00Z,NA,NA,NA,NA,NA,NA,NA
SEF,WS80,1985-12-03T05:00:00Z,NA,NA,NA,NA,NA,NA,NA
SEF,WS80,1985-12-04T05:00:00Z,NA,NA,NA,NA,NA,NA,NA
SEF,WS80,1985-12-05T05:00:00Z,NA,NA,NA,NA,NA,NA,NA
SEF,WS80,1985-12-06T05:00:00Z,NA,NA,NA,NA,NA,NA,NA
SEF,WS80,1985-12-07T05:00:00Z,NA,NA,NA,NA,NA,NA,NA
SEF,WS80,1985-12-08T05:00:00Z,NA,NA,NA,NA,NA,NA,NA
SEF,WS80,1985-12-09T05:00:00Z,NA,NA,NA,NA,NA,NA,NA
SEF,WS80,1985-12-10T05:00:00Z,NA,NA,NA,NA,NA,NA,NA
SEF,WS80,1985-12-11T05:00:00Z,NA,NA,NA,NA,NA,NA,NA
SEF,WS80,1985-12-12T05:00:00Z,NA,NA,NA,NA,NA,NA,NA
SEF,WS80,1985-12-13T05:00:00Z,NA,NA,NA,NA,NA,NA,NA
SEF,WS80,1985-12-14T05:00:00Z,NA,NA,NA,NA,NA,NA,NA
SEF,WS80,1985-12-15T05:00:00Z,NA,NA,NA,NA,NA,NA,NA
SEF,WS80,1985-12-16T05:00:00Z,NA,NA,NA,NA,NA,NA,NA
SEF,WS80,1985-12-17T05:00:00Z,NA,NA,NA,NA,NA,NA,NA
SEF,WS80,1985-12-18T05:00:00Z,NA,NA,NA,NA,NA,NA,NA
SEF,WS80,1985-12-19T05:00:00Z,NA,NA,NA,NA,NA,NA,NA
SEF,WS80,1985-12-20T05:00:00Z,NA,NA,NA,NA,NA,NA,NA
SEF,WS80,1985-12-21T05:00:00Z,NA,NA,NA,NA,NA,NA,NA
