site,catchment,yr_first,yr_last,n_months,na_FWA_Ca,na_FWA_DOC,na_FWA_NH4,na_FWA_NO3,na_FWA_TDP,na_FWA_SO4
BBWM,EB,1981,2019,468,468,468,468,468,468,468
BBWM,WB,1981,2019,468,468,468,468,468,468,468
CWT,CWT07,2003,2017,180,0,53,0,0,70,0
CWT,CWT18,2003,2017,180,8,53,8,8,74,8
DOR,HP3,1981,2018,456,267,135,277,277,147,148
DOR,HP3A,1981,2018,456,233,99,232,232,99,102
DOR,HP5,1981,2018,456,277,143,276,277,143,146
DOR,HP6,1981,2018,456,279,152,278,279,154,154
DOR,HP6A,1981,2018,456,266,150,265,265,149,150
ELA,EIF,1971,2017,564,309,300,304,302,303,316
ELA,NEIF,1971,2017,564,304,298,298,302,297,315
ELA,NWIF,1971,2017,564,302,295,296,296,295,311
HBEF,WS1,1957,2020,804,142,212,212,212,234,688
HBEF,WS6,1965,2020,708,38,430,38,38,130,39
HBEF,WS7,1966,2020,696,373,450,373,373,420,373
HBEF,WS8,1967,2020,684,370,438,370,370,410,370
HBEF,WS9,1981,2020,516,328,270,328,328,328,328
HJA,HJA06,1964,2018,660,282,475,660,285,282,456
HJA,HJA07,1964,2018,660,274,471,660,274,273,448
HJA,HJA08,1964,2018,660,100,466,660,108,99,290
HJA,HJA09,1964,2018,660,62,467,660,62,61,265
HJA,HJA10,1964,2018,660,62,470,660,62,61,264
LEF,MPR,1980,2014,420,171,255,267,191,184,173
LEF,QS,1984,2014,372,243,314,314,247,320,248
LEF,RI,1980,2014,420,367,370,367,367,420,394
MEF,S2,1961,2016,672,423,539,422,448,423,462
MEF,S4,1961,2016,672,441,506,440,467,441,467
MEF,S5,1961,2016,672,453,521,452,481,453,480
MEF,S6,1961,2016,672,372,499,367,395,371,414
SEF,WS77,1963,2019,684,478,590,486,476,585,507
SEF,WS80,1963,2019,684,490,580,488,488,572,600
SLP,SLPW9,1992,2018,324,13,13,13,13,279,13
TLW,C31,1981,2018,456,157,235,157,157,171,157
TLW,C32,1981,2018,456,210,289,210,210,228,210
TLW,C33,1981,2018,456,184,267,184,184,200,184
TLW,C34,1981,2018,456,139,221,140,140,157,139
TLW,C35,1981,2018,456,158,254,160,160,178,160
TLW,C38,1981,2018,456,192,261,192,192,218,193
