solute,site,bias,loCI,upCI
Ca,"(BBWM,seas_1)",-0.0312,-0.0452,-0.0182
Ca,"(DOR,seas_1)",-0.12,-0.141,-0.0952
Ca,"(ELA,seas_1)",-0.132,-0.151,-0.114
Ca,"(HBEF,seas_1)",-0.0148,-0.0262,-0.00175
Ca,"(MEF,seas_1)",-0.145,-0.17,-0.125
Ca,"(TLW,seas_1)",-0.078,-0.101,-0.055
Ca,"(HJA,seas_1)",-0.114,-0.121,-0.106
Ca,"(BBWM,seas_2)",0.0119,-0.00332,0.0249
Ca,"(DOR,seas_2)",0.0185,-0.00318,0.0407
Ca,"(ELA,seas_2)",-0.0172,-0.037,0.0053
Ca,"(HBEF,seas_2)",0.017,0.00355,0.0276
Ca,"(MEF,seas_2)",0.017,-0.00402,0.0377
Ca,"(TLW,seas_2)",-0.0193,-0.0438,0.00566
Ca,"(HJA,seas_2)",-0.0799,-0.0882,-0.0714
Ca,BBWM,-0.00217,-0.00352,-8.78e-4
Ca,DOR,0.00131,-0.0133,0.0179
Ca,ELA,4.63e-5,-0.0109,0.00781
Ca,HBEF,-0.00107,-0.00872,0.00534
Ca,MEF,4.92e-4,-0.0107,0.011
Ca,TLW,-4.38e-4,-0.018,0.0157
Ca,HJA,1.8e-4,-3.52e-4,7.59e-4
DOC,"(BBWM,seas_1)",-0.0612,-0.0858,-0.038
DOC,"(DOR,seas_1)",-0.148,-0.176,-0.124
DOC,"(ELA,seas_1)",-0.137,-0.155,-0.116
DOC,"(HBEF,seas_1)",-0.0798,-0.123,-0.0437
DOC,"(MEF,seas_1)",-0.15,-0.167,-0.133
DOC,"(TLW,seas_1)",-0.105,-0.135,-0.0715
DOC,"(HJA,seas_1)",-0.106,-0.121,-0.0911
DOC,"(BBWM,seas_2)",-0.0303,-0.0536,-0.0109
DOC,"(DOR,seas_2)",-0.11,-0.135,-0.0829
DOC,"(ELA,seas_2)",-0.0693,-0.0983,-0.0457
DOC,"(HBEF,seas_2)",-0.0781,-0.113,-0.0432
DOC,"(MEF,seas_2)",-0.0442,-0.0627,-0.0238
DOC,"(TLW,seas_2)",-0.0606,-0.09,-0.0341
DOC,"(HJA,seas_2)",0.103,0.0873,0.12
DOC,BBWM,-5.46e-4,-0.00261,8.92e-4
DOC,DOR,0.0016,-0.02,0.0181
DOC,ELA,6.58e-4,-0.00461,0.00596
DOC,HBEF,0.00188,-0.0247,0.0259
DOC,MEF,2e-4,-0.00307,0.00309
DOC,TLW,3.54e-4,-0.0203,0.014
DOC,HJA,6.5e-4,-6.23e-4,0.002
NO3,"(BBWM,seas_1)",0.687,0.544,0.827
NO3,"(DOR,seas_1)",0.342,0.254,0.445
NO3,"(ELA,seas_1)",0.293,0.211,0.377
