site,catchment,yr_first,yr_last,n_years,na_FWA_Ca,na_FWA_DOC,na_FWA_NH4,na_FWA_NO3,na_FWA_TDP,na_FWA_SO4
BBWM,EB,1981,2019,39,24,23,22,15,39,14
BBWM,WB,1981,2019,39,18,18,20,16,39,16
CWT,CWT07,2003,2017,15,0,3,0,0,4,0
CWT,CWT18,2003,2017,15,0,3,0,0,4,0
DOR,HP3,1981,2018,38,22,11,23,23,12,12
DOR,HP3A,1981,2018,38,21,11,30,30,11,11
DOR,HP5,1981,2018,38,23,12,23,23,12,12
DOR,HP6,1981,2018,38,4,22,12,22,22,12
DOR,HP6A,1981,2018,38,4,19,8,19,19,8
ELA,EIF,1970,2017,48,5,5,5,5,5,6
ELA,NEIF,1970,2017,48,4,3,3,3,3,4
ELA,NWIF,1970,2017,48,4,4,4,4,4,5
HBEF,WS1,1957,2020,64,10,53,16,16,18,16
HBEF,WS6,1965,2020,56,3,32,3,3,10,3
HBEF,WS7,1966,2020,55,25,34,25,25,29,25
HBEF,WS8,1967,2020,54,26,33,26,26,28,26
HBEF,WS9,1981,2020,40,24,19,24,24,24,24
HJA,HJA06,1964,2018,55,23,39,55,23,23,36
HJA,HJA07,1964,2018,55,22,38,55,22,22,35
HJA,HJA08,1964,2018,55,8,37,55,8,8,22
HJA,HJA09,1964,2018,55,5,37,55,5,5,20
HJA,HJA10,1964,2018,55,5,38,55,5,5,20
LEF,MPR,1980,2014,35,35,35,35,35,35,35
LEF,QS,1984,2014,31,31,31,31,31,31,31
LEF,RI,1980,2014,35,35,35,35,35,35,35
MEF,S2,1961,2017,57,22,39,22,26,22,28
MEF,S4,1961,2017,57,28,39,28,31,28,31
MEF,S5,1961,2017,57,28,39,28,30,28,30
MEF,S6,1961,2017,57,22,39,22,26,22,28
SEF,WS77,1963,2019,57,32,44,33,32,43,36
SEF,WS80,1963,2019,57,33,42,33,33,41,49
SLP,SLPW9,1992,2018,27,0,0,0,0,21,0
TLW,C31,1981,2015,35,6,12,5,5,6,6
TLW,C32,1981,2015,35,7,14,6,6,7,7
TLW,C33,1981,2015,35,7,14,6,6,7,7
TLW,C34,1981,2015,35,6,12,5,5,6,6
TLW,C35,1981,2015,35,6,12,5,5,6,6
TLW,C38,1981,2015,35,7,13,6,6,7,7
