site,catchment,yr_first,yr_last,n_months,na_str_Ca,na_str_DOC,na_str_NH4,na_str_NO3,na_str_TDP,na_str_SO4
BBWM,EB,1981,2019,468,198,204,370,314,468,197
BBWM,WB,1981,2019,468,185,191,347,201,468,185
CWT,CWT07,2003,2017,180,0,53,0,0,70,0
CWT,CWT18,2003,2017,180,0,53,0,0,74,0
DOR,HP3,1981,2018,456,206,74,286,286,156,157
DOR,HP3A,1981,2018,456,205,71,204,204,71,74
DOR,HP5,1981,2018,456,276,142,275,276,142,145
DOR,HP6,1981,2018,456,278,151,277,278,153,153
DOR,HP6A,1981,2018,456,240,123,239,239,123,124
ELA,EIF,1971,2017,564,300,293,296,294,294,313
ELA,NEIF,1971,2017,564,294,289,288,292,287,309
ELA,NWIF,1971,2017,564,293,288,288,288,286,307
HBEF,WS1,1957,2020,804,142,688,212,212,234,212
HBEF,WS6,1965,2020,708,38,429,38,38,130,39
HBEF,WS7,1966,2020,696,373,450,373,373,420,373
HBEF,WS8,1967,2020,684,370,438,370,370,410,370
HBEF,WS9,1981,2020,516,328,270,328,328,328,328
HJA,HJA06,1964,2018,660,281,470,660,283,281,455
HJA,HJA07,1964,2018,660,280,476,660,280,280,454
HJA,HJA08,1964,2018,660,96,462,660,102,96,286
HJA,HJA09,1964,2018,660,60,462,660,60,60,261
HJA,HJA10,1964,2018,660,60,467,660,60,60,261
LEF,MPR,1980,2014,420,164,248,260,184,177,166
LEF,QS,1984,2014,372,80,183,186,101,133,87
LEF,RI,1980,2014,420,271,273,271,271,293,280
MEF,S2,1961,2016,672,423,539,422,448,423,462
MEF,S4,1961,2016,672,441,506,440,467,441,467
MEF,S5,1961,2016,672,453,521,452,481,453,480
MEF,S6,1961,2016,672,371,499,366,394,370,413
SEF,WS77,1963,2019,684,450,578,458,448,568,479
SEF,WS80,1963,2019,684,458,581,467,457,578,509
SLP,SLPW9,1992,2018,324,0,13,0,0,281,0
TLW,C31,1981,2018,456,156,234,156,156,178,157
TLW,C32,1981,2018,456,207,286,207,207,227,207
TLW,C33,1981,2018,456,184,267,184,184,200,184
TLW,C34,1981,2018,456,139,221,140,140,157,139
TLW,C35,1981,2018,456,160,254,160,160,178,160
TLW,C38,1981,2018,456,190,259,189,189,212,191
