Site,WS,Date,Q_Ls,Ca_mgL,DOC_mgL,NH4_mgL,NO3_mgL,SRP_mgL,SO4_mgL
ELA,EIF,1985-11-01T05:00:00Z,5.8,NA,NA,NA,NA,NA,NA
ELA,EIF,1985-11-02T05:00:00Z,5.8,NA,NA,NA,NA,NA,NA
ELA,EIF,1985-11-03T05:00:00Z,5.4,NA,NA,NA,NA,NA,NA
ELA,EIF,1985-11-04T05:00:00Z,5.1000000000000005,NA,NA,NA,NA,NA,NA
ELA,EIF,1985-11-05T05:00:00Z,5.4,NA,NA,NA,NA,NA,NA
ELA,EIF,1985-11-06T05:00:00Z,8,NA,NA,NA,NA,NA,NA
ELA,EIF,1985-11-07T05:00:00Z,7.8,NA,NA,NA,NA,NA,NA
ELA,EIF,1985-11-08T05:00:00Z,7.5,NA,NA,NA,NA,NA,NA
ELA,EIF,1985-11-09T05:00:00Z,7.3,NA,NA,NA,NA,NA,NA
ELA,EIF,1985-11-10T05:00:00Z,7.1000000000000005,NA,NA,NA,NA,NA,NA
ELA,EIF,1985-11-11T05:00:00Z,6.8,NA,NA,NA,NA,NA,NA
ELA,EIF,1985-11-12T05:00:00Z,6.6,NA,NA,NA,NA,NA,NA
ELA,EIF,1985-11-13T05:00:00Z,6.4,NA,NA,NA,NA,NA,NA
ELA,EIF,1985-11-14T05:00:00Z,6.1000000000000005,NA,NA,NA,NA,NA,NA
ELA,EIF,1985-11-15T05:00:00Z,5.8999999999999995,NA,NA,NA,NA,NA,NA
ELA,EIF,1985-11-16T05:00:00Z,5.7,NA,NA,NA,NA,NA,NA
ELA,EIF,1985-11-17T05:00:00Z,5.5,NA,NA,NA,NA,NA,NA
ELA,EIF,1985-11-18T05:00:00Z,5.2,NA,NA,NA,NA,NA,NA
ELA,EIF,1985-11-19T05:00:00Z,5,NA,NA,NA,NA,NA,NA
ELA,EIF,1985-11-20T05:00:00Z,4.8,NA,NA,NA,NA,NA,NA
ELA,EIF,1985-11-21T05:00:00Z,4.5,NA,NA,NA,NA,NA,NA
ELA,EIF,1985-11-22T05:00:00Z,4.3,NA,NA,NA,NA,NA,NA
ELA,EIF,1985-11-23T05:00:00Z,4.1000000000000005,NA,NA,NA,NA,NA,NA
ELA,EIF,1985-11-24T05:00:00Z,3.8,NA,NA,NA,NA,NA,NA
ELA,EIF,1985-11-25T05:00:00Z,3.6,NA,NA,NA,NA,NA,NA
ELA,EIF,1985-11-26T05:00:00Z,3.4,NA,NA,NA,NA,NA,NA
ELA,EIF,1985-11-27T05:00:00Z,3.1,NA,NA,NA,NA,NA,NA
ELA,EIF,1985-11-28T05:00:00Z,2.9,NA,NA,NA,NA,NA,NA
ELA,EIF,1985-11-29T05:00:00Z,2.8,NA,NA,NA,NA,NA,NA
ELA,EIF,1985-11-30T05:00:00Z,2.8,NA,NA,NA,NA,NA,NA
ELA,EIF,1985-12-01T05:00:00Z,2.7,NA,NA,NA,NA,NA,NA
ELA,EIF,1985-12-02T05:00:00Z,2.6,NA,NA,NA,NA,NA,NA
ELA,EIF,1985-12-03T05:00:00Z,2.5,NA,NA,NA,NA,NA,NA
ELA,EIF,1985-12-04T05:00:00Z,2.5,NA,NA,NA,NA,NA,NA
ELA,EIF,1985-12-05T05:00:00Z,2.4,NA,NA,NA,NA,NA,NA
ELA,EIF,1985-12-06T05:00:00Z,2.3,NA,NA,NA,NA,NA,NA
ELA,EIF,1985-12-07T05:00:00Z,2.2,NA,NA,NA,NA,NA,NA
ELA,EIF,1985-12-08T05:00:00Z,2.2,NA,NA,NA,NA,NA,NA
ELA,EIF,1985-12-09T05:00:00Z,2.1,3.87,10.3286,0.0403570042685293,0.027771998664621666,0.002284932083815942,1.851410170997113
ELA,EIF,1985-12-10T05:00:00Z,2.1,NA,NA,NA,NA,NA,NA
ELA,EIF,1985-12-11T05:00:00Z,2.1,NA,NA,NA,NA,NA,NA
ELA,EIF,1985-12-12T05:00:00Z,2,NA,NA,NA,NA,NA,NA
ELA,EIF,1985-12-13T05:00:00Z,2,NA,NA,NA,NA,NA,NA
ELA,EIF,1985-12-14T05:00:00Z,2,NA,NA,NA,NA,NA,NA
ELA,EIF,1985-12-15T05:00:00Z,2,NA,NA,NA,NA,NA,NA
ELA,EIF,1985-12-16T05:00:00Z,1.9,NA,NA,NA,NA,NA,NA
ELA,EIF,1985-12-17T05:00:00Z,1.9,NA,NA,NA,NA,NA,NA
ELA,EIF,1985-12-18T05:00:00Z,1.9,NA,NA,NA,NA,NA,NA
ELA,EIF,1985-12-19T05:00:00Z,1.9,NA,NA,NA,NA,NA,NA
ELA,EIF,1985-12-20T05:00:00Z,1.9,NA,NA,NA,NA,NA,NA
ELA,EIF,1985-12-21T05:00:00Z,1.8,NA,NA,NA,NA,NA,NA
ELA,EIF,1985-12-22T05:00:00Z,1.8,NA,NA,NA,NA,NA,NA
ELA,EIF,1985-12-23T05:00:00Z,1.8,NA,NA,NA,NA,NA,NA
ELA,EIF,1985-12-24T05:00:00Z,1.8,NA,NA,NA,NA,NA,NA
ELA,EIF,1985-12-25T05:00:00Z,1.7,NA,NA,NA,NA,NA,NA
ELA,EIF,1985-12-26T05:00:00Z,1.7,NA,NA,NA,NA,NA,NA
ELA,EIF,1985-12-27T05:00:00Z,1.7,NA,NA,NA,NA,NA,NA
ELA,EIF,1985-12-28T05:00:00Z,1.7,NA,NA,NA,NA,NA,NA
ELA,EIF,1985-12-29T05:00:00Z,1.6,NA,NA,NA,NA,NA,NA
ELA,EIF,1985-12-30T05:00:00Z,1.6,NA,NA,NA,NA,NA,NA
ELA,EIF,1985-12-31T05:00:00Z,1.6,NA,NA,NA,NA,NA,NA
ELA,EIF,1986-01-01T05:00:00Z,1.6,NA,NA,NA,NA,NA,NA
ELA,EIF,1986-01-02T05:00:00Z,1.6,NA,NA,NA,NA,NA,NA
ELA,EIF,1986-01-03T05:00:00Z,1.6,NA,NA,NA,NA,NA,NA
ELA,EIF,1986-01-04T05:00:00Z,1.5,NA,NA,NA,NA,NA,NA
ELA,EIF,1986-01-05T05:00:00Z,1.5,NA,NA,NA,NA,NA,NA
ELA,EIF,1986-01-06T05:00:00Z,1.5,NA,NA,NA,NA,NA,NA
ELA,EIF,1986-01-07T05:00:00Z,1.5,NA,NA,NA,NA,NA,NA
ELA,EIF,1986-01-08T05:00:00Z,1.4,NA,NA,NA,NA,NA,NA
ELA,EIF,1986-01-09T05:00:00Z,1.4,NA,NA,NA,NA,NA,NA
ELA,EIF,1986-01-10T05:00:00Z,1.4,NA,NA,NA,NA,NA,NA
ELA,EIF,1986-01-11T05:00:00Z,1.4,NA,NA,NA,NA,NA,NA
ELA,EIF,1986-01-12T05:00:00Z,1.3,NA,NA,NA,NA,NA,NA
ELA,EIF,1986-01-13T05:00:00Z,1.3,NA,NA,NA,NA,NA,NA
ELA,EIF,1986-01-14T05:00:00Z,1.3,NA,NA,NA,NA,NA,NA
ELA,EIF,1986-01-15T05:00:00Z,1.3,NA,NA,NA,NA,NA,NA
ELA,EIF,1986-01-16T05:00:00Z,1.2,NA,NA,NA,NA,NA,NA
ELA,EIF,1986-01-17T05:00:00Z,1.2,NA,NA,NA,NA,NA,NA
ELA,EIF,1986-01-18T05:00:00Z,1.2,NA,NA,NA,NA,NA,NA
ELA,EIF,1986-01-19T05:00:00Z,1.2,NA,NA,NA,NA,NA,NA
ELA,EIF,1986-01-20T05:00:00Z,1.1,NA,NA,NA,NA,NA,NA
ELA,EIF,1986-01-21T05:00:00Z,1.1,NA,NA,NA,NA,NA,NA
ELA,EIF,1986-01-22T05:00:00Z,1.1,3.06,8.0467,0.021730694606131154,0.023707803738091667,0.0019585132146993788,1.7802020874972238
ELA,EIF,1986-01-23T05:00:00Z,1,NA,NA,NA,NA,NA,NA
ELA,EIF,1986-01-24T05:00:00Z,1,NA,NA,NA,NA,NA,NA
ELA,EIF,1986-01-25T05:00:00Z,0.9,NA,NA,NA,NA,NA,NA
ELA,EIF,1986-01-26T05:00:00Z,0.9,NA,NA,NA,NA,NA,NA
ELA,EIF,1986-01-27T05:00:00Z,0.9,NA,NA,NA,NA,NA,NA
