Site,WS,Date,Q_Ls,Ca_mgL,DOC_mgL,NH4_mgL,NO3_mgL,SRP_mgL,SO4_mgL
HJA,GSWS08,1985-10-31,1.50043,NA,NA,NA,NA,NA,NA
HJA,GSWS08,1985-11-01,1.4155,NA,NA,NA,NA,NA,NA
HJA,GSWS08,1985-11-02,1.4721199999999999,NA,NA,NA,NA,NA,NA
HJA,GSWS08,1985-11-03,1.4721199999999999,NA,NA,NA,NA,NA,NA
HJA,GSWS08,1985-11-04,2.09494,NA,NA,NA,NA,NA,NA
HJA,GSWS08,1985-11-05,2.2648,NA,NA,NA,NA,NA,NA
HJA,GSWS08,1985-11-06,3.8501600000000002,NA,NA,NA,NA,NA,NA
HJA,GSWS08,1985-11-07,9.22906,NA,NA,NA,NA,NA,NA
HJA,GSWS08,1985-11-08,11.18245,NA,NA,NA,NA,NA,NA
HJA,GSWS08,1985-11-09,7.75694,NA,NA,NA,NA,NA,NA
HJA,GSWS08,1985-11-10,5.91679,NA,NA,NA,NA,NA,NA
HJA,GSWS08,1985-11-11,4.67115,NA,NA,NA,NA,NA,NA
HJA,GSWS08,1985-11-12,3.82185,NA,NA,NA,NA,NA,NA
HJA,GSWS08,1985-11-13,3.22734,NA,NA,NA,NA,NA,NA
HJA,GSWS08,1985-11-14,2.8876199999999996,3.93,NA,0.005,0.026,1.1424660419079711e-5,NA
HJA,GSWS08,1985-11-15,12.682879999999999,NA,NA,NA,NA,NA,NA
HJA,GSWS08,1985-11-16,22.42152,NA,NA,NA,NA,NA,NA
HJA,GSWS08,1985-11-17,15.995149999999997,NA,NA,NA,NA,NA,NA
HJA,GSWS08,1985-11-18,11.49386,NA,NA,NA,NA,NA,NA
HJA,GSWS08,1985-11-19,9.03089,NA,NA,NA,NA,NA,NA
HJA,GSWS08,1985-11-20,7.47384,NA,NA,NA,NA,NA,NA
HJA,GSWS08,1985-11-21,6.36975,NA,NA,NA,NA,NA,NA
HJA,GSWS08,1985-11-22,5.52045,NA,NA,NA,NA,NA,NA
HJA,GSWS08,1985-11-23,4.84101,NA,NA,NA,NA,NA,NA
HJA,GSWS08,1985-11-24,4.41636,NA,NA,NA,NA,NA,NA
HJA,GSWS08,1985-11-25,3.9917099999999994,NA,NA,NA,NA,NA,NA
HJA,GSWS08,1985-11-26,3.59537,NA,NA,NA,NA,NA,NA
HJA,GSWS08,1985-11-27,3.31227,NA,NA,NA,NA,NA,NA
HJA,GSWS08,1985-11-28,3.1141,NA,NA,NA,NA,NA,NA
HJA,GSWS08,1985-11-29,2.9442399999999997,NA,NA,NA,NA,NA,NA
HJA,GSWS08,1985-11-30,2.74607,NA,NA,NA,NA,NA,NA
HJA,GSWS08,1985-12-01,2.7177599999999997,NA,NA,NA,NA,NA,NA
HJA,GSWS08,1985-12-02,6.17158,NA,NA,NA,NA,NA,NA
HJA,GSWS08,1985-12-03,10.050049999999999,NA,NA,NA,NA,NA,NA
HJA,GSWS08,1985-12-04,9.25737,3.56,NA,0.016,0.091,1.1424660419079711e-5,NA
HJA,GSWS08,1985-12-05,9.76695,NA,NA,NA,NA,NA,NA
HJA,GSWS08,1985-12-06,24.12012,NA,NA,NA,NA,NA,NA
HJA,GSWS08,1985-12-07,34.39665,NA,NA,NA,NA,NA,NA
HJA,GSWS08,1985-12-08,26.29999,NA,NA,NA,NA,NA,NA
HJA,GSWS08,1985-12-09,20.92109,NA,NA,NA,NA,NA,NA
HJA,GSWS08,1985-12-10,17.155859999999997,NA,NA,NA,NA,NA,NA
HJA,GSWS08,1985-12-11,14.52303,NA,NA,NA,NA,NA,NA
HJA,GSWS08,1985-12-12,12.62626,NA,NA,NA,NA,NA,NA
HJA,GSWS08,1985-12-13,11.324,NA,NA,NA,NA,NA,NA
HJA,GSWS08,1985-12-14,10.50301,NA,NA,NA,NA,NA,NA
HJA,GSWS08,1985-12-15,10.02174,NA,NA,NA,NA,NA,NA
HJA,GSWS08,1985-12-16,10.1916,NA,NA,NA,NA,NA,NA
HJA,GSWS08,1985-12-17,10.50301,NA,NA,NA,NA,NA,NA
HJA,GSWS08,1985-12-18,11.18245,3.56,NA,0.002,0.001,1.1098241549963148e-5,NA
HJA,GSWS08,1985-12-19,13.928519999999999,NA,NA,NA,NA,NA,NA
HJA,GSWS08,1985-12-20,16.051769999999998,NA,NA,NA,NA,NA,NA
HJA,GSWS08,1985-12-21,16.476419999999997,NA,NA,NA,NA,NA,NA
HJA,GSWS08,1985-12-22,15.995149999999997,NA,NA,NA,NA,NA,NA
HJA,GSWS08,1985-12-23,14.86275,NA,NA,NA,NA,NA,NA
HJA,GSWS08,1985-12-24,12.7395,NA,NA,NA,NA,NA,NA
HJA,GSWS08,1985-12-25,10.7578,NA,NA,NA,NA,NA,NA
HJA,GSWS08,1985-12-26,9.0592,NA,NA,NA,NA,NA,NA
HJA,GSWS08,1985-12-27,7.7003200000000005,NA,NA,NA,NA,NA,NA
HJA,GSWS08,1985-12-28,6.59623,NA,NA,NA,NA,NA,NA
HJA,GSWS08,1985-12-29,5.74693,NA,NA,NA,NA,NA,NA
HJA,GSWS08,1985-12-30,5.0958,NA,NA,NA,NA,NA,NA
HJA,GSWS08,1985-12-31,4.7277700000000005,NA,NA,NA,NA,NA,NA
HJA,GSWS08,1986-01-01,9.880189999999999,NA,NA,NA,NA,NA,NA
HJA,GSWS08,1986-01-02,8.5779299999999985,NA,NA,NA,NA,NA,NA
HJA,GSWS08,1986-01-03,8.323139999999999,NA,NA,NA,NA,NA,NA
HJA,GSWS08,1986-01-04,8.66286,NA,NA,NA,NA,NA,NA
HJA,GSWS08,1986-01-05,10.58794,NA,NA,NA,NA,NA,NA
HJA,GSWS08,1986-01-06,11.720339999999998,NA,NA,NA,NA,NA,NA
HJA,GSWS08,1986-01-07,10.616249999999999,NA,NA,NA,NA,NA,NA
HJA,GSWS08,1986-01-08,10.02174,NA,NA,NA,NA,NA,NA
HJA,GSWS08,1986-01-09,12.88105,NA,NA,NA,NA,NA,NA
HJA,GSWS08,1986-01-10,12.14499,NA,NA,NA,NA,NA,NA
HJA,GSWS08,1986-01-11,10.871039999999999,NA,NA,NA,NA,NA,NA
HJA,GSWS08,1986-01-12,9.56878,NA,NA,NA,NA,NA,NA
HJA,GSWS08,1986-01-13,8.29483,NA,NA,NA,NA,NA,NA
HJA,GSWS08,1986-01-14,7.30398,NA,NA,NA,NA,NA,NA
HJA,GSWS08,1986-01-15,7.50215,3.69,NA,0.007,0.003,1.338317363377909e-5,NA
HJA,GSWS08,1986-01-16,16.87276,NA,NA,NA,NA,NA,NA
HJA,GSWS08,1986-01-17,21.91194,NA,NA,NA,NA,NA,NA
HJA,GSWS08,1986-01-18,17.75037,NA,NA,NA,NA,NA,NA
HJA,GSWS08,1986-01-19,17.04262,NA,NA,NA,NA,NA,NA
HJA,GSWS08,1986-01-20,15.712050000000001,NA,NA,NA,NA,NA,NA
HJA,GSWS08,1986-01-21,13.64542,NA,NA,NA,NA,NA,NA
HJA,GSWS08,1986-01-22,18.85446,NA,NA,NA,NA,NA,NA
HJA,GSWS08,1986-01-23,23.780399999999997,NA,NA,NA,NA,NA,NA
HJA,GSWS08,1986-01-24,20.49644,NA,NA,NA,NA,NA,NA
HJA,GSWS08,1986-01-25,17.75037,NA,NA,NA,NA,NA,NA
HJA,GSWS08,1986-01-26,15.54219,NA,NA,NA,NA,NA,NA
HJA,GSWS08,1986-01-27,15.0043,NA,NA,NA,NA,NA,NA
HJA,GSWS08,1986-01-28,15.570500000000001,NA,NA,NA,NA,NA,NA
HJA,GSWS08,1986-01-29,13.90021,NA,NA,NA,NA,NA,NA
HJA,GSWS08,1986-01-30,12.88105,NA,NA,NA,NA,NA,NA
HJA,GSWS08,1986-01-31,11.06921,NA,NA,NA,NA,NA,NA
HJA,GSWS08,1986-02-01,9.59709,NA,NA,NA,NA,NA,NA
HJA,GSWS08,1986-02-02,8.549619999999999,NA,NA,NA,NA,NA,NA
HJA,GSWS08,1986-02-03,8.153279999999999,NA,NA,NA,NA,NA,NA
HJA,GSWS08,1986-02-04,8.323139999999999,3.59,NA,0.005,0,1.1751079288196271e-5,NA
HJA,GSWS08,1986-02-05,8.04004,NA,NA,NA,NA,NA,NA
HJA,GSWS08,1986-02-06,7.44553,NA,NA,NA,NA,NA,NA
HJA,GSWS08,1986-02-07,6.851019999999999,NA,NA,NA,NA,NA,NA
HJA,GSWS08,1986-02-08,6.31313,NA,NA,NA,NA,NA,NA
HJA,GSWS08,1986-02-09,5.8035499999999995,NA,NA,NA,NA,NA,NA
HJA,GSWS08,1986-02-10,5.29397,NA,NA,NA,NA,NA,NA
HJA,GSWS08,1986-02-11,4.954249999999999,NA,NA,NA,NA,NA,NA
HJA,GSWS08,1986-02-12,4.84101,NA,NA,NA,NA,NA,NA
HJA,GSWS08,1986-02-13,8.69117,NA,NA,NA,NA,NA,NA
HJA,GSWS08,1986-02-14,11.550479999999999,NA,NA,NA,NA,NA,NA
HJA,GSWS08,1986-02-15,17.80699,NA,NA,NA,NA,NA,NA
HJA,GSWS08,1986-02-16,54.978019999999994,NA,NA,NA,NA,NA,NA
HJA,GSWS08,1986-02-17,80.93829,NA,NA,NA,NA,NA,NA
HJA,GSWS08,1986-02-18,52.40181,NA,NA,NA,NA,NA,NA
HJA,GSWS08,1986-02-19,33.88707,NA,NA,NA,NA,NA,NA
HJA,GSWS08,1986-02-20,23.4973,NA,NA,NA,NA,NA,NA
HJA,GSWS08,1986-02-21,25.195899999999998,NA,NA,NA,NA,NA,NA
HJA,GSWS08,1986-02-22,110.46562,NA,NA,NA,NA,NA,NA
HJA,GSWS08,1986-02-23,183.4488,NA,NA,NA,NA,NA,NA
HJA,GSWS08,1986-02-24,97.24485,NA,NA,NA,NA,NA,NA
HJA,GSWS08,1986-02-25,60.35692,NA,NA,NA,NA,NA,NA
HJA,GSWS08,1986-02-26,43.8805,NA,NA,NA,NA,NA,NA
HJA,GSWS08,1986-02-27,30.51818,2.99,NA,0.008,0.002,1.2077498157312835e-5,NA
HJA,GSWS08,1986-02-28,21.20419,NA,NA,NA,NA,NA,NA
HJA,GSWS08,1986-03-01,14.80613,NA,NA,NA,NA,NA,NA
