Site,WS,Date,Q_Ls,Ca_mgL,DOC_mgL,NH4_mgL,NO3_mgL,SRP_mgL,SO4_mgL
SLP,W9,1991-05-02T04:00:00Z,NA,NA,NA,NA,NA,NA,NA
SLP,W9,1991-08-19T04:00:00Z,NA,NA,NA,NA,NA,NA,NA
SLP,W9,1991-09-03T04:00:00Z,NA,28.599660800000002,1.2,0.028012000000000002,0.14006,NA,3.2147768300000004
SLP,W9,1991-09-10T04:00:00Z,NA,30.000386900000002,0.96,0.028012000000000002,0.15812774000000002,NA,3.4785196800000002
SLP,W9,1991-09-17T04:00:00Z,NA,27.000548600000005,2.11,0.028012000000000002,0.18067740000000002,NA,3.14471262
SLP,W9,1991-09-24T04:00:00Z,NA,27.000548600000005,1.85,0.028012000000000002,0.19426322,NA,3.23818501
SLP,W9,1991-09-25T04:00:00Z,23.256289600000002,NA,NA,NA,NA,NA,NA
SLP,W9,1991-09-30T04:00:00Z,2.1851712,25.199042500000004,1.32,0.028012000000000002,0.19202226,NA,2.677350670000001
SLP,W9,1991-10-08T04:00:00Z,7.852569600000001,22.599984199999998,2.38,0.028012000000000002,0.1106474,NA,2.4503233900000003
SLP,W9,1991-10-15T04:00:00Z,6.7574352,22.8003742,1.8,0.028012000000000002,0.10840644,NA,2.4803051
SLP,W9,1991-10-21T04:00:00Z,7.443345600000001,23.399540300000005,1.52,0.028012000000000002,0.14006,NA,2.5638370300000006
SLP,W9,1991-10-29T05:00:00Z,6.2295504,23.000764200000003,0.93,0.028012000000000002,0.17171355999999996,NA,2.79743784
SLP,W9,1991-11-05T05:00:00Z,4.4850384000000005,23.399540300000005,0.83,0.028012000000000002,0.21681288,NA,2.997690010000001
SLP,W9,1991-11-12T05:00:00Z,5.9885472,21.1992581,1.17,0.028012000000000002,0.27787904,NA,2.92425887
SLP,W9,1991-11-19T05:00:00Z,6.2570208,23.000764200000003,1.07,0.028012000000000002,0.25070739999999997,NA,2.9276258000000004
SLP,W9,1991-11-26T05:00:00Z,7.26408,20.399702,0.88,0.028012000000000002,0.23039869999999998,NA,2.72063977
SLP,W9,1991-12-03T05:00:00Z,6.8361648,22.000818100000004,0.64,0.028012000000000002,0.2598113,NA,2.7406810200000002
SLP,W9,1991-12-10T05:00:00Z,7.552377599999999,22.1992042,0.76,0.028012000000000002,0.31401452,NA,2.72063977
SLP,W9,1991-12-17T05:00:00Z,6.2734464,23.000764200000003,0.53,0.028012000000000002,0.31625548000000003,NA,2.7773965900000004
SLP,W9,1991-12-31T05:00:00Z,6.8316336,21.1992581,0.54,0.028012000000000002,0.30715158000000004,NA,2.72063977
SLP,W9,1992-01-07T05:00:00Z,4.746715200000001,22.1992042,0.45,0.028012000000000002,0.3004287,NA,2.8075386300000003
SLP,W9,1992-01-14T05:00:00Z,40.3412736,14.279791400000002,1.47,0.028012000000000002,0.33656418000000005,NA,1.9895349700000002
SLP,W9,1992-01-21T05:00:00Z,2.6255472,22.1992042,0.53,0.028012000000000002,0.3410461,NA,2.8174790900000004
SLP,W9,1992-01-28T05:00:00Z,4.342588800000001,21.800428100000005,0.38,0.028012000000000002,0.3410461,NA,2.90421762
SLP,W9,1992-02-05T05:00:00Z,3.7356912,23.599930300000004,0.44,0.028012000000000002,0.31849644,NA,2.9776487600000006
SLP,W9,1992-02-11T05:00:00Z,3.6563952,23.599930300000004,0.64,0.028012000000000002,0.33432322000000003,NA,2.8075386300000003
SLP,W9,1992-02-18T05:00:00Z,2.9319696,24.0007103,0.57,0.028012000000000002,0.33432322000000003,NA,2.9677083
SLP,W9,1992-02-25T05:00:00Z,3.0206112000000003,22.3995942,0.83,0.028012000000000002,0.34328706,NA,2.9309927300000003
SLP,W9,1992-03-03T05:00:00Z,2.5255776,22.8003742,0.75,0.028012000000000002,0.30715158000000004,NA,2.94093319
SLP,W9,1992-03-11T05:00:00Z,44.6849952,16.959005700000002,1.18,0.028012000000000002,0.49469192,NA,2.43028214
SLP,W9,1992-03-17T05:00:00Z,7.197528,21.1992581,0.22,0.028012000000000002,0.39300836,NA,2.7507818100000003
SLP,W9,1992-03-24T05:00:00Z,5.6535216,22.599984199999998,0.24,0.054343279999999994,0.31849644,NA,2.9443001200000003
SLP,W9,1992-03-26T05:00:00Z,5.3111328,21.786400800000003,0.49,0.028012000000000002,0.4019722,NA,2.90870686
SLP,W9,1992-03-27T05:00:00Z,8.2869984,20.7123104,0.64,0.028012000000000002,0.41555802,NA,2.7031638000000004
SLP,W9,1992-03-30T05:00:00Z,8.936942400000001,20.171257400000002,0.67,0.028012000000000002,0.42984414000000004,NA,2.7060497400000005
SLP,W9,1992-03-31T05:00:00Z,8.570764800000001,21.800428100000005,0.75,0.028012000000000002,0.33880514000000006,NA,2.63053431
SLP,W9,1992-04-07T04:00:00Z,8.0413224,21.2934414,0.65,0.028012000000000002,0.34482772,NA,2.7644900249999997
SLP,W9,1992-04-08T04:00:00Z,14.7884208,19.7243877,1.38,0.028012000000000002,0.38082314000000006,NA,2.60295755
SLP,W9,1992-04-09T04:00:00Z,17.0973504,19.6342122,1.89,0.028012000000000002,0.40673424,NA,2.54219248
SLP,W9,1992-04-10T04:00:00Z,16.733296799999998,19.3636857,1.545,0.028012000000000002,0.41163633999999993,NA,2.5460404000000003
SLP,W9,1992-04-11T04:00:00Z,16.2653088,19.093159200000002,1.28,0.028012000000000002,0.44595103999999997,NA,2.54796436
SLP,W9,1992-04-12T04:00:00Z,13.734916799999999,20.171257400000002,2.13,0.028012000000000002,0.42242095999999996,NA,2.64031444
SLP,W9,1992-04-14T04:00:00Z,11.261448,20.171257400000002,0.75,0.028012000000000002,0.4040731000000001,NA,2.6579507400000004
SLP,W9,1992-04-16T04:00:00Z,10.8542064,21.000872000000005,0.17,0.038796620000000004,0.30491062,NA,2.6805572700000004
SLP,W9,1992-04-17T04:00:00Z,11.099174399999999,20.7123104,0.88,0.028012000000000002,0.399171,NA,2.6659672400000005
SLP,W9,1992-04-18T04:00:00Z,10.4016528,20.7123104,0.49,0.028012000000000002,0.37494062,NA,2.7230447200000003
SLP,W9,1992-04-19T04:00:00Z,18.0120864,19.9027348,1.07,0.028012000000000002,0.37585101,NA,2.54732304
SLP,W9,1992-04-20T04:00:00Z,31.4953328,17.65703086666667,1.45,0.028012000000000002,0.3937553466666667,NA,2.252262396666667
SLP,W9,1992-04-21T04:00:00Z,68.0832624,15.366907150000001,2.045,0.028012000000000002,0.43803765,NA,1.9583908675000004
SLP,W9,1992-04-22T04:00:00Z,104.2883056,13.032029666666668,2.4133333333333336,0.028012000000000002,0.4866618133333333,NA,1.8637828066666668
SLP,W9,1992-04-23T04:00:00Z,108.4347312,13.169630800000002,2.33,0.028012000000000002,0.45715584000000004,NA,1.8165389000000003
SLP,W9,1992-04-24T04:00:00Z,101.9917424,13.528996866666667,2.57,0.028012000000000002,0.41933964,NA,1.8523459333333334
SLP,W9,1992-04-25T04:00:00Z,74.42212799999999,14.7847742,2.15,0.028012000000000002,0.39111755000000004,NA,1.98264078
SLP,W9,1992-04-26T04:00:00Z,63.890203199999995,15.862872400000002,2.04,0.028012000000000002,0.35043012000000007,NA,2.07755614
SLP,W9,1992-04-27T04:00:00Z,51.239376,15.840829500000002,1.13,0.028012000000000002,0.26205226000000004,NA,2.1665392900000002
SLP,W9,1992-05-01T04:00:00Z,40.067136000000005,16.399917600000002,1.06,0.028012000000000002,0.26975556000000006,NA,2.1096221400000004
SLP,W9,1992-05-04T04:00:00Z,29.8642896,16.319761600000003,1.35,0.028012000000000002,0.18529938,NA,2.3735253199999997
SLP,W9,1992-05-07T04:00:00Z,19.8019104,17.8828036,1.04,0.028012000000000002,0.22073456000000002,NA,2.37705258
SLP,W9,1992-05-12T04:00:00Z,12.5460432,19.760457900000002,0.87,0.028012000000000002,0.12647418,NA,2.5503693100000002
SLP,W9,1992-05-19T04:00:00Z,8.3675688,22.3995942,0.865,0.028012000000000002,0.14671285,NA,2.5937385750000006
SLP,W9,1992-05-26T04:00:00Z,5.8067328,22.3995942,0.45,0.028012000000000002,0.13557808,NA,2.7073323800000004
SLP,W9,1992-06-02T04:00:00Z,7.1533488,21.800428100000005,0.95,0.028012000000000002,0.11288836000000001,NA,2.57377749
SLP,W9,1992-06-09T04:00:00Z,4.9826208,23.922558200000005,1.095,0.028012000000000002,0.14951405,NA,2.5774650800000005
SLP,W9,1992-06-12T04:00:00Z,3.2383919999999997,24.4796424,0.89,0.028012000000000002,0.16120906,NA,2.5110884600000003
SLP,W9,1992-06-16T04:00:00Z,1.655304,27.013072975,1.005,0.028012000000000002,0.184704125,NA,2.9230163125
SLP,W9,1992-06-23T04:00:00Z,2.5193472,27.200938600000004,0.52,0.028012000000000002,0.1603687,NA,2.8008047699999996
SLP,W9,1992-06-30T04:00:00Z,1.0113072,27.10575335,1.01,0.028012000000000002,0.17059308,NA,2.9643413700000005
SLP,W9,1992-07-07T04:00:00Z,2.0900160000000003,26.599768600000004,1.16,0.028012000000000002,0.14006,NA,2.7240067000000003
SLP,W9,1992-07-10T04:00:00Z,6.490944,23.125006000000003,2.39,0.028012000000000002,0.19076172,NA,2.3748079600000005
SLP,W9,1992-07-13T04:00:00Z,5.1805776,24.84836,1.96,0.028012000000000002,0.17031296,NA,2.501148
SLP,W9,1992-07-14T04:00:00Z,4.9812047999999995,25.199042500000004,1.54,0.028012000000000002,0.14230096,NA,2.5503693100000002
SLP,W9,1992-07-21T04:00:00Z,2.6541504,27.3993247,1.27,0.028012000000000002,0.13557808,NA,2.6438417000000003
SLP,W9,1992-07-28T04:00:00Z,0.4769088,27.3993247,1.24,0.028012000000000002,0.12423322,NA,3.04450637
SLP,W9,1992-08-04T04:00:00Z,1.8359855999999999,26.6458583,1.54,0.028012000000000002,0.16169927,NA,2.7051679250000005
SLP,W9,1992-08-11T04:00:00Z,0.45255360000000006,30.599553000000004,1.02,0.03109332,0.14230096,NA,2.9377265899999996
SLP,W9,1992-08-12T04:00:00Z,0.4228176,28.856160000000003,0.77,0.028012000000000002,0.1638702,NA,3.06294432
SLP,W9,1992-08-18T04:00:00Z,2.9727504,28.000494700000004,1.57,0.038796620000000004,0.1309561,NA,2.63390124
SLP,W9,1992-08-24T04:00:00Z,0.31520159999999997,30.399163,1.23,0.028012000000000002,0.13781903999999998,NA,3.0311989800000005
SLP,W9,1992-08-29T04:00:00Z,4.7087664,28.0546,2.11,0.028012000000000002,0.21681288,NA,2.69322334
