Site,WS,Date,Q_Ls,Ca_mgL,DOC_mgL,NH4_mgL,NO3_mgL,SRP_mgL,SO4_mgL
TLW,C32,1985-10-31,1.4,NA,NA,NA,NA,NA,NA
TLW,C35,1985-10-31,1,NA,NA,NA,NA,NA,NA
TLW,C38,1985-10-31,1.2000000000000002,NA,NA,NA,NA,NA,NA
TLW,C32,1985-11-01,1,NA,NA,NA,NA,NA,NA
TLW,C35,1985-11-01,1,NA,NA,NA,NA,NA,NA
TLW,C38,1985-11-01,1.14,NA,NA,NA,NA,NA,NA
TLW,C32,1985-11-02,1.6,NA,NA,NA,NA,NA,NA
TLW,C35,1985-11-02,1.1,NA,NA,NA,NA,NA,NA
TLW,C38,1985-11-02,2.56,NA,NA,NA,NA,NA,NA
TLW,C32,1985-11-03,2.6,NA,NA,NA,NA,NA,NA
TLW,C35,1985-11-03,1.8,NA,NA,NA,NA,NA,NA
TLW,C38,1985-11-03,3.6,NA,NA,NA,NA,NA,NA
TLW,C32,1985-11-04,3,NA,NA,NA,NA,NA,NA
TLW,C35,1985-11-04,2,NA,NA,NA,NA,NA,NA
TLW,C38,1985-11-04,3.59,NA,NA,NA,NA,NA,NA
TLW,C32,1985-11-05,2.5,NA,NA,NA,NA,NA,NA
TLW,C35,1985-11-05,1.9,NA,NA,NA,NA,NA,NA
TLW,C38,1985-11-05,2.85,NA,NA,NA,NA,NA,NA
TLW,C32,1985-11-06,2.1,7.51,NA,0.0144,0.561,0.0019,2.15
TLW,C35,1985-11-06,1.7,4.2,NA,0.0115,0.524,0.0015,1.9100000000000001
TLW,C38,1985-11-06,2.43,5.3,NA,0.0225,0.02,0.0065,1.2999999999999998
TLW,C32,1985-11-07,2.2,NA,NA,NA,NA,NA,NA
TLW,C35,1985-11-07,1.5999999999999999,NA,NA,NA,NA,NA,NA
TLW,C38,1985-11-07,3.02,NA,NA,NA,NA,NA,NA
TLW,C32,1985-11-08,2,NA,NA,NA,NA,NA,NA
TLW,C35,1985-11-08,1.5,NA,NA,NA,NA,NA,NA
TLW,C38,1985-11-08,2.34,NA,NA,NA,NA,NA,NA
TLW,C32,1985-11-09,1.7999999999999998,NA,NA,NA,NA,NA,NA
TLW,C35,1985-11-09,1.4,NA,NA,NA,NA,NA,NA
TLW,C38,1985-11-09,1.9,NA,NA,NA,NA,NA,NA
TLW,C32,1985-11-10,1.7,NA,NA,NA,NA,NA,NA
TLW,C35,1985-11-10,1.2,NA,NA,NA,NA,NA,NA
TLW,C38,1985-11-10,1.8,NA,NA,NA,NA,NA,NA
TLW,C32,1985-11-11,1.6,NA,NA,NA,NA,NA,NA
TLW,C35,1985-11-11,1.1,NA,NA,NA,NA,NA,NA
