"","Site","WS","Ca","DOC","NO3","SO4","NH4","TDP"
"1","BBWM","EB",35,35,35,35,100,100
"2","DOR","HP3",40,40,40,40,40,41
"3","DOR","HP3A",37,37,37,38,37,37
"4","DOR","HP4",36,36,37,37,37,37
"5","DOR","HP5",38,39,39,39,39,39
"6","DOR","HP6",42,42,42,43,42,43
"7","DOR","HP6A",48,49,48,49,48,49
"8","ELA","EIF",62,60,61,62,61,61
"9","ELA","NEIF",62,62,75,63,61,61
"10","ELA","NWIF",61,59,64,61,60,59
"11","HBEF","WS6",4,25,100,4,100,100
"12","HBEF","WS7",28,28,28,28,28,100
"13","HBEF","WS8",28,28,28,28,28,100
"14","HBEF","WS9",28,28,28,28,28,100
"15","HJA","GSWS08",2,50,2,11,100,2
"16","HJA","GSWS09",1,51,1,10,100,1
"17","MEF","S2",51,61,100,57,100,100
"18","MEF","S5",53,56,100,59,100,100
"19","SLP","W9",20,20,20,20,100,100
"20","TLW","C32",39,47,39,39,100,48
"21","TLW","C35",28,37,28,28,100,37
"22","TLW","C38",33,38,33,33,33,42
