"","Site","WS","Date","Ca_fwmc_mgL","DOC_fwmc_mgL","NH4_fwmc_mgL","NO3_fwmc_mgL","SO4_fwmc_mgL","TDP_fwmc_mgL"
"1","BBWM","EB",0,28,29,48,28,28,100
"2","DOR","HP3",0,19,19,19,19,19,20
"3","DOR","HP3A",0,15,15,15,15,16,15
"4","DOR","HP4",0,14,14,14,14,15,14
"5","DOR","HP5",0,17,17,17,17,18,17
"6","DOR","HP6",0,22,22,22,22,22,23
"7","DOR","HP6A",0,30,31,30,30,30,30
"8","ELA","EIF",0,56,56,56,57,56,56
"9","ELA","NEIF",0,58,58,58,74,58,58
"10","ELA","NWIF",0,55,55,55,60,55,55
"11","HBEF","WS6",0,1,29,1,1,1,1
"12","HBEF","WS7",0,39,39,39,39,39,39
"13","HBEF","WS8",0,39,39,39,39,39,39
"14","HBEF","WS9",0,39,39,39,39,39,39
"15","HJA","GSWS08",0,1,67,1,1,13,1
"16","HJA","GSWS09",0,1,67,1,1,13,0
"17","MEF","S2",0,50,62,100,100,56,100
"18","MEF","S5",0,52,56,100,100,59,100
"19","SLP","W9",0,24,24,24,24,24,100
"20","TLW","C32",0,25,36,25,25,25,34
"21","TLW","C35",0,9,22,9,9,9,19
"22","TLW","C38",0,16,24,16,16,17,29
