"","Site","WS","Date","Ca_fwmc_mgL","DOC_fwmc_mgL","NH4_fwmc_mgL","NO3_fwmc_mgL","SO4_fwmc_mgL","TDP_fwmc_mgL"
"1","BBWM","EB",0,53,54,89,54,53,142
"2","DOR","HP3",0,61,61,61,61,61,62
"3","DOR","HP3A",0,57,57,57,57,58,57
"4","DOR","HP4",0,56,56,56,56,57,56
"5","DOR","HP5",0,59,59,59,59,60,59
"6","DOR","HP6",0,64,64,64,64,64,65
"7","DOR","HP6A",0,72,73,72,72,72,72
"8","ELA","EIF",0,90,88,89,89,90,89
"9","ELA","NEIF",0,91,90,89,109,92,89
"10","ELA","NWIF",0,89,87,87,93,89,87
"11","HBEF","WS6",0,13,41,13,13,13,13
"12","HBEF","WS7",0,42,42,42,42,42,42
"13","HBEF","WS8",0,42,42,42,42,42,42
"14","HBEF","WS9",0,42,42,42,42,42,42
"15","HJA","GSWS08",0,9,75,10,9,21,9
"16","HJA","GSWS09",0,9,75,9,9,21,8
"17","MEF","S2",0,76,89,142,142,83,142
"18","MEF","S5",0,79,83,142,142,86,142
"19","SLP","W9",0,34,34,34,34,34,111
"20","TLW","C32",0,60,70,60,60,60,72
"21","TLW","C35",0,44,57,44,44,44,57
"22","TLW","C38",0,51,58,51,51,51,64
