WS,Year,Month,Day,Date,EST,Ca,Mg,K,Na,Al_Ferron,TMAl,OMAl,Al_ICP,NH4,pH,SO4,NO3,Cl,PO4,DOC,TDN,DON,DIC,SiO2,Mn,Fe,F,ANC,Cation,Anion,SpecCond,TheoryCond,Temp_C,GageHt,Flow,Hydro,FieldCode,VarCode,IonBal,IonErr,Qcode,Pass
7,1995,5,30,5/30/1995,1315,1.05,0.3,0.19,0.66,-888.88,-888.88,-888.88,-888.88,0.02,5.21,4.69,0.08,0.4,0,1.68,-888.88,0.11,-888,4.5,-888.88,-888.88,-888.88,-2,125.6,110.1,14.9,17.9,-999.9,0.63,40.47, F ,0, AAA ,15.5,13.2,0,T
7,1995,6,5,6/5/1995,1155,1.09,0.32,0.17,0.72,-888.88,-888.88,-888.88,-888.88,0.02,5.43,4.75,0.01,0.41,0,1.51,-888.88,0.1,-888,5,-888.88,-888.88,-888.88,0.3,127.2,110.5,15.8,17.5,-999.9,0.42,14.99, L ,0, AAA ,16.7,14.1,0,T
7,1995,6,13,6/13/1995,1355,1.13,0.35,0.15,0.8,-888.88,-888.88,-888.88,-888.88,0.02,5.64,4.79,0.01,0.41,0,1.44,-888.88,0.1,-888,5.3,-888.88,-888.88,-888.88,4.4,132.3,111.4,13.1,17.6,-999.9,0.35,9.59, L ,0, AAA ,20.9,17.2,0,T
7,1995,6,19,6/19/1995,1040,1.17,0.38,0.17,0.94,-888.88,-888.88,-888.88,-888.88,0.02,5.73,4.97,0.01,0.43,0,1.56,-888.88,0.09,-888,6,-888.88,-888.88,-888.88,10.4,143,115.7,15.5,18.7,-999.9,0.23,3.43, L ,0, AAA ,27.3,21.1,0,T
7,1995,6,26,6/26/1995,940,1.22,0.41,0.15,1.16,-888.88,-888.88,-888.88,-888.88,0.02,6.05,5.15,0.01,0.43,0,1.4,-888.88,0.08,-888,6.9,-888.88,-888.88,-888.88,22.1,154.3,119.4,16.4,19.7,-999.9,0.14,0.93, L ,0, AAA ,34.9,25.5,0,T
7,1995,7,3,7/3/1995,1315,1.24,0.43,0.14,1.32,-888.88,-888.88,-888.88,-888.88,0.02,6.08,5.27,0.01,0.46,0,5.6,-888.88,0.15,-888,7.7,-888.88,-888.88,-888.88,32.3,170.4,122.7,16.9,22.3,-999.9,0.1,0.49, L ,0, AAA ,47.7,32.5,0,T
7,1995,7,10,7/10/1995,1130,1.17,0.42,0.15,1.33,-888.88,-888.88,-888.88,-888.88,0.02,6.14,5.23,0.01,0.46,0,1.83,-888.88,0.08,-888,7.5,-888.88,-888.88,-888.88,26.2,159.9,121.9,15.5,20.3,-999.9,0.11,0.56, L ,0, AAA ,38,27,0,T
7,1995,7,18,7/18/1995,1215,1.11,0.41,0.17,1.02,-888.88,-888.88,-888.88,-888.88,0.02,5.94,4.87,0.01,0.39,0,1.9,-888.88,0.08,-888,5.9,-888.88,-888.88,-888.88,17.8,143.5,112.5,13.8,18.5,-999.9,0.29,5.85, L ,0, AAA ,31,24.2,0,T
7,1995,7,24,7/24/1995,1140,1.18,0.44,0.15,1.28,-888.88,-888.88,-888.88,-888.88,0.02,6.13,5.07,0.01,0.42,0,1.95,-888.88,0.07,-888,7.3,-888.88,-888.88,-888.88,30.2,159.9,117.5,17.5,20.2,-999.9,0.14,1.04, L ,0, AAA ,42.4,30.6,0,T
7,1995,7,31,7/31/1995,915,1.12,0.46,0.15,1.11,-888.88,-888.88,-888.88,-888.88,0.02,6.04,5.01,0.01,0.4,0,1.78,-888.88,0.08,-888,6.5,-888.88,-888.88,-888.88,27.2,151.3,115.6,15.9,19.5,-999.9,0.19,2.26, L ,0, AAA ,35.7,26.8,0,T
7,1995,8,7,8/7/1995,1115,0.99,0.26,0.11,0.56,-888.88,-888.88,-888.88,-888.88,0.02,5.13,4.44,0.01,0.29,0,2.78,-888.88,0.12,-888,4.4,-888.88,-888.88,-888.88,-3.8,113.3,100.7,14,16.8,-999.9,0.7,52.38, F ,0, AAA ,12.6,11.8,0,T
