Year,Month,H2O_mm,Ca_WET_kg_ha_mo,Mg_WET_kg_ha_mo,NO3N_WET_kg_ha_mo,NH4N_WET_kg_ha_mo,N_WET_kg_ha_mo,SO4S_WET_kg_ha_mo
1987,10,15,0.022,0.0132,0.07,0,0.07,0.22
1987,11,70,0.056,0.0396,0.16,0.07,0.23,0.32
1987,12,189,0.066,0.0312,0.28,0.07,0.35,0.3
1988,1,71.1,0.03,0.0192,0.13,0.03,0.17,0.16
1988,2,112,0.066,0.042,0.28,0.06,0.34,0.4
1988,3,81.5,0.118,0.0576,0.36,0.03,0.39,0.36
1988,4,68.8,0.042,0.0228,0.08,0.05,0.14,0.21
1988,5,103,0.074,0.0276,0.24,0.06,0.3,0.53
1988,6,35.7,0.15,0.0276,0.26,0.02,0.28,0.72
1988,7,116,0.084,0.0192,0.39,0.03,0.43,1.03
1988,8,132,0.104,0.0312,0.23,0.06,0.3,0.68
1988,9,46.7,0.038,0.0084,0.08,0.04,0.12,0.24
1988,10,125,0.088,0.0672,0.23,0.1,0.32,0.54
1988,11,251,0.058,0.0672,0.43,0.12,0.55,0.68
1988,12,30,0.012,0.012,0.12,0.02,0.14,0.12
1989,1,81.1,0.062,0.0588,0.38,0.12,0.5,0.42
1989,2,83,0.036,0.0312,0.19,0.05,0.24,0.26
1989,3,55.1,0.044,0.0132,0.15,0.08,0.23,0.32
1989,4,133,0.052,0.0144,0.36,0.12,0.48,0.51
1989,5,312,0.116,0.1368,0.41,0.34,0.74,1.24
1989,6,120,0.024,0.0036,0.18,0.07,0.26,0.41
1989,7,29.6,0.018,0.0096,0.11,0.11,0.22,0.3
1989,8,113,0.068,0.0288,0.41,0.18,0.59,1.13
1989,9,105,0.026,0.0084,0.25,0.12,0.37,0.58
1989,10,119,0.052,0.0324,0.11,0.07,0.18,0.26
1989,11,239,0.158,0.1356,0.61,0.25,0.87,0.98
1989,12,51,0.02,0.024,0.13,0.03,0.16,0.09
1990,1,140,0.06,0.0336,0.45,0.13,0.58,0.6
1990,2,52,0.028,0.0108,0.19,0.05,0.24,0.23
1990,3,59,0.032,0.0168,0.21,0.15,0.36,0.45
1990,4,142,0.062,0.0348,0.35,0.18,0.52,0.77
1990,5,155,0.022,0.0192,0.19,0.08,0.27,0.52
1990,6,113,0.034,0.0132,0.24,0.14,0.38,0.55
1990,7,78,0.05,0.0156,0.18,0.06,0.24,0.44
1990,8,113,0.028,0.018,0.1,0.03,0.13,0.3
1990,9,126,0.056,0.0288,0.26,0.2,0.46,0.91
1990,10,146,0.136,0.108,0.31,0.12,0.43,0.69
1990,11,114,0.054,0.0432,0.21,0.09,0.3,0.34
1990,12,163,0.042,0.0612,0.24,0.08,0.32,0.46
1991,1,94,0.028,0.0132,0.15,0.04,0.2,0.16
1991,2,71,0.064,0.0156,0.21,0.09,0.31,0.36
1991,3,168,0.056,0.0384,0.22,0.11,0.33,0.42
1991,4,116,0.06,0.0156,0.26,0.32,0.58,0.63
1991,5,104,0.062,0.0132,0.19,0.11,0.3,0.47
1991,6,64,0.034,0.0012,0.11,0.07,0.18,0.25
1991,7,78,0.05,0.0096,0.19,0.15,0.34,0.54
1991,8,182,0.068,0.0684,0.18,0.06,0.24,0.46
1991,9,59,0.028,0.0132,0.14,0.06,0.2,0.32
1991,10,231,0.158,0.12,0.31,0.13,0.44,0.76
1991,11,88,0.026,0.0144,0.12,0.05,0.18,0.18
1991,12,65,0.038,0.0252,0.24,0.07,0.3,0.2
1992,1,165,0.06,0.09,0.12,0.06,0.18,0.28
1992,2,80,0.036,0.0288,0.26,0.16,0.42,0.43
1992,3,118,0.11,0.1452,0.22,0.11,0.34,0.53
1992,4,93,0.052,0.0204,0.2,0.11,0.31,0.34
1992,5,24,0.016,0.0036,0.11,0.11,0.21,0.26
1992,6,158,0.044,0.0228,0.22,0.14,0.37,0.59
1992,7,78,0.036,0.006,0.29,0.14,0.43,0.66
1992,8,114,0.026,0.0036,0.13,0.09,0.21,0.36
1992,9,53,0.03,0.012,0.08,0.03,0.11,0.21
1992,10,134,0.076,0.03,0.33,0.19,0.52,0.84
1992,11,82,0.05,0.0264,0.27,0.06,0.33,0.34
1992,12,64,0.022,0.0084,0.13,0.01,0.14,0.18
1993,1,96,0.04,0.0288,0.15,0.04,0.19,0.26
1993,2,88,0.054,0.0192,0.2,0.03,0.23,0.16
1993,3,104,0.092,0.096,0.12,0.02,0.15,0.28
1993,4,194,0.072,0.0384,0.15,0.1,0.24,0.37
1993,5,36,0.084,0.0156,0.23,0.15,0.38,0.37
1993,6,96,0.076,0.0192,0.26,0.18,0.44,0.62
1993,7,47,0.024,0.0084,0.06,0.03,0.08,0.12
1993,8,52,0.052,0.0084,0.21,0.15,0.35,0.65
1993,9,109,0.072,0.018,0.2,0.11,0.31,0.58
1993,10,96,0.08,0.0312,0.22,0.07,0.3,0.38
1993,11,186,0.082,0.1344,0.28,0.09,0.37,0.45
1993,12,232,0.07,0.0732,0.22,0.11,0.33,0.46
1994,1,120,0.1,0.0876,0.33,0.06,0.4,0.3
1994,2,62,0.022,0.0324,0.04,0.01,0.05,0.08
1994,3,173,0.044,0.036,0.21,0.08,0.29,0.34
1994,4,81,0.066,0.0216,0.22,0.18,0.4,0.42
1994,5,137,0.124,0.0336,0.36,0.24,0.6,0.73
1994,6,92,0.076,0.0204,0.32,0.26,0.58,0.73
1994,7,22,0.02,0.006,0.1,0.03,0.13,0.12
1994,8,81,0.064,0.0108,0.2,0.17,0.37,0.64
1994,9,88,0.05,0.0336,0.07,0.04,0.12,0.2
1994,10,65,0.056,0.0228,0.14,0.06,0.2,0.28
1994,11,124,0.07,0.0372,0.14,0.07,0.21,0.26
1994,12,72,0.032,0.0168,0.13,0.04,0.17,0.17
1995,1,154,0.086,0.114,0.41,0.08,0.49,0.36
1995,2,51,0.048,0.0372,0.09,0.03,0.13,0.09
1995,3,125,0.068,0.0936,0.24,0.14,0.38,0.42
1995,4,79,0.076,0.0252,0.23,0.19,0.42,0.44
1995,5,109,0.074,0.0204,0.23,0.13,0.36,0.36
1995,6,92,0.06,0.0096,0.15,0.12,0.27,0.24
1995,7,94,0.06,0.0108,0.17,0.1,0.27,0.23
1995,8,45,0.064,0.0132,0.19,0.11,0.31,0.36
1995,9,84,0.142,0.0264,0.2,0.18,0.38,0.47
1995,10,183,0.21,0.1188,0.28,0.1,0.38,0.46
1995,11,228,0.058,0.0768,0.59,0.17,0.76,0.69
1995,12,126,,,0.11,0.16,0.27,0.25
1996,1,146,0.208,0.444,0.17,0.05,0.22,0.53
1996,2,96,0.076,0.0972,0.25,0.05,0.31,0.34
