Watershed,Record_Type,Date,Year,Month,Day,Hour,Ca_ueq_L,Mg_ueq_L,NO3_ueq_L,SO4_ueq_L,NH4_ueq_L,DOC_mg_L
EB,REG,10/1/1986,1986,10,1,11,,,0.05,115,,
WB,REG,10/1/1986,1986,10,1,11,,,0.05,110,,
EB,REG,11/13/1986,1986,11,13,11,89,30,0.05,117,,
WB,REG,11/13/1986,1986,11,13,11,101,35,3,107,,
EB,REG,11/17/1986,1986,11,17,11,99,30,2,112,,
WB,REG,11/17/1986,1986,11,17,11,90,34,4,107,,
EB,REG,11/25/1986,1986,11,25,11,83,28,18,105,,
WB,REG,11/25/1986,1986,11,25,11,105,35,22,113,,
EB,REG,12/2/1986,1986,12,2,11,,,11,108,,
WB,REG,12/2/1986,1986,12,2,11,,,12,110,,
EB,REG,1/14/1987,1987,1,14,11,89,32,8,108,1.4,0.6
WB,REG,1/14/1987,1987,1,14,11,82,34,8,102,1.4,0
EB,REG,1/21/1987,1987,1,21,11,95,33,8,109,1.4,0.8
WB,REG,1/21/1987,1987,1,21,9,84,35,8,102,1.4,0.1
EB,REG,2/3/1987,1987,2,3,11,103,35,8.5,106,1.4,0.2
WB,REG,2/3/1987,1987,2,3,11,90,37,6.9,98,1.4,0.2
EB,REG,2/17/1987,1987,2,17,11,109,39,7.6,106,1.4,
WB,REG,2/17/1987,1987,2,17,12,86,36,8.7,96,1.4,
EB,REG,3/4/1987,1987,3,4,12,116,38,5.4,107,1.4,1.1
WB,REG,3/4/1987,1987,3,4,12,88,36,7.5,95,1.4,1.3
EB,REG,3/10/1987,1987,3,10,11,110,35,5.3,102,,1.6
WB,REG,3/10/1987,1987,3,10,11,90,36,7.4,93,,1.2
EB,REG,3/18/1987,1987,3,18,13,137,37,5.1,101,1.4,1.1
WB,REG,3/18/1987,1987,3,18,13,90,35,6.2,95,1.4,0.9
EB,REG,3/23/1987,1987,3,23,15,125,39,10.5,106,1.4,1.3
WB,REG,3/23/1987,1987,3,23,15,103,41,17.2,95,1.4,1.2
EB,REG,3/25/1987,1987,3,25,11,,30,13.2,99,1.4,1.2
WB,REG,3/25/1987,1987,3,25,12,84,35,13.9,86,1.4,1.1
EB,REG,3/27/1987,1987,3,27,11,88,30,24.4,97,1.4,1.5
WB,REG,3/27/1987,1987,3,27,11,98,35,24.9,99,1.4,1.3
EB,REG,3/29/1987,1987,3,29,10,81,28,21.5,96,1.4,1.5
WB,REG,3/29/1987,1987,3,29,10,96,33,21.2,100,1.4,1.2
EB,REG,4/1/1987,1987,4,1,13,78,29,25.9,81,1.4,2.4
WB,REG,4/1/1987,1987,4,1,14,92,35,28,97,1.4,2.1
