"BBWM deposition and stream data for Irena Creed, David Aldred",,
,,
Kaizad F. Patel,,
7/17/2020,,
,,
bbwm_dep_annual_1988_2015.csv,"annual deposition for East Bear (reference watershed). To calculate annual deposition for West Bear, add 25.2 kg NH4-N/ha/yr and 28.8 kg SO4-S/ha/yr to the ambient (EB) values.",
CalYear,"calendar year, Jan-01 to Dec-31",
NO3N_WET_kg_ha,"wet deposition nitrate, kg-N/ha",
NH4N_WET_kg_ha,"wet deposition ammonium, kg-N/ha",
N_WET_kg_ha,"wet deposition N, kg/ha",
SO4S_WET_kg_ha,"wet deposition S, kg/ha",
source,"BBWM = collected at the site; HOW132 = using data for CASTNET Howland site (HOW132). Note: HOW132 provides only total N and total S data, not NH4N, NO3N.",
,,
,,
bbwm_dep_monthly_1988_2013.csv,monthly deposition for EB (reference watershed),
Year,calendar year,
Month,month,
Ca_WET_kg_ha_mo,"calcium wet deposition, kg/ha/month",
Mg_WET_kg_ha_mo,"magnesium wet deposition, kg/ha/month",
NO3N_WET_kg_ha_mo,"nitrate wet deposition, kg-N/ha/month",
NH4N_WET_kg_ha_mo,"ammonium wet deposition, kg-N/ha/month",
N_WET_kg_ha_mo,"total N wet deposition, kg-N/ha/month",
SO4S_WET_kg_ha_mo,"sulfate wet deposition, kg-S/ha/month",
,,
,,
bbwm_export_month_1988_2015.csv,"monthly export for EB and WB streams. To calculate annual export, add all the months for each year.",
Year,calendar year,
Month,month,
Watershed,"EB = East Bear (reference), WB = West Bear (treated)",
H2O_10_6_L_mo,"water exported, 10^6 L/month",
Ca_kg_ha_mo,"calcium, kg/ha/month",
Mg_kg_ha_mo,"magnesium, kg/ha/month",
NH4N_kg_ha_mo,"ammonium, kg-N/ha/month",
NO3_N_kg_ha_mo,"nitrate, kg-N/ha/month",
SO4S_kg_ha_mo,"sulfate, kg-S/ha/month",
DOC_mg_ha_mo,"dissolved organic carbon, mg/ha/month",
,,
,,
bbwm_stream_1986_2015.csv,stream chemistry (concentrations) for point measurements,
Watershed,"EB = East Bear (reference), WB = West Bear (treated)",
Record_Type,"REG = regular grab sample, ISCO = ISCO autosampler",
Date,"date sampled, YYYY-MM-DD",
Year,year,
Month,month,
Day,day,
Hour,hour,
Ca_ueq_L,"calcium, ueq/L",
Mg_ueq_L,"magnesium, ueq/L",
NO3_ueq_L,"nitrate, ueq/L",
SO4_ueq/L,"sulfate, ueq/L",
NH4_ueq_L,"ammonium, ueq/L",
DOC_mg_L,"dissolved organic carbon, mg/L",
,,
,,
additional data available online,,
stream discharge,"USGS 01022294 East Br Bear Brook near Beddington, Maine",https://waterdata.usgs.gov/usa/nwis/uv?01022294
air temperature,"PANGAEA repository, Patel et al. 2018",https://doi.org/10.1594/PANGAEA.885860
air temperature,Data Descriptor for PANGAEA repository,https://doi.org/10.1038/sdata.2018.153
