YEAR,MONTH,DAY,RRG96
1943,11,1,0.05
1943,11,2,0.11
1943,11,7,1.22
1943,11,8,1.06
1943,12,4,0.26
1943,12,6,0.38
1943,12,10,0.24
1943,12,25,2.44
1943,12,26,0.59
1943,12,28,0.45
1944,1,2,1.71
1944,1,3,0.99
1944,1,8,0.36
1944,1,9,0.35
1944,1,14,0.5
1944,1,15,0.5
1944,1,26,0.13
1944,2,6,0.76
1944,2,8,0.71
1944,2,9,1.46
1944,2,11,1.19
1944,2,14,1.46
1944,2,16,0.06
1944,2,17,1.89
1944,2,19,0.13
1944,2,20,0.36
1944,2,22,0.77
1944,2,23,0.13
1944,2,25,0.54
1944,2,26,1.56
1944,2,27,0.85
1944,2,29,0.16
1944,3,4,0.16
1944,3,6,2.3
1944,3,7,0.09
1944,3,12,0.8
1944,3,17,0.06
1944,3,19,3.25
1944,3,20,0.05
1944,3,22,0.48
1944,3,23,0.64
1944,3,27,1.77
1944,3,28,2.17
1944,3,29,0.69
1944,4,9,0.12
1944,4,11,2.19
1944,4,12,0.22
1944,4,14,0.24
1944,4,15,1.41
1944,4,16,0.07
1944,4,18,0.18
1944,4,20,0.33
1944,4,23,0.41
1944,4,24,0.79
1944,4,26,0.84
1944,4,27,0.07
1944,5,5,0.86
1944,5,6,0.16
1944,5,13,0.09
1944,5,14,0.1
1944,5,15,0.02
1944,5,17,0.45
1944,5,19,0.36
1944,5,20,0.33
1944,5,21,0.09
1944,5,22,0.06
1944,5,23,0.31
1944,5,25,0.78
1944,5,26,0.36
1944,5,27,0.12
1944,5,28,0.3
1944,5,31,0.34
1944,6,1,0.16
1944,6,2,0.08
1944,6,3,0.11
1944,6,4,0.06
1944,6,5,0.03
1944,6,10,0.97
1944,6,12,0.05
1944,6,13,0.01
1944,7,2,0.14
1944,7,7,0.48
1944,7,9,0.06
1944,7,10,0.04
1944,7,11,0.06
1944,7,12,0.19
1944,7,13,0.38
1944,7,14,1.55
1944,7,20,0.12
1944,7,21,0.27
1944,7,28,0.48
1944,7,30,0.04
1944,7,31,0.22
1944,8,1,1.75
1944,8,3,0.61
1944,8,5,0.22
1944,8,6,0.43
1944,8,14,0.33
1944,8,15,0.46
1944,8,16,0.36
1944,8,17,0.82
1944,8,27,0.24
1944,8,30,0.04
1944,8,31,1.06
1944,9,1,0.06
1944,9,4,0.44
1944,9,5,0.19
1944,9,11,1.95
1944,9,12,0.19
1944,9,18,0.47
1944,9,21,1.7
1944,9,27,0.11
1944,9,28,0.01
1944,9,29,2.4
1944,9,30,0.04
1944,10,12,0.16
1944,10,13,0.43
1944,10,20,0.56
1944,11,9,1.05
1944,11,10,0.03
1944,11,15,0.55
1944,11,19,1.11
1944,11,20,0.02
1944,11,26,0.2
1944,11,27,2.23
1944,11,29,0.55
1944,12,7,1.57
1944,12,8,0.14
1944,12,11,0.34
1944,12,18,0.52
1944,12,21,0.02
1944,12,22,0.17
1944,12,25,0.2
1944,12,26,0.27
1944,12,27,0.62
1944,12,28,0.31
1944,12,29,1.27
1944,12,30,0.25
1944,12,31,0.29
1945,1,1,1.42
1945,1,6,0.49
1945,1,7,0.43
1945,1,8,0.05
1945,1,13,0.38
1945,1,15,0.56
1945,1,19,0.52
1945,1,23,0.04
1945,1,28,0.15
1945,2,4,0.97
1945,2,5,0.02
1945,2,6,0.26
1945,2,7,0.01
1945,2,8,0.12
1945,2,12,1.43
1945,2,13,0.81
1945,2,16,0.19
1945,2,17,1.5
1945,2,18,0.16
1945,2,20,0.08
1945,2,21,0.86
1945,2,22,1.21
1945,2,26,0.14
1945,2,27,0.1
1945,2,28,0.36
1945,3,3,0.5
1945,3,4,0.64
1945,3,12,0.13
1945,3,15,0.05
1945,3,16,0.08
1945,3,18,1.51
1945,3,20,1.09
1945,3,21,0.06
1945,3,26,1.47
1945,3,29,0.2
1945,4,2,1.24
1945,4,4,0.07
1945,4,16,0.46
1945,4,17,2.25
1945,4,22,0.17
1945,4,23,1.57
1945,4,24,0.16
1945,4,25,1.1
1945,4,28,1.42
1945,5,2,0.68
1945,5,3,0.32
1945,5,4,0.02
1945,5,5,0.04
1945,5,7,0.07
1945,5,8,0.26
1945,5,10,0.31
1945,5,12,0.22
1945,5,13,0.24
1945,5,16,0.03
1945,5,17,0.12
1945,5,22,0.03
1945,5,26,0.86
1945,6,2,0.23
1945,6,3,0.05
1945,6,7,0.01
1945,6,8,0.2
1945,6,9,1
1945,6,11,0.05
1945,6,12,0.14
1945,6,14,0.1
1945,6,18,0.15
1945,6,19,1.09
1945,6,24,0.04
1945,6,25,0.05
1945,6,30,0.01
1945,7,1,0.1
1945,7,5,0.09
1945,7,8,0.25
1945,7,9,0.02
1945,7,10,0.16
1945,7,13,0.14
1945,7,14,0.69
1945,7,15,0.29
1945,7,20,0.33
1945,7,21,0.01
1945,7,22,0.01
1945,7,25,0.5
1945,7,26,0.2
1945,7,28,0.4
1945,7,29,0.25
1945,7,31,0.09
1945,8,3,0.22
1945,8,4,0.09
1945,8,5,0.54
1945,8,6,0.4
1945,8,7,0.67
1945,8,14,0.44
1945,8,23,0.26
1945,8,24,0.93
1945,8,31,0.25
1945,9,2,0.13
1945,9,5,0.52
1945,9,7,0.2
1945,9,10,0.07
1945,9,13,2.2
1945,9,14,2.48
1945,9,16,2.35
1945,9,28,0.09
1945,9,29,0.1
1945,10,2,0.23
1945,10,5,0.45
1945,10,6,0.31
1945,10,14,0.02
1945,10,15,0.51
1945,10,21,0.1
1945,10,22,2.38
1945,10,23,0.71
1945,10,25,0.17
1945,11,3,0.47
1945,11,10,0.05
1945,11,11,0.2
1945,11,12,0.12
1945,11,13,0.1
1945,11,14,1.51
1945,11,17,0.13
1945,11,18,0.17
1945,11,19,0.75
1945,11,21,1.05
1945,11,27,0.25
1945,12,4,2.77
1945,12,9,0.04
1945,12,10,0.43
1945,12,13,1.15
1945,12,14,0.01
1945,12,18,0.62
1945,12,23,0.12
1945,12,24,0.5
1945,12,25,1.55
1945,12,27,0.04
1945,12,28,0.91
1945,12,29,0.04
1945,12,30,0.35
1945,12,31,0.06
1946,1,5,0.98
1946,1,6,3.38
1946,1,7,2.24
1946,1,8,0.13
1946,1,9,1.19
1946,1,11,0.71
1946,1,12,0.04
1946,1,15,0.39
1946,1,16,0.58
1946,1,20,0.19
1946,1,21,0.15
1946,1,26,0.08
1946,1,30,1.91
1946,1,31,0.72
1946,2,4,0.19
1946,2,6,1.16
1946,2,8,0.2
1946,2,9,1.46
1946,2,10,2.93
1946,2,13,0.49
1946,2,19,1.36
1946,2,23,0.15
1946,2,27,0.13
1946,3,7,0.38
1946,3,8,3.13
1946,3,13,0.03
1946,3,14,3.13
1946,3,16,0.67
1946,3,18,0.05
1946,3,19,0.32
1946,3,20,0.14
1946,3,26,0.43
1946,3,28,2.62
1946,3,29,0.09
1946,3,30,0.11
1946,4,6,0.07
1946,4,7,0.05
1946,4,8,0.28
1946,4,9,0.54
1946,4,11,0.04
1946,4,16,1.64
1946,4,17,0.17
1946,4,24,0.17
1946,4,25,1.1
1946,4,26,0.1
1946,4,29,0.75
1946,4,30,0.05
1946,5,1,0.35
1946,5,2,1.94
1946,5,3,1.17
1946,5,4,0.14
1946,5,7,0.15
1946,5,8,0.04
1946,5,11,0.25
1946,5,12,0.11
1946,5,14,0.96
1946,5,15,0.31
1946,5,16,1.19
1946,5,18,0.06
1946,5,19,0.25
1946,5,20,0.06
1946,5,25,1.06
1946,5,26,0.27
1946,6,1,1.11
1946,6,2,0.16
1946,6,3,0.38
1946,6,9,0.04
1946,6,14,0.45
1946,6,16,0.21
1946,6,17,0.03
1946,6,18,0.75
1946,6,21,0.14
1946,6,30,0.09
1946,7,1,0.14
1946,7,2,0.36
1946,7,3,0.3
1946,7,5,0.29
1946,7,6,0.27
1946,7,11,1.62
1946,7,14,0.19
1946,7,15,1.15
1946,7,21,0.29
1946,7,26,0.24
1946,7,27,0.16
1946,8,5,0.06
1946,8,9,0.29
1946,8,21,0.7
1946,8,22,0.16
1946,8,23,0.99
1946,8,24,0.11
1946,8,25,0.64
1946,8,26,0.05
1946,8,29,0.76
1946,9,8,0.35
1946,9,9,0.44
1946,9,10,0.63
1946,9,13,0.1
1946,9,17,0.37
1946,9,22,1.38
1946,9,23,1.3
1946,9,29,0.17
1946,10,8,2.27
1946,10,12,0.42
1946,10,18,0.06
1946,10,25,1.69
1946,11,2,0.08
1946,11,3,0.17
1946,11,7,0.99
1946,11,10,0.07
1946,11,11,0.73
1946,11,16,0.11
1946,11,17,1.03
1946,11,21,0.19
1946,11,22,0.04
1946,11,26,0.72
1946,12,12,0.99
1946,12,17,0.47
1946,12,18,0.2
1946,12,20,1.63
1946,12,21,0.02
1946,12,28,0.49
1946,12,29,0.29
1946,12,31,0.84
1947,1,1,1.38
1947,1,2,0.23
1947,1,3,0.09
1947,1,4,0.03
1947,1,5,0.23
1947,1,7,0.3
1947,1,11,0.5
1947,1,12,0.26
1947,1,13,0.58
1947,1,14,0.01
1947,1,15,1.49
1947,1,16,0.86
1947,1,17,0.22
1947,1,18,0.74
1947,1,19,2.02
1947,1,20,1.64
1947,1,25,0.13
1947,1,26,0.19
1947,1,29,0.05
1947,1,30,1.45
1947,2,4,0.35
1947,2,6,0.58
1947,2,7,0.04
1947,2,19,0.62
1947,2,20,1.12
1947,2,22,0.04
1947,2,23,0.11
1947,3,1,0.47
1947,3,5,0.41
1947,3,6,0.42
1947,3,7,0.8
1947,3,8,0.52
1947,3,13,0.6
1947,3,14,0.12
1947,3,19,0.38
1947,3,21,0.03
1947,3,24,0.75
1947,3,27,1.03
1947,4,1,0.04
1947,4,2,0.15
1947,4,4,0.1
1947,4,5,0.06
1947,4,8,0.08
1947,4,10,0.48
1947,4,11,1.17
1947,4,13,0.05
1947,4,14,1.67
1947,4,15,0.17
1947,4,16,1.24
1947,4,20,0.09
1947,4,28,0.08
1947,4,30,0.45
1947,5,1,0.45
1947,5,3,0.11
1947,5,4,0.04
1947,5,16,0.46
1947,5,17,0.06
1947,5,18,0.07
1947,5,20,0.34
1947,5,21,1.9
1947,5,24,0.38
1947,5,25,0.13
1947,5,28,0.07
1947,5,29,0.23
1947,6,2,0.17
1947,6,11,0.34
1947,6,12,0.23
1947,6,13,1.07
1947,6,14,0.56
1947,6,20,0.57
1947,6,21,0.79
1947,6,22,0.73
1947,6,26,0.29
1947,6,27,0.06
1947,6,28,0.11
1947,6,30,0.1
1947,7,5,0.6
1947,7,6,0.56
1947,7,7,0.15
1947,7,8,0.28
1947,7,14,0.44
1947,7,15,0.8
1947,7,16,0.3
1947,7,17,0.11
1947,7,18,0.26
1947,7,19,0.06
1947,7,28,0.1
1947,8,1,0.57
1947,8,2,0.01
1947,8,4,0.24
1947,8,5,0.16
1947,8,6,1.36
1947,8,7,0.22
1947,8,11,0.34
1947,8,13,0.04
1947,8,18,0.42
1947,8,24,0.47
1947,8,25,2.54
1947,9,6,0.62
1947,9,8,0.37
1947,9,10,0.78
1947,9,11,0.32
1947,9,13,0.2
1947,9,15,0.3
1947,9,18,0.08
1947,9,21,0.27
1947,9,22,0.27
1947,10,7,0.29
1947,10,8,0.83
1947,10,9,0.22
1947,10,10,0.09
1947,10,15,0.04
1947,10,16,2.62
1947,10,17,0.88
1947,10,23,0.22
1947,10,24,1.56
1947,10,25,0.08
1947,10,27,0.96
1947,10,28,0.1
1947,11,2,1.69
1947,11,3,0.08
1947,11,5,0.26
1947,11,7,0.55
1947,11,10,0.07
1947,11,11,1.27
1947,11,14,0.81
1947,11,15,0.8
1947,11,18,0.58
1947,11,19,0.05
1947,11,22,0.15
1947,11,23,0.19
1947,11,24,0.21
1947,12,5,0.43
1947,12,7,0.09
1947,12,8,0.4
1947,12,9,0.1
1947,12,10,0.64
1947,12,11,0.07
1947,12,15,2.02
1947,12,16,0.05
1947,12,24,0.15
1947,12,25,0.36
1947,12,31,0.22
1948,1,1,1.35
1948,1,4,0.04
1948,1,12,0.6
1948,1,13,0.78
