YEAR,MONTH,DAY,TMIN,TMAX,TAVG,RHMIN,RHMAX,RHAVG,VPMIN,VPMAX,VPAVG,WIND,W_DIR,PPFD,TOTALSOLAR
1990,1,1,-5.1,4.8,-0.27083333,56,92,76.4166667,3.62,7.73,4.59041667,2.1375,244.708333,,
1990,1,2,-5.8,9.9,0.166666667,45,97,75.5833333,3.73,5.88,4.53291667,0.908333333,237.833333,,
1990,1,3,-1.9,15.6,5.38333333,44,93,73.125,3.9,9.65,6.6875,1.27916667,195.5,,
1990,1,4,6.9,11.7,9.70833333,88,100,98.125,9.14,13.47,11.8308333,1.71666667,150.708333,,
1990,1,5,5.5,14.3,8.72916667,70,100,90.9583333,8.29,12.58,10.24625,1.1375,192.708333,,
1990,1,6,5.5,11.1,7.00416667,80,100,96.0833333,8.28,11.79,9.71333333,0.7625,235.041667,,
1990,1,7,5,6.8,5.9,91,100,97.5,8.3,9.91,9.0925,1.00833333,167.541667,,
1990,1,8,-0.2,13.2,6.45833333,68,100,92.5416667,5.96,11.05,8.99833333,1.8375,214.333333,,
1990,1,9,-3.7,13.4,3.81666667,41,100,82.2083333,4.71,8.63,6.44916667,2.00416667,252.75,,
1990,1,10,1.6,14.1,7.425,20,74,45.875,2.29,7.62,4.57333333,2.88333333,293.5,,
1990,1,11,-1.8,18.8,9.07083333,31,73,46.2083333,2.91,7.18,5.33458333,3.3625,219.875,,
1990,1,12,-4.9,7.5,-0.04166667,31,61,47,2.04,4.43,2.83333333,3.7125,293.125,,
1990,1,13,-7.2,10.1,-0.22916667,22,60,38.5833333,1.55,3.17,2.18916667,1.9375,215.5,,
1990,1,14,-3.4,13.6,2.5875,21,57,36.9583333,1.78,4.25,2.59791667,1.2875,175.541667,,
1990,1,15,0.7,17.8,7.62916667,37,76,51.5833333,2.55,10.37,5.73916667,0.933333333,233.541667,,
1990,1,16,6.4,21.8,11.7,29,88,65.6666667,6.56,11.71,8.53666667,1.02916667,144.333333,,
1990,1,17,8.8,20,13.0625,60,93,77.625,8.83,14.54,11.6629167,2.1,159.958333,,
1990,1,18,10.2,20.9,14.1416667,62,100,86.7916667,11.99,17.55,13.9133333,1.72916667,164.666667,,
1990,1,19,8.4,12.7,10.5041667,80,100,94.25,10.94,12.9,11.9379167,1.31666667,222.25,,
1990,1,20,9.3,12.8,10.825,96,100,98.9166667,11.54,14.37,12.8295833,1.7375,187.75,,
1990,1,21,1.4,15,9.89166667,32,100,64.2083333,5.02,14.16,7.78416667,2.87916667,235,,
1990,1,22,-1.9,16.9,5.87916667,26,94,57.4583333,3.75,6.9,4.82291667,1.625,247.875,,
1990,1,23,1.6,17.6,8.34166667,24,66,45.7083333,3.98,7.85,4.87958333,1.75,167.625,,
1990,1,24,6.2,10.2,8.47916667,46,100,90.625,5.2,12.12,10.0458333,1.10833333,162,,
1990,1,25,-1,11.6,7.34166667,48,100,95,4.49,13.09,10.0295833,2.05833333,183.375,,
1990,1,26,-4.8,7.2,0.045833333,36,99,65.125,3.21,5.72,3.83833333,2.19583333,293.333333,,
1990,1,27,-4.7,13.6,2.875,28,90,58.4166667,3.48,6.13,4.12416667,1.325,133.958333,,
1990,1,28,-1.8,18.2,6.3,24,75,53.9583333,3.64,8.12,5.01208333,1.43333333,131.541667,,
1990,1,29,-2.1,12.4,7.0625,65,99,87.75,4.45,13.84,9.20125,3,208.75,,
1990,1,30,-4.4,12.6,2.62916667,28,94,65.625,3.4,7.38,4.58416667,1.13333333,220.791667,,
1990,1,31,-1.8,19.3,7.02083333,18,81,49.1666667,2.98,7.8,4.43333333,1.25833333,210.541667,,
1990,2,1,2.6,18.6,10.25,30,92,51.25,2.97,11.24,6.43,1.6375,138,,
1990,2,2,9.8,23.8,14.6083333,59,99,91.1666667,10.68,18.27,15.095,1.8625,146.375,,
1990,2,3,10.1,20,14.5458333,76,100,93.3333333,12.38,19.88,15.4979167,1.78333333,198.416667,,
1990,2,4,2.9,17.7,11.45,49,99,80.9583333,6.08,18.15,11.3575,2.9,227.875,,
1990,2,5,-2.1,18.8,6.71666667,19,84,56.5,3.82,7.52,5.11375,1.88333333,175.75,,
1990,2,6,0.3,17,6.94166667,19,98,56.4166667,2.72,9.93,5.36625,1.675,185.75,,
1990,2,7,3.9,13.2,8.31666667,66,99,89.25,7.87,12.54,9.76041667,1.45416667,187.333333,,
1990,2,8,-0.8,18.1,7.2,50,100,83.4583333,5.84,11.47,8.34083333,1.22916667,164.541667,,
1990,2,9,7.1,14.4,10.3125,88,99,96.1666667,9.27,15.77,12.1479167,1.55,88.1666667,,
1990,2,10,2.3,16.7,9.72083333,74,98,88.1666667,5.55,17.14,11.1095833,2.4625,237.375,,
1990,2,11,-1.7,15.4,5.62083333,29,98,66.5416667,4.36,9.13,5.70791667,1.65,255.833333,,
1990,2,12,2.4,19.1,9.66666667,17,68,40.4166667,2.58,6.12,4.4275,1.94583333,207.041667,,
1990,2,13,6.1,18.5,11.8958333,38,61,47.0416667,4.28,8.4,6.5425,2.34583333,133.958333,,
1990,2,14,8.4,23.3,14.2458333,41,85,66.125,7.02,12.59,10.525,1.98333333,159.791667,,
1990,2,15,12,15.9,13.9291667,77,97,90.125,11.39,16.28,14.36,2.55833333,178.375,,
1990,2,16,9.5,15.1,13.0333333,92,99,96.75,11.27,16.59,14.5833333,1.39166667,157.875,,
1990,2,17,0.9,12.9,6.83333333,25,100,64.9583333,3.28,11.49,6.27541667,1.18333333,254.583333,,
1990,2,18,2.8,10.9,6.44583333,42,99,67.75,3.47,10.55,6.76791667,1.46666667,165.708333,,
1990,2,19,5.7,15.8,9.30833333,65,100,85.9166667,6.49,13.93,10.09375,1.275,224.25,,
1990,2,20,0.4,18.3,8.175,26,80,52.625,3.08,7.52,5.3975,1.58333333,204.375,,
1990,2,21,0.4,16.3,7.20833333,19,96,52.875,3.03,10.5,5.42583333,2.0875,194,,
1990,2,22,8,13.9,11.3833333,87,99,94.9583333,10.29,15.33,12.81625,3.20416667,197.958333,,
1990,2,23,-0.9,15.1,8.55,54,93,77.7916667,4.8,12.51,8.77458333,2.7625,244.666667,,
1990,2,24,-4.1,11.3,2.67083333,27,86,55,1.64,5.97,4.05541667,4.5125,274.791667,,
1990,2,25,-8.4,7.5,-1.5458333,21,46,32.8333333,1.31,2.35,1.73541667,1.825,205.416667,,
1990,2,26,-6.7,10.3,-0.13333333,27,57,43.125,1.81,3.72,2.55708333,1.25416667,97.25,,
1990,2,27,-3.5,18.6,6.49166667,29,65,46.0833333,2.49,7.25,4.56041667,1.4625,225.958333,,
1990,2,28,5.9,16.7,10.9333333,47,88,63.7083333,6.17,10.08,8.26875,1.5375,208.708333,,
1990,3,1,4.3,8.4,6.5,79,99,91.4583333,7.76,10.21,8.8575,1.39166667,171.708333,,
1990,3,2,4.1,8.9,6.82083333,84,100,97.125,7.69,11.17,9.67333333,1.4,119.916667,,
1990,3,3,3.9,18,10.1333333,22,99,68,3.96,12.05,8.07,2.28333333,269.625,,
1990,3,4,-0.1,17.9,7.9875,26,76,49.5833333,4.09,6.69,5.07375,1.8125,217.708333,,
1990,3,5,1.6,18.5,9.1625,35,95,61.9583333,5.13,9.33,6.80625,1.4125,172.458333,,
1990,3,6,3.4,21.2,11.2208333,31,90,60.4583333,6.25,10.09,7.64291667,1.14583333,188.875,,
1990,3,7,3.6,15.4,9.01666667,50,84,65.9166667,5.47,9.57,7.54333333,1.675,152.541667,,
1990,3,8,1.6,8.2,4.58333333,68,100,91.5833333,5.05,10.62,7.86875,1.47083333,144.875,,
1990,3,9,5.8,13.4,9.15,94,100,98.0833333,9.2,14.72,11.4595833,1.0125,159.166667,,
1990,3,10,8.9,22,14.7375,71,99,90.5833333,11.28,20.41,15.24125,0.983333333,220.583333,,
1990,3,11,9.8,27.4,16.7041667,43,98,77.0833333,11.86,20.27,14.0808333,1.38333333,197.833333,,
1990,3,12,11.5,27.7,18.3833333,32,95,62.2083333,8.99,17.96,12.2458333,1.3125,218.708333,,
1990,3,13,11.8,26.3,18.1041667,35,82,56.75,9.08,15.3,11.4408333,1.275,187.583333,,
1990,3,14,13.1,27.3,18.8166667,37,83,61.5,11.02,15.82,12.9216667,2.2125,127.208333,,
1990,3,15,14.3,18.4,16.0666667,68,96,90.1666667,13,18.33,16.4341667,3.04166667,175.583333,,
