account,data_set,date,date_type,location,rain,snow,station,sublocation,trace,update_date,version,zzfull_old_measure_date,zzfull_old_total_precip,zztemp_account
ela2/skylark,M01,6/30/1969,sample_date,239,0,0,MET,AIR,,3/24/1994,1,20690630,0,
ela2/skylark,M01,11/4/1969,sample_date,239,0,0,MET,AIR,,3/24/1994,1,20691104,0,
ela2/skylark,M01,11/6/1969,sample_date,239,0,0,MET,AIR,,3/24/1994,1,20691106,0,
ela2/skylark,M01,11/7/1969,sample_date,239,0,0,MET,AIR,,3/24/1994,1,20691107,0,
ela2/skylark,M01,11/8/1969,sample_date,239,0,0,MET,AIR,,3/24/1994,1,20691108,0,
ela2/skylark,M01,11/9/1969,sample_date,239,0,0,MET,AIR,,3/24/1994,1,20691109,0,
ela2/skylark,M01,11/11/1969,sample_date,239,0,3,MET,AIR,,3/24/1994,1,20691111,3,
ela2/skylark,M01,11/14/1969,sample_date,239,0,2.5,MET,AIR,,3/24/1994,1,20691114,2.5,
ela2/skylark,M01,11/16/1969,sample_date,239,0,1.3,MET,AIR,,3/24/1994,1,20691116,1.3,
ela2/skylark,M01,11/17/1969,sample_date,239,0,0,MET,AIR,,3/24/1994,1,20691117,0,
ela2/skylark,M01,11/18/1969,sample_date,239,0,0.8,MET,AIR,,3/24/1994,1,20691118,0.8,
ela2/skylark,M01,11/20/1969,sample_date,239,0,0,MET,AIR,,3/24/1994,1,20691120,0,
ela2/skylark,M01,11/23/1969,sample_date,239,0,0.3,MET,AIR,,3/24/1994,1,20691123,0.3,
ela2/skylark,M01,11/26/1969,sample_date,239,0,0,MET,AIR,,3/24/1994,1,20691126,0,
ela2/skylark,M01,11/28/1969,sample_date,239,0,0,MET,AIR,,3/24/1994,1,20691128,0,
ela2/skylark,M01,11/30/1969,sample_date,239,0,0,MET,AIR,,3/24/1994,1,20691130,0,
ela2/skylark,M01,12/2/1969,sample_date,239,0,0,MET,AIR,,3/24/1994,1,20691202,0,
ela2/skylark,M01,12/5/1969,sample_date,239,0,4.8,MET,AIR,,3/24/1994,1,20691205,4.8,
ela2/skylark,M01,12/6/1969,sample_date,239,0,2.8,MET,AIR,,3/24/1994,1,20691206,2.8,
ela2/skylark,M01,12/7/1969,sample_date,239,0,9.1,MET,AIR,,3/24/1994,1,20691207,9.1,
ela2/skylark,M01,12/9/1969,sample_date,239,0,0.8,MET,AIR,,3/24/1994,1,20691209,0.8,
ela2/skylark,M01,12/10/1969,sample_date,239,0,0.3,MET,AIR,,3/24/1994,1,20691210,0.3,
ela2/skylark,M01,12/11/1969,sample_date,239,0,5.1,MET,AIR,,3/24/1994,1,20691211,5.1,
ela2/skylark,M01,12/12/1969,sample_date,239,0,0.5,MET,AIR,,3/24/1994,1,20691212,0.5,
ela2/skylark,M01,12/13/1969,sample_date,239,0,0,MET,AIR,,3/24/1994,1,20691213,0,
ela2/skylark,M01,12/14/1969,sample_date,239,0,0,MET,AIR,,3/24/1994,1,20691214,0,
ela2/skylark,M01,12/15/1969,sample_date,239,0,0,MET,AIR,,3/24/1994,1,20691215,0,
ela2/skylark,M01,12/16/1969,sample_date,239,0,0,MET,AIR,,3/24/1994,1,20691216,0,
ela2/skylark,M01,12/17/1969,sample_date,239,0,0,MET,AIR,,3/24/1994,1,20691217,0,
ela2/skylark,M01,12/19/1969,sample_date,239,0,0,MET,AIR,TS,3/24/1994,1,20691219,0,
ela2/skylark,M01,12/20/1969,sample_date,239,0,0,MET,AIR,TS,3/24/1994,1,20691220,0,
ela2/skylark,M01,12/22/1969,sample_date,239,0,0,MET,AIR,TS,3/24/1994,1,20691222,0,
ela2/skylark,M01,12/23/1969,sample_date,239,0,0,MET,AIR,,3/24/1994,1,20691223,0,
ela2/skylark,M01,12/26/1969,sample_date,239,0,0,MET,AIR,TS,3/24/1994,1,20691226,0,
ela2/skylark,M01,12/28/1969,sample_date,239,0,2,MET,AIR,,3/24/1994,1,20691228,2,
ela2/skylark,M01,12/29/1969,sample_date,239,0,0,MET,AIR,TS,3/24/1994,1,20691229,0,
ela2/skylark,M01,12/30/1969,sample_date,239,0,0,MET,AIR,TS,3/24/1994,1,20691230,0,
ela2/skylark,M01,12/31/1969,sample_date,239,0,0.8,MET,AIR,,3/24/1994,1,20691231,0.8,
ela2/skylark,M01,9/19/1987,sample_date,239,0,0,MET,AIR,TR,3/24/1994,1,19870919,0,
ela2/skylark,M01,4/2/1992,sample_date,239,0,0,MET,AIR,TS,3/24/1994,1,19920402,0,
GUSSD/skylark,M01,8/5/2008,sample_date,239,0,0,MET,AIR,TR,1/15/2010,3,20080805,0,
ela2/skylark,M01,12/20/1970,sample_date,239,0,0,MET,AIR,,3/24/1994,1,19701220,0,
ela2/skylark,M01,12/21/1970,sample_date,239,0,3.6,MET,AIR,,3/24/1994,1,19701221,3.6,
ela2/skylark,M01,12/23/1970,sample_date,239,0,0.5,MET,AIR,,3/24/1994,1,19701223,0.5,
ela2/skylark,M01,12/26/1970,sample_date,239,0,12.7,MET,AIR,,3/24/1994,1,19701226,12.7,
ela2/skylark,M01,12/31/1970,sample_date,239,0,4.6,MET,AIR,,3/24/1994,1,19701231,4.6,
ela2/skylark,M01,1/1/1971,sample_date,239,0,1,MET,AIR,,3/24/1994,1,19710101,1,
ela2/skylark,M01,1/8/1971,sample_date,239,0,0.8,MET,AIR,,3/24/1994,1,19710108,0.8,
ela2/skylark,M01,1/10/1971,sample_date,239,0,0,MET,AIR,,3/24/1994,1,19710110,0,
ela2/skylark,M01,1/11/1971,sample_date,239,0,0,MET,AIR,,3/24/1994,1,19710111,0,
ela2/skylark,M01,1/12/1971,sample_date,239,0,4.3,MET,AIR,,3/24/1994,1,19710112,4.3,
ela2/skylark,M01,1/13/1971,sample_date,239,0,6.4,MET,AIR,,3/24/1994,1,19710113,6.4,
ela2/skylark,M01,1/14/1971,sample_date,239,0,0,MET,AIR,,3/24/1994,1,19710114,0,
ela2/skylark,M01,1/15/1971,sample_date,239,0,0,MET,AIR,,3/24/1994,1,19710115,0,
ela2/skylark,M01,1/16/1971,sample_date,239,0,0,MET,AIR,,3/24/1994,1,19710116,0,
ela2/skylark,M01,1/18/1971,sample_date,239,0,0,MET,AIR,,3/24/1994,1,19710118,0,
ela2/skylark,M01,1/19/1971,sample_date,239,0,2.3,MET,AIR,,3/24/1994,1,19710119,2.3,
ela2/skylark,M01,1/23/1971,sample_date,239,0,0,MET,AIR,,3/24/1994,1,19710123,0,
ela2/skylark,M01,1/24/1971,sample_date,239,0,0,MET,AIR,,3/24/1994,1,19710124,0,
ela2/skylark,M01,1/25/1971,sample_date,239,0,0,MET,AIR,,3/24/1994,1,19710125,0,
ela2/skylark,M01,1/27/1971,sample_date,239,0,0,MET,AIR,,3/24/1994,1,19710127,0,
ela2/skylark,M01,1/28/1971,sample_date,239,0,1.8,MET,AIR,,3/24/1994,1,19710128,1.8,
ela2/skylark,M01,1/30/1971,sample_date,239,0,0,MET,AIR,,3/24/1994,1,19710130,0,
ela2/skylark,M01,1/31/1971,sample_date,239,0,0,MET,AIR,,3/24/1994,1,19710131,0,
ela2/skylark,M01,2/3/1971,sample_date,239,0,2.5,MET,AIR,,3/24/1994,1,19710203,2.5,
ela2/skylark,M01,2/4/1971,sample_date,239,0,0,MET,AIR,,3/24/1994,1,19710204,0,
ela2/skylark,M01,2/6/1971,sample_date,239,0,0,MET,AIR,,3/24/1994,1,19710206,0,
ela2/skylark,M01,2/8/1971,sample_date,239,0,0,MET,AIR,,3/24/1994,1,19710208,0,
ela2/skylark,M01,2/11/1971,sample_date,239,0,0.5,MET,AIR,,3/24/1994,1,19710211,0.5,
ela2/skylark,M01,2/15/1971,sample_date,239,0,0,MET,AIR,,3/24/1994,1,19710215,0,
ela2/skylark,M01,2/18/1971,sample_date,239,0,0,MET,AIR,,3/24/1994,1,19710218,0,
ela2/skylark,M01,2/19/1971,sample_date,239,0,0,MET,AIR,,3/24/1994,1,19710219,0,
ela2/skylark,M01,2/21/1971,sample_date,239,0,0,MET,AIR,,3/24/1994,1,19710221,0,
ela2/skylark,M01,2/22/1971,sample_date,239,0,0,MET,AIR,,3/24/1994,1,19710222,0,
ela2/skylark,M01,2/24/1971,sample_date,239,0,0,MET,AIR,,3/24/1994,1,19710224,0,
ela2/skylark,M01,2/25/1971,sample_date,239,0,0,MET,AIR,,3/24/1994,1,19710225,0,
ela2/skylark,M01,3/1/1971,sample_date,239,0,0.8,MET,AIR,,3/24/1994,1,19710301,0.8,
ela2/skylark,M01,3/2/1971,sample_date,239,0,0,MET,AIR,,3/24/1994,1,19710302,0,
ela2/skylark,M01,3/3/1971,sample_date,239,0,0,MET,AIR,,3/24/1994,1,19710303,0,
ela2/skylark,M01,3/4/1971,sample_date,239,0,1.5,MET,AIR,,3/24/1994,1,19710304,1.5,
ela2/skylark,M01,3/10/1971,sample_date,239,0,0,MET,AIR,,3/24/1994,1,19710310,0,
ela2/skylark,M01,3/11/1971,sample_date,239,0,1,MET,AIR,,3/24/1994,1,19710311,1,
ela2/skylark,M01,3/13/1971,sample_date,239,0,8.4,MET,AIR,,3/24/1994,1,19710313,8.4,
ela2/skylark,M01,3/14/1971,sample_date,239,0,11.4,MET,AIR,,3/24/1994,1,19710314,11.4,
ela2/skylark,M01,3/15/1971,sample_date,239,0,0,MET,AIR,,3/24/1994,1,19710315,0,
ela2/skylark,M01,3/17/1971,sample_date,239,0,0,MET,AIR,,3/24/1994,1,19710317,0,
ela2/skylark,M01,3/18/1971,sample_date,239,0,0,MET,AIR,,3/24/1994,1,19710318,0,
ela2/skylark,M01,3/19/1971,sample_date,239,0,0.5,MET,AIR,,3/24/1994,1,19710319,0.5,
ela2/skylark,M01,3/20/1971,sample_date,239,0,0,MET,AIR,TS,3/24/1994,1,19710320,0,
ela2/skylark,M01,3/21/1971,sample_date,239,0,0.5,MET,AIR,,3/24/1994,1,19710321,0.5,
ela2/skylark,M01,3/22/1971,sample_date,239,0,1,MET,AIR,,3/24/1994,1,19710322,1,
ela2/skylark,M01,3/23/1971,sample_date,239,0,0,MET,AIR,,3/24/1994,1,19710323,0,
ela2/skylark,M01,3/25/1971,sample_date,239,0,7.1,MET,AIR,,3/24/1994,1,19710325,7.1,
