WS,Year,Month,Day,Date,EST,Ca,Mg,K,Na,Al_Ferron,TMAl,OMAl,Al_ICP,NH4,pH,SO4,NO3,Cl,PO4,DOC,TDN,DON,DIC,SiO2,Mn,Fe,F,ANC,Cation,Anion,SpecCond,TheoryCond,Temp_C,GageHt,Flow,Hydro,FieldCode,VarCode,IonBal,IonErr,Qcode,Pass
9,1995,5,30,5/30/1995,1400,0.62,0.2,0.11,0.54,-888.88,-888.89,-888.89,-888.88,0.02,4.31,4.44,0.01,0.52,0.01,9.39,-888.88,0.9,-888,4,-888.88,-888.88,-888.88,-49.8,164.7,107.2,24.9,33.5,-888.8,0.62,38.91, F ,0, AAA ,57.5,42.3,0,T
9,1995,6,5,6/5/1995,1245,0.7,0.22,0.1,0.63,-888.88,-888.89,-888.89,-888.88,0.02,4.36,4.62,0.01,0.53,0.01,8.95,-888.88,0.2,-888,4.4,-888.88,-888.88,-888.88,-44.7,161.8,111.2,18.9,31.9,-888.8,0.35,9.8, L ,0, AAA ,50.6,37.1,0,T
9,1995,6,13,6/13/1995,1320,0.74,0.23,0.1,0.66,-888.88,-888.89,-888.89,-888.88,0.02,4.36,4.6,0.01,0.54,0.01,9.65,-888.88,0.2,-888,5.2,-888.88,-888.88,-888.88,-46.8,169.4,111.1,22.8,32.4,-888.8,0.35,9.39, L ,0, AAA ,58.3,41.6,0,T
9,1995,6,19,6/19/1995,1145,0.79,0.25,0.14,0.9,-888.88,-888.89,-888.89,-888.88,0.02,4.53,4.8,0.01,0.51,0.01,6.29,-888.88,0.15,-888,5.9,-888.88,-888.88,-888.88,-26.1,152.9,114.4,20.2,26.9,-888.8,0.16,1.33, L ,0, AAA ,38.5,28.8,0,T
9,1995,6,26,6/26/1995,920,0.77,0.26,0.18,1.2,-888.88,-888.89,-888.89,-888.88,0.02,4.78,4.85,0.01,0.58,0.01,5.89,-888.88,0.15,-888,8.1,-888.88,-888.88,-888.88,-15.5,150.5,117.4,19,23,-888.8,0.1,0.39, L ,0, AAA ,33.1,24.7,0,T
9,1995,7,3,7/3/1995,1430,0.78,0.26,0.25,1.43,-888.88,-888.89,-888.89,-888.88,0.02,4.98,4.83,0.01,0.6,0.01,6.14,-888.88,0.15,-888,9.3,-888.88,-888.88,-888.88,-6.4,153.3,117.5,15.1,21.3,-888.8,0.07,0.18, L ,0, AAA ,35.8,26.4,0,T
9,1995,7,10,7/10/1995,1230,0.9,0.31,0.21,1.17,-888.88,-888.89,-888.89,-888.88,0.02,4.78,4.98,0.01,0.6,0.01,6.76,-888.88,0.17,-888,7.9,-888.88,-888.88,-888.88,-15.9,159.7,120.7,18.4,23.8,-888.8,0.13,0.79, L ,0, AAA ,39,27.8,0,T
9,1995,7,18,7/18/1995,1325,0.71,0.25,0.06,0.59,-888.88,-888.89,-888.89,-888.88,0.02,4.23,5.3,0.01,0.55,0.01,12.12,-888.88,0.24,-888,5.7,-888.88,-888.88,-888.88,-65.5,190.9,125.9,24.9,39.6,-888.8,0.49,21.87, L ,0, AAA ,65,41,0,T
9,1995,7,24,7/24/1995,1230,0.84,0.29,0.13,0.97,-888.88,-888.89,-888.89,-888.88,0.02,4.52,5.23,0.01,0.53,0.01,7.21,-888.88,0.18,-888,7.3,-888.88,-888.88,-888.88,-31,163.1,123.9,22.7,28.5,-888.8,0.14,1, L ,0, AAA ,39.2,27.3,0,T
9,1995,7,31,7/31/1995,835,0.79,0.27,0.09,0.75,-888.88,-888.89,-888.89,-888.88,0.03,4.35,5.49,0.01,0.54,0.01,8.78,-888.88,0.19,-888,6.9,-888.88,-888.88,-888.88,-47.7,177,129.6,27.1,34.5,-888.8,0.24,3.62, L ,0, AAA ,47.4,30.9,0,T
9,1995,8,7,8/7/1995,1200,0.64,0.19,0.04,0.49,-888.88,-888.89,-888.89,-888.88,0.02,4.22,4.53,0.01,0.45,0.01,11.38,-888.88,0.24,-888,5,-888.88,-888.88,-888.88,-60.9,174.7,107.1,24.9,37.5,-888.8,0.56,30.46, F ,0, AAA ,67.6,48,0,T
9,1995,8,14,8/14/1995,1045,0.8,0.24,0.12,0.8,-888.88,-888.89,-888.89,-888.88,0.03,4.5,4.86,0.01,0.5,0.01,7.74,-888.88,0.19,-888,7.2,-888.88,-888.88,-888.88,-35.8,154.7,115.3,21.1,27.9,14,0.23,3.25, L ,0, AAA ,39.4,29.2,0,T
9,1995,8,21,8/21/1995,1125,0.84,0.27,0.17,1.14,-888.88,-888.89,-888.89,-888.88,0.03,4.8,4.82,0.01,0.52,0.01,6.34,-888.88,0.17,-888,8.9,-888.88,-888.88,-888.88,-14.9,150.9,115.1,17,22.7,14,0.11,0.62, L ,0, AAA ,35.8,26.9,0,T
9,1995,8,28,8/28/1995,925,0.85,0.29,0.21,1.27,-888.88,-888.89,-888.89,-888.88,0.03,5.03,4.71,0.01,0.55,0.01,5.93,-888.88,0.15,-888,9.5,-888.88,-888.88,-888.88,4.4,151.5,113.6,16.4,22,11,0.1,0.45, L ,0, AAA ,37.9,28.6,0,T
9,1995,9,5,9/5/1995,1005,0.78,0.27,0.2,1.48,-888.88,-888.89,-888.89,-888.88,0.03,5.02,4.73,0.01,0.56,0.01,5.75,-888.88,0.15,-888,10.4,-888.88,-888.88,-888.88,-6.2,152.1,114.3,15.9,20.6,12,0.06,0.15, L ,0, AAA ,37.8,28.4,0,T
9,1995,9,11,9/11/1995,1110,0.89,0.31,0.24,1.33,-888.88,-888.89,-888.89,-888.88,0.03,5.09,4.96,0.01,0.58,0.01,5.29,-888.88,0.13,-888,9.6,-888.88,-888.88,-888.88,1.8,155.6,119.7,16.4,22,8,0.1,0.45, L ,0, AAA ,35.9,26.1,0,T
9,1995,9,18,9/18/1995,1525,0.88,0.31,0.27,1.29,-888.88,-888.89,-888.89,-888.88,0.03,5.16,4.8,0.01,0.58,0.01,5.31,-888.88,0.11,-888,9.2,-888.88,-888.88,-888.88,-2.3,151.3,116.4,15.9,20,9.1,0.14,1.02, L ,0, AAA ,34.9,26.1,0,T
9,1995,9,25,9/25/1995,1300,1.07,0.38,0.18,1,-888.88,-888.89,-888.89,-888.88,0.03,4.46,6.65,0.01,0.61,0.01,8.25,-888.88,0.19,-888,8.9,-888.88,-888.88,-888.88,-38.6,197.2,155.7,23.3,34.5,7.1,0.18,1.96, L ,0, AAA ,41.5,23.5,0,T
9,1995,10,2,10/2/1995,1255,0.96,0.36,0.28,1.2,-888.88,-888.89,-888.89,-888.88,0.01,4.74,5.86,0.01,0.6,0,5.98,-888.88,0.16,-888,9.8,-888.88,-888.88,-888.88,-15.6,170.7,139,18.5,26.4,8.2,0.14,0.95, L ,0, AAA ,31.7,20.5,0,T
9,1995,10,10,10/10/1995,1405,0.8,0.29,0.16,0.78,-888.88,-888.89,-888.89,-888.88,0.01,4.32,5.74,0.01,0.73,0,8.15,-888.88,0.19,-888,7.3,-888.88,-888.88,-888.88,-47.5,184.9,140.1,24.9,36.7,8.2,0.31,7.13, L ,0, AAA ,44.8,27.6,0,T
9,1995,10,16,10/16/1995,1330,0.77,0.28,0.15,0.75,-888.88,-888.89,-888.89,-888.88,0.02,4.26,5.77,0.01,0.82,0.01,9.45,-888.88,0.21,-888,7.4,-888.88,-888.88,-888.88,-61.1,197.4,143.3,25.1,40,6.7,0.43,15.43, L ,0, AAA ,54.1,31.8,0,T
9,1995,10,23,10/23/1995,925,0.65,0.21,0.15,0.59,-888.88,-888.89,-888.89,-888.88,0.02,4.33,4.54,0.01,0.92,0.01,10.73,-888.88,0.23,-888,5,-888.88,-888.88,-888.88,-62.5,173.1,120.5,24.7,34.6,8,0.6,36.2, L ,0, AAA ,52.6,35.8,0,T
9,1995,10,30,10/30/1995,1000,0.64,0.21,0.11,0.6,-888.88,-888.89,-888.89,-888.88,0.02,4.3,4.56,0.01,0.81,0.01,9.19,-888.88,0.21,-888,5.2,-888.88,-888.88,-888.88,-56.4,171.1,117.9,23.2,35.1,4,0.51,24.35, L ,0, AAA ,53.2,36.8,0,T
