STCODE,FORMAT,SITECODE,WATERYEAR,YEAR,MONTH,MEAN_Q,MAX_Q,MIN_Q,MEAN_Q_AREA,TOTAL_Q_AREA,ESTCODE,ESTDAYS,TOTAL_DAYS,TOTAL_Q_AREA mm
HF004,3,GSLOOK,1950,1949,10,30,124,11,1.25,1.44,A,0,31,36.576
HF004,3,GSLOOK,1950,1949,11,106,1180,15,4.4,4.91,A,0,30,124.714
HF004,3,GSLOOK,1950,1949,12,123,287,68,5.12,5.9,A,0,31,149.86
HF004,3,GSLOOK,1950,1950,1,187,1164,50,7.75,8.94,A,0,31,227.076
HF004,3,GSLOOK,1950,1950,2,344,1981,88,14.31,14.9,A,0,28,378.46
HF004,3,GSLOOK,1950,1950,3,338,1092,116,14.03,16.17,A,0,31,410.718
HF004,3,GSLOOK,1950,1950,4,250,429,163,10.38,11.58,A,0,30,294.132
HF004,3,GSLOOK,1950,1950,5,255,451,137,10.61,12.23,A,0,31,310.642
HF004,3,GSLOOK,1950,1950,6,212,491,111,8.8,9.81,A,0,30,249.174
HF004,3,GSLOOK,1950,1950,7,46,113,24,1.92,2.21,A,0,31,56.134
HF004,3,GSLOOK,1950,1950,8,19,65,15,0.81,0.93,A,0,31,23.622
HF004,3,GSLOOK,1950,1950,9,14,64,12,0.6,0.68,A,0,30,17.272
HF004,3,GSLOOK,1951,1950,10,179,1802,13,7.45,8.58,A,0,31,217.932
HF004,3,GSLOOK,1951,1950,11,287,1439,79,11.92,13.29,A,0,30,337.566
HF004,3,GSLOOK,1951,1950,12,284,1283,84,11.81,13.62,A,0,31,345.948
HF004,3,GSLOOK,1951,1951,1,324,930,121,13.45,15.51,A,0,31,393.954
HF004,3,GSLOOK,1951,1951,2,318,1053,77,13.23,13.77,A,0,28,349.758
HF004,3,GSLOOK,1951,1951,3,121,356,55,5.03,5.8,A,0,31,147.32
HF004,3,GSLOOK,1951,1951,4,195,318,103,8.12,9.06,A,0,30,230.124
HF004,3,GSLOOK,1951,1951,5,142,296,61,5.9,6.8,A,0,31,172.72
HF004,3,GSLOOK,1951,1951,6,39,61,24,1.6,1.79,A,0,30,45.466
HF004,3,GSLOOK,1951,1951,7,21,26,15,0.86,0.99,A,0,31,25.146
HF004,3,GSLOOK,1951,1951,8,13,25,11,0.56,0.64,A,0,31,16.256
HF004,3,GSLOOK,1951,1951,9,11,66,9,0.46,0.51,A,0,30,12.954
HF004,3,GSLOOK,1952,1951,10,152,1324,22,6.3,7.26,E,4,31,184.404
HF004,3,GSLOOK,1952,1951,11,159,686,44,6.63,7.39,E,2,30,187.706
HF004,3,GSLOOK,1952,1951,12,234,720,107,9.73,11.22,A,0,31,284.988
HF004,3,GSLOOK,1952,1952,1,100,528,50,4.17,4.8,A,0,31,121.92
HF004,3,GSLOOK,1952,1952,2,258,934,90,10.71,11.55,A,0,29,293.37
HF004,3,GSLOOK,1952,1952,3,168,481,70,6.99,8.06,A,0,31,204.724
HF004,3,GSLOOK,1952,1952,4,282,458,186,11.73,13.09,A,0,30,332.486
HF004,3,GSLOOK,1952,1952,5,156,205,98,6.5,7.49,A,0,31,190.246
HF004,3,GSLOOK,1952,1952,6,68,115,46,2.83,3.16,A,0,30,80.264
HF004,3,GSLOOK,1952,1952,7,32,81,20,1.34,1.54,A,0,31,39.116
HF004,3,GSLOOK,1952,1952,8,18,21,15,0.75,0.86,A,0,31,21.844
HF004,3,GSLOOK,1952,1952,9,16,35,12,0.65,0.72,A,0,30,18.288
HF004,3,GSLOOK,1953,1952,10,9,10,8,0.36,0.42,A,0,31,10.668
HF004,3,GSLOOK,1953,1952,11,10,40,6,0.41,0.46,A,0,30,11.684
HF004,3,GSLOOK,1953,1952,12,81,310,7,3.36,3.88,A,0,31,98.552
HF004,3,GSLOOK,1953,1953,1,591,3621,92,24.55,28.31,A,0,31,719.074
HF004,3,GSLOOK,1953,1953,2,364,1307,96,15.11,15.73,A,0,28,399.542
HF004,3,GSLOOK,1953,1953,3,158,353,75,6.55,7.55,A,0,31,191.77
HF004,3,GSLOOK,1953,1953,4,159,311,91,6.61,7.38,A,0,30,187.452
HF004,3,GSLOOK,1953,1953,5,185,276,113,7.67,8.85,A,0,31,224.79
HF004,3,GSLOOK,1953,1953,6,111,192,54,4.6,5.13,A,0,30,130.302
