STCODE,FORMAT,SITECODE,WATERYEAR,MEAN_Q,MAX_Q,MIN_Q,MEAN_Q_AREA,TOTAL_Q_AREA,ESTCODE,ESTDAYS,TOTAL_DAYS,TOTAL_Q_AREA mm
HF004,4,GSLOOK,1950,159,1981,11,6.61,89.68,A,0,365,2277.872
HF004,4,GSLOOK,1951,160,1802,9,6.66,90.36,A,0,365,2295.144
HF004,4,GSLOOK,1952,136,1324,12,5.67,77.14,A,6,366,1959.356
HF004,4,GSLOOK,1953,143,3621,6,5.95,80.72,E,12,365,2050.288
HF004,4,GSLOOK,1954,134,2491,13,5.57,75.59,A,3,365,1919.986
HF004,4,GSLOOK,1955,109,1150,14,4.53,61.53,A,6,365,1562.862
HF004,4,GSLOOK,1956,172,2546,8,7.14,97.12,A,0,366,2466.848
HF004,4,GSLOOK,1957,119,2470,15,4.93,66.91,A,0,365,1699.514
HF004,4,GSLOOK,1958,135,2948,13,5.62,76.27,A,0,365,1937.258
HF004,4,GSLOOK,1959,109,1252,12,4.53,61.47,A,0,365,1561.338
HF004,4,GSLOOK,1960,117,759,11,4.84,65.81,A,0,366,1671.574
HF004,4,GSLOOK,1961,129,2328,10,5.36,72.82,A,0,365,1849.628
HF004,4,GSLOOK,1962,113,1919,10,4.7,63.81,A,8,365,1620.774
HF004,4,GSLOOK,1963,124,1430,10,5.14,69.79,E,70,365,1772.666
HF004,4,GSLOOK,1964,122,1381,10,5.06,68.91,A,8,366,1750.314
HF004,4,GSLOOK,1965,156,6665,8,6.47,87.81,E,10,365,2230.374
HF004,4,GSLOOK,1966,89,1143,7,3.7,50.15,A,0,365,1273.81
HF004,4,GSLOOK,1967,111,1557,6.6,4.59,62.33,E,28,365,1583.182
HF004,4,GSLOOK,1968,100,1959,11,4.17,56.73,A,0,366,1440.942
HF004,4,GSLOOK,1969,147,2162,12,6.11,82.89,A,0,365,2105.406
HF004,4,GSLOOK,1970,115,1922,8.7,4.78,64.85,A,0,365,1647.19
HF004,4,GSLOOK,1971,161,2357,8.7,6.69,90.69,A,0,365,2303.526
HF004,4,GSLOOK,1972,182,4183,11,7.53,102.49,E,11,366,2603.246
HF004,4,GSLOOK,1973,69,823,8,2.87,38.98,A,3,365,990.092
HF004,4,GSLOOK,1974,176,1313,8,7.31,99.19,A,4,365,2519.426
HF004,4,GSLOOK,1975,132,1323,7,5.49,74.51,E,12,365,1892.554
HF004,4,GSLOOK,1976,143,1630,9.8,5.94,80.77,E,16,366,2051.558
HF004,4,GSLOOK,1977,49,293,8.6,2.04,27.73,E,68,365,704.342
HF004,4,GSLOOK,1978,131,3051,11,5.43,73.66,E,12,365,1870.964
HF004,4,GSLOOK,1979,95,1159,9,3.94,53.41,A,0,365,1356.614
HF004,4,GSLOOK,1980,99,1562,7,4.1,55.81,E,92,366,1417.574
HF004,4,GSLOOK,1981,100,2222,5,4.17,56.51,A,0,365,1435.354
HF004,4,GSLOOK,1982,151,1751,8,6.28,85.28,E,51,365,2166.112
HF004,4,GSLOOK,1983,140,1472,11,5.8,78.66,A,2,365,1997.964
HF004,4,GSLOOK,1984,142,2100,9,5.91,80.42,A,0,366,2042.668
HF004,4,GSLOOK,1985,108,1127,7.9,4.49,60.97,E,71,365,1548.638
HF004,4,GSLOOK,1986,115,2700,8.9,4.79,65,E,40,365,1651
HF004,4,GSLOOK,1987,85,970,6,3.54,48.07,E,12,365,1220.978
HF004,4,GSLOOK,1988,92,1090,5,3.81,51.77,E,10,366,1314.958
HF004,4,GSLOOK,1989,115,1680,8.1,4.77,64.75,A,1,365,1644.65
HF004,4,GSLOOK,1990,101,1960,9.3,4.18,56.76,A,0,365,1441.704
HF004,4,GSLOOK,1991,102,1010,9.5,4.24,57.46,E,121,365,1459.484
HF004,4,GSLOOK,1992,71,1110,6.5,2.95,40.11,A,0,366,1018.794
HF004,4,GSLOOK,1993,134,1220,6.3,5.57,75.55,A,0,365,1918.97
HF004,4,GSLOOK,1994,69,827,7.3,2.87,38.88,A,0,365,987.552
HF004,4,GSLOOK,1995,125,1770,8,5.2,70.56,A,8,365,1792.224
HF004,4,GSLOOK,1996,193,8000,9.2,8.01,108.94,A,2,366,2767.076
HF004,4,GSLOOK,1997,207,2980,9.2,8.59,116.59,A,0,365,2961.386
HF004,4,GSLOOK,1998,120,1470,7.4,4.98,67.6,E,36,365,1717.04
HF004,4,GSLOOK,1999,158,3380,7.8,6.58,89.22,A,5,365,2266.188
HF004,4,GSLOOK,2000,122,3180,9.4,5.07,69.04,E,13,366,1753.616
HF004,4,GSLOOK,2001,53,377,7,2.21,30.04,A,0,365,763.016
HF004,4,GSLOOK,2002,121,1830,7,5.03,68.28,A,0,365,1734.312
HF004,4,GSLOOK,2003,105,1420,8,4.34,58.9,A,5,365,1496.06
HF004,4,GSLOOK,2004,113,2040,8.2,4.67,63.54,E,33,366,1613.916
HF004,4,GSLOOK,2005,76,1250,11,3.13,42.54,A,0,365,1080.516
HF004,4,GSLOOK,2006,131,3060,7.8,5.43,73.73,A,2,365,1872.742
