STCODE,ENTITY,SITECODE,WATERYEAR,Q_AREA_YR,QCODE_YR,PH_YR,PHCODE_YR,COND_YR,CONDCODE_YR,ALK_YR,ALKCODE_YR,SSED_YR,SSEDCODE_YR,SI_YR,SICODE_YR,UTP_YR,UTPCODE_YR,TDP_YR,TDPCODE_YR,PARTP_YR,PARTPCODE_YR,PO4P_YR,PO4PCODE_YR,UTN_YR,UTNCODE_YR,TDN_YR,TDNCODE_YR,DON_YR,DONCODE_YR,PARTN_YR,PARTNCODE_YR,UTKN_YR,UTKNCODE_YR,TKN_YR,TKNCODE_YR,NH3N_YR,NH3NCODE_YR,NO3N_YR,NO3NCODE_YR,NA_YR,NACODE_YR,K_YR,KCODE_YR,CA_YR,CACODE_YR,MG_YR,MGCODE_YR,SO4S_YR,SO4SCODE_YR,CL_YR,CLCODE_YR,DOC_YR,DOCCODE_YR
CF002,3,"GSLOOK",2005,108.04,E,7.4,I,35.2,I,18.00,I,2.10,I,8.25,I,0.029,I,0.027,I,0.003,ID,0.012,I,0.07,I,0.04,I,0.04,ID*,0.02,ID,,N,,N,0.008,I,0.000,I*,2.22,I,0.46,I,3.33,I,0.88,I,0.07,I,0.61,I,1.43,I
CF002,3,"GSLOOK",2006,187.45,E,7.4,A,28.6,A,14.30,A,89.02,A,7.26,A,0.068,Q,0.020,A,0.048,DQ,0.013,A,0.12,A,0.05,A,0.03,D*,0.07,D,,N,,N,0.015,A,0.010,*,1.87,A,0.38,A,2.65,A,0.75,A,0.08,A,0.73,A,1.13,A
CF002,3,"GSLOOK",2007,158.96,E,7.3,A,29.9,A,14.53,A,9.83,A,7.77,A,0.035,A,0.025,A,0.009,D,0.014,A,0.07,A,0.05,A,0.03,D*,0.02,D,,N,,N,0.010,*,0.013,*,2.01,A,0.38,A,2.72,A,0.93,A,0.09,A,0.70,A,0.97,A
CF002,3,"GSLOOK",2008,207.24,A,7.4,A,29.2,A,14.73,A,2.05,A,7.33,A,0.028,A,0.023,A,0.005,D,0.011,A,0.05,A,0.05,A,0.04,D*,0.01,D,,N,,N,0.009,*,0.003,*,1.93,A,0.37,A,2.81,A,0.76,A,0.09,A,0.66,A,0.84,A
CF002,3,"GSLOOK",2009,168.25,A,7.4,A,27.5,A,14.60,A,19.84,A,6.91,A,0.040,A,0.023,A,0.017,D,0.009,A,0.09,A,0.05,A,0.03,D*,0.04,D,,N,,N,0.007,*,0.008,*,1.88,A,0.37,A,2.72,A,0.72,A,0.08,A,0.65,A,0.97,A
CF002,3,"GSLOOK",2010,143.46,A,7.4,A,30.1,A,15.39,A,19.32,A,7.27,A,0.028,A,0.019,A,0.009,D,0.009,A,0.08,A,0.05,A,0.04,D*,0.03,D,,N,,N,0.011,*,0.006,*,1.86,A,0.38,A,2.84,A,0.57,A,0.09,A,0.74,A,0.96,A
CF002,3,"GSLOOK",2011,215.13,A,7.4,I,29.3,I,14.75,I,3.74,I,7.20,I,0.018,I,0.012,I,0.005,ID,0.011,I,0.06,IQ,0.05,IQ,0.03,IDQ,0.02,IDQ,,N,,N,0.012,I*,0.002,I*,1.89,I,0.36,I,2.75,I,0.70,I,0.08,I,0.69,I,0.83,I
CF002,3,"GSLOOK",2012,211.54,E,7.4,A,27.5,A,14.39,A,24.30,A,7.04,A,0.021,A,0.012,A,0.009,D,0.009,A,0.06,A,0.03,*,0.02,D*,0.03,D,,N,,N,0.006,*,0.006,*,1.81,A,0.34,A,2.65,A,0.81,A,0.08,A,0.61,A,0.90,A
CF002,3,"GSLOOK",2013,163.41,A,7.3,A,29.6,A,15.34,A,14.93,A,7.40,A,0.017,A,0.010,A,0.007,D,0.008,A,0.06,A,0.04,*,0.04,D*,0.02,D,,N,,N,0.004,*,0.001,*,1.91,A,0.38,A,2.81,A,0.87,A,0.08,A,0.58,A,0.93,A
CF002,3,"GSLOOK",2014,175.90,E,7.4,A,29.1,A,15.00,A,15.82,A,7.23,A,0.023,A,0.012,A,0.010,D,0.009,A,0.06,A,0.04,A,0.03,D*,0.03,D,,N,,N,0.008,*,0.005,*,1.91,A,0.37,A,2.80,A,0.86,A,0.08,A,0.64,A,0.88,A
CF002,3,"GSLOOK",2015,113.20,A,7.2,A,30.6,A,15.71,A,22.48,A,7.45,A,0.025,A,0.014,A,0.011,D,0.012,A,0.07,A,0.06,A,0.04,D*,0.02,D,,N,,N,0.007,*,0.012,*,2.01,A,0.39,A,3.00,A,0.92,A,0.08,A,0.62,A,0.98,A
CF002,3,"GSLOOK",2016,155.26,A,7.4,A,29.4,A,15.28,A,3.80,A,7.31,A,0.017,A,0.013,A,0.004,D,0.012,A,0.06,*,0.05,*,0.04,D,0.01,D,,N,,N,0.010,*,0.006,*,1.89,A,0.36,A,2.75,A,0.86,A,0.09,A,0.67,A,0.89,A
CF002,3,"GSLOOK",2017,206.11,E,7.4,A,29.1,A,14.59,A,4.20,A,7.08,A,0.015,A,0.012,A,0.003,D,0.013,A,0.05,A,0.04,A,0.02,D,0.01,D,,N,,N,0.008,*,0.013,*,1.85,A,0.35,A,2.78,A,0.86,A,0.08,A,0.61,A,0.79,A
CF002,3,"GSLOOK",2018,146.41,E,7.3,A,31.1,I,15.97,A,2.52,A,7.60,A,0.016,A,0.013,A,0.004,D,0.012,A,0.04,A,0.04,A,0.02,D,0.01,D,,N,,N,0.013,*,0.002,*,1.95,A,0.37,A,2.96,A,0.90,A,0.08,A,0.60,A,0.81,A
CF002,3,"GSMACK",1981,179.99,E,7.1,I,25.6,I,11.71,I,5.33,I,6.05,IQ,,N,0.035,I,,N,0.007,I,,N,0.06,ID,0.02,ID,,N,,N,0.05,I,0.022,I,0.040,I,1.39,I,0.36,I,2.22,I,0.82,I,,N,,N,,N
CF002,3,"GSMACK",1982,267.01,E,7.0,I,21.4,I,10.62,I,9.07,I,5.46,IQ,,N,0.030,I,,N,0.009,I,,N,0.10,ID,0.05,ID,,N,,N,0.05,I,0.005,I,0.044,I,1.29,I,0.33,I,1.99,I,0.74,I,,N,,N,,N
CF002,3,"GSMACK",1983,224.36,E,7.1,I,29.1,I,12.42,I,2.57,A,6.64,IQ,,N,0.024,A,,N,,N,,N,0.09,D,0.03,D,,N,,N,0.03,A,0.004,A,0.065,A,1.43,A,1.75,Q,2.17,E,0.81,A,,N,,N,,N
CF002,3,"GSMACK",1984,255.63,A,,N,,N,,N,11.14,A,6.12,A,,N,0.017,A,,N,,N,,N,0.16,DE,0.03,D,,N,,N,0.03,A,0.003,A,0.126,E,1.31,A,0.29,A,2.54,E,0.69,A,,N,,N,,N
CF002,3,"GSMACK",1985,201.01,E,,N,,N,,N,2.19,A,6.83,A,,N,0.030,A,,N,,N,,N,0.09,D,0.03,D,,N,,N,0.03,A,0.004,A,0.062,A,1.38,A,0.29,A,2.57,E,0.80,A,,N,,N,,N
CF002,3,"GSMACK",1986,205.06,A,,N,,N,,N,5.41,A,6.59,A,,N,0.022,A,,N,,N,,N,0.08,D,0.02,D,,N,,N,0.02,A,0.002,A,0.063,A,1.40,A,0.33,A,2.88,E,0.84,A,,N,,N,,N
CF002,3,"GSMACK",1987,138.07,E,,N,,N,,N,11.93,A,6.69,I,,N,0.025,A,,N,,N,,N,0.08,D,0.03,D,,N,,N,0.03,A,0.005,A,0.050,A,1.55,A,0.34,A,2.56,E,0.91,A,,N,,N,,N
CF002,3,"GSMACK",1988,151.08,A,7.5,I,36.7,I,18.92,I,2.47,A,6.85,A,0.041,I,0.022,A,0.013,ID,0.006,I,0.17,ID,0.08,D,0.02,D,0.09,ID,0.12,I,0.03,A,0.008,A,0.047,A,1.43,A,0.29,A,2.33,E,0.87,A,0.24,I,1.44,I,,N
CF002,3,"GSMACK",1989,188.83,A,7.3,A,24.5,I,11.87,A,6.00,A,6.29,A,0.026,A,0.015,A,0.011,D,0.007,A,0.13,D,0.09,D,0.02,D,0.04,D,0.07,A,0.03,A,0.008,A,0.061,A,1.37,A,0.30,A,2.14,A,0.80,A,0.16,A,0.84,A,,N
