lab_id,Site,NAME,DATE/TIME,CL,SO4,CA,K,MG,NA,TP,NPOC,TC-IC,DOC,STAGE,q,TEMPC
63052,S2,S2 WEIR,3/24/86 8:55,0.47,3.01,2.39,1.49,1.01,0.79,0.06,,,,0.03,2.08E-02,0
63073,S2,S2 WEIR,3/31/86 10:00,0.31,4.15,2.26,1.18,0.96,0.6,0.05,,,,0.12,6.21E-01,0
63096,S2,S2 lagg pool,4/2/86 12:30,0.35,3.37,1.81,1.11,0.78,0.46,0.04,,,,0.187,1.84E+00,
63110,S2,S2 lagg pool,4/4/86 12:10,0.29,3.16,1.65,1.51,0.70,0.50,0.04,,,,0.218,2.68E+00,0
63138,S2,S2 lagg pool,4/16/86 10:35,0.34,1.62,0.68,2.64,0.35,0.35,0.34,,,,0.152,1.11E+00,2
63161,S2,S2 WEIR,4/28/86 11:55,,,1.16,0.73,0.49,0.4,0.02,,,,0.392,1.13E+01,3
63195,S2,S2 WEIR,5/13/86 13:25,0,1.29,1.18,0.54,0.48,0.53,0.05,,,,0.17,1.46E+00,10
63204,S2,S2 WEIR,5/19/86 9:10,,0.75,1.24,0.58,0.49,0.48,0.01,,,,0.097,3.69E-01,6
63206,S2,S2 WEIR,6/3/86 13:20,0.4,0.85,1.83,1.15,0.64,0.56,0.07,,,,0.044,5.32E-02,13
63214,S2,S2 lagg pool,6/17/86 12:25,0.35,0.47,1.54,0.53,0.61,0.50,0.06,,,,0.027,1.61E-02,13
63228,S2,S2 lagg pool,7/8/86 12:00,0.35,0.56,1.63,0.58,0.61,0.44,0.07,,,,0.184,1.77E+00,15
63234,S2,S2 lagg pool,7/15/86 14:00,0.31,0.49,1.90,0.65,0.80,0.76,0.02,,,,0.12,6.21E-01,8
63245,S2,S2 lagg pool,7/29/86 13:25,0.50,0.26,2.14,0.76,0.78,1.30,0.06,,,,0.037,3.48E-02,17
63247,S2,S2 lagg pool,8/12/86 13:30,0.31,0.40,2.23,0.33,0.81,0.75,0.04,,,,0,0.00E+00,15
63256,S2,S2 lagg pool,8/26/86 13:25,0.29,0.40,2.19,0.44,0.81,0.71,0.04,,,,0.032,2.44E-02,13
63266,S2,S2 lagg pool,9/9/86 13:05,0.40,0.49,2.28,0.56,0.88,0.75,0.04,,,,0.072,1.78E-01,11
63287,S2,S2 lagg pool,9/30/86 14:25,0.41,0.53,2.04,0.96,0.94,0.59,0.12,,,,0.084,2.59E-01,11
63292,S2,S2 lagg pool,10/14/86 13:45,0.48,0.66,1.52,0.67,0.73,0.54,0.02,,,,0.09,3.07E-01,6
63298,S2,S2 lagg pool,10/28/86 15:05,0.66,0.44,1.47,0.89,0.73,0.75,0.03,,,,0.041,4.48E-02,8
63301,S2,S2 WEIR,11/12/86 8:55,0.5,1.89,1.68,1.14,0.92,0.66,0.08,,,,0.126,7.00E-01,0
63309,S2,S2 lagg pool,12/2/86 12:00,0.53,0.92,1.68,0.77,0.87,0.49,0.12,,,,,,0
63310,S2,S2 lagg pool,12/30/86 12:00,0.57,0.89,1.70,0.85,0.92,0.62,0.16,,,,0.02,7.72E-03,0
72011,S2,S2 WEIR,3/7/87 11:30,0.93,2.41,2.44,2.35,0.98,0.72,0.45,,,,0.066,1.44E-01,0
72027,S2,S2 WEIR,3/23/87 15:00,0.73,4.49,2.49,2.29,0.96,0.91,0.38,,,,0.135,8.29E-01,0
72053,S2,S2 lagg pool,4/7/87 14:30,0.38,2.02,1.58,0.98,0.65,0.47,0.30,,,,0.085,2.67E-01,3
72066,S2,S2 lagg pool,4/21/87 7:50,0.41,1.21,1.55,1.01,0.64,0.47,0.19,,,,0.093,3.33E-01,2
72077,S2,S2 lagg pool,5/5/87 14:30,0.81,0.86,2.03,1.03,0.73,0.56,0.21,,,,0.025,1.33E-02,9
72086,S2,S2 lagg pool,5/18/87 9:10,0.48,1.84,2.31,1.41,0.90,0.69,0.18,,,,0.216,2.62E+00,5
72102.1,S2,S2 lagg pool,5/26/87 13:40,0.13,1.17,1.76,1.06,0.69,0.72,0.14,,,,0.175,1.56E+00,9
72120.1,S2,S2 lagg pool,6/9/87 14:15,0.30,0.42,1.71,0.40,0.62,0.43,0.12,,,,,,12
72134,S2,S2 lagg pool,7/20/87 10:05,0.42,1.63,2.08,1.68,0.72,0.37,0.13,,,,0.405,1.22E+01,16
72160,S2,S2 lagg pool,7/23/87 12:55,0.40,0.81,1.20,2.03,0.46,0.35,0.12,,,,0.454,1.62E+01,20
72173,S2,S2 lagg pool,7/28/87 13:25,1.73,0.30,2.04,1.31,0.75,0.84,0.15,,,,0.15,1.07E+00,18
72179,S2,S2 lagg pool,8/4/87 14:10,0.65,0.32,2.18,0.68,0.79,0.48,0.07,,,,0.054,8.79E-02,14
72183,S2,S2 lagg pool,8/18/87 13:30,0.74,0.35,2.08,1.03,0.79,0.55,0.13,,,,0.095,3.50E-01,
72185,S2,S2 lagg pool,9/1/87 12:00,0.77,0.28,2.13,0.90,0.81,0.60,0.09,,,,0.021,8.70E-03,12
72198,S2,S2 lagg pool,9/15/87 12:45,0.35,0.31,2.40,1.49,0.90,0.42,0.08,,,,0.086,2.75E-01,12
72209,S2,S2 lagg pool,9/29/87 11:45,1.04,0.37,2.39,1.89,0.83,0.40,0.07,,,,0.045,5.62E-02,10
72222,S2,S2 lagg pool,10/20/87 8:00,0.70,0.42,2.94,1.63,1.01,0.50,0.22,,,,0.03,2.08E-02,7
72225,S2,S2 lagg pool,11/3/87 15:30,0.96,0.56,2.10,1.39,0.75,0.51,0.08,,,,0.029,1.92E-02,6
72226,S2,S2 WEIR,11/17/87 9:00,0.76,1.23,2.63,1.7,1.03,0.48,0.15,,,,0.08,2.30E-01,2
72236,S2,S2 lagg pool,12/8/87 13:35,0.88,0.89,3.46,1.83,1.21,0.65,0.18,,,,0.013,2.69E-03,0
160013,S2,S2 lagg pool,4/4/88 8:20,0.71,7.85,2.17,1.78,1.72,0.95,0.11,,,,0.042,4.75E-02,0
160074,S2,S2 lagg pool,4/12/88 13:20,0.36,3.73,1.05,1.71,0.66,0.56,0.07,,,,0.214,2.56E+00,0
160097,S2,S2 lagg pool,5/3/88 13:45,1.04,1.38,1.10,1.35,0.64,1.12,0.13,,,,0.078,2.16E-01,8
160112,S2,S2 lagg pool,5/17/88 12:15,0.33,1.55,1.32,0.86,0.66,0.52,0.04,,,,0.09,3.07E-01,7
160120,S2,S2 lagg pool,6/2/88 8:30,0.32,0.56,1.55,1.25,0.70,0.87,0.08,,,,,,14
160137,S2,S2 lagg pool,8/8/88 9:40,0.44,7.68,2.75,1.72,1.44,0.71,0.38,,,,0.251,3.78E+00,15
160161,S2,S2 lagg pool,8/14/88 6:45,0.27,3.21,1.85,2.02,0.85,0.62,0.06,,,,0.49,1.95E+01,15
160171,S2,S2 lagg pool,8/16/88 13:40,1.15,1.67,2.47,3.00,1.00,0.83,0.21,,,,0.255,3.93E+00,20
160183,S2,S2 lagg pool,8/23/88 13:25,0.62,1.47,1.75,1.44,0.72,0.62,0.06,,,,0.323,7.02E+00,14
160192,S2,S2 lagg pool,8/30/88 10:00,0.35,0.79,1.60,1.21,0.79,0.61,0.02,,,,0.088,2.91E-01,13
160216,S2,S2 lagg pool,9/20/88 7:45,0.45,1.14,1.01,1.27,0.46,0.44,0.03,,,,0.5,2.05E+01,11
160248,S2,S2 lagg pool,10/4/88 13:45,0.77,0.41,1.38,1.05,0.67,0.78,0.02,,,,0.082,2.44E-01,7
160251,S2,S2 lagg pool,10/18/88 13:50,0.48,0.43,1.66,1.15,0.78,0.48,0.02,,,,0.033,2.63E-02,3.5
160256,S2,S2 lagg pool,11/3/88 10:45,0.85,0.93,1.49,1.16,0.88,0.63,0.06,,,,0.028,1.76E-02,4
160257,S2,S2 WEIR,11/17/88 10:00,0.57,1.05,1.37,1.07,0.81,0.52,0.04,,,,0.06,1.14E-01,0
160264,S2,S2 WEIR,12/6/88 8:55,0.48,1.04,1.3,1,0.85,0.53,0.09,,,,0.037,3.48E-02,0
160266,S2,S2 WEIR,12/20/88 9:25,0.59,1.18,1.45,1.17,0.93,0.73,0.08,,,,0.015,3.81E-03,1
160269,S2,S2 WEIR,1/10/89 15:50,0.59,1.28,1.53,1.22,0.91,0.8,0.1,,,,0.015,3.81E-03,0
160271,S2,S2 WEIR,1/24/89 13:10,0.53,1.31,1.4,1.19,0.86,0.71,0.11,,,,0.01,1.41E-03,0
160273,S2,S2 WEIR,2/15/89 10:30,0.47,0.96,1.79,1.47,0.97,0.96,0.2,,,,0,0.00E+00,0
161000,S2,S2 WEIR,3/27/89 9:00,0.94,1.35,2.25,2.04,1.31,1.15,0.33,,,,0.03,2.08E-02,0
161016,S2,S2 WEIR,4/3/89 8:00,0.53,5.48,1.29,1.21,0.95,0.66,0.03,,,,0.07,1.66E-01,0
