"Sample_Name","Sample_Type","Count","Site_Description","Latitude","Longitude"
"Allright Spring","GW",5,"Public drinking water from flowing well on N. Danville Road","44.44433","-72.05119"
"BW-1","GW",3,"Groundwater well, W-9 watershed","44.491869","-72.160819"
"BW-10","GW",21,"Groundwater well, W-9 watershed","44.495203","-72.160872"
"BW-11","GW",15,"Groundwater well, W-9 watershed","44.496461","-72.160392"
"BW-12","GW",20,"Groundwater well, W-9 watershed","44.496761","-72.159844"
"BW-14","GW",18,"Groundwater well, W-9 watershed","44.497069","-72.158981"
"BW-15","GW",19,"Groundwater well, W-9 watershed","44.496519","-72.159339"
"BW-16","GW",13,"Groundwater well, W-9 watershed","44.49638889","-72.15888889"
"BW-17","GW",1,"Groundwater well, W-9 watershed","44.495681","-72.158914"
"BW-18","GW",19,"Groundwater well, W-9 watershed","44.495311","-72.159233"
"BW-19","GW",34,"Groundwater well, W-9 watershed","44.494911","-72.159539"
"BW-2","GW",2,"Groundwater well, W-9 watershed","44.491869","-72.160819"
"BW-21","GW",22,"Groundwater well, W-9 watershed","44.494631","-72.160531"
"BW-22","GW",18,"Groundwater well, W-9 watershed","44.494192","-72.160928"
"BW-23","GW",3,"Groundwater well, W-9 watershed","44.493931","-72.161828"
"BW-24","GW",1,"Groundwater well, W-9 watershed","44.493092","-72.162722"
"BW-25","GW",7,"Groundwater well, W-9 watershed","44.492828","-72.161628"
"BW-26","GW",23,"Groundwater well, W-9 watershed","44.493081","-72.16085"
"BW-27","GW",31,"Groundwater well, W-9 watershed","44.493172","-72.160017"
"BW-27A","GW",83,"Groundwater well, W-9 watershed","44.493172","-72.160017"
"BW-29","GW",12,"Groundwater well, W-9 watershed","44.492339","-72.15905"
"BW-3","GW",3,"Groundwater well, W-9 watershed","44.491869","-72.160819"
"BW-32","GW",7,"Groundwater well, W-9 watershed","44.492792","-72.158272"
"BW-34","GW",29,"Groundwater well, W-9 watershed","44.493611","-72.159447"
"BW-36","GW",40,"Groundwater well, W-9 watershed","44.493742","-72.159719"
"BW-37","GW",80,"Groundwater well, W-9 watershed","44.493919","-72.160028"
