"Laboratory_Key","Laboratory","Analyte","Analytical_Method","Method_Reference","DL","DL_Comments","Accuracy","Precision","Accuracy_Precision_Comments","Count","Years_Collected","Years_Comments"
"4","Siegl Laboratory at Syracuse University Syracuse, NY","Al.µg.L","Direct Current Plasma Atomic Emission Spectroscopy (DCP-AES)","Kendall and others, 1999","10","Detection limits inferred from data value range and detection limits from other labs using similar equipment.","± 1.9-18 µg/L","2.7-14.7","Accuracy and precision unavailable.  Selected range of values reported by Fishman and others (1989, p.60)  based on the concentration range in the data.","488","January 1999-May 1999",NA
"7","Analytical and Technical Services Laboratory at SUNY ESF Syracuse, NY","Al.µg.L","Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES)",NA," 1.00","Values originally reported as ""<DL"", reported herein as mean of lowest 10 detected values.","5","10","Accuracy and precision unavailable. Used the most conservative values reported in this table for this method and analyte combination.","1298","July 1999-August 2004",NA
"8","U.S. Forest Service Laboratory at Grand Rapids, MN","Al.µg.L","Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES)",NA,"10",NA,"5","10","Reported by the lab as target accuracy and precision where if QC samples fall outside these reported targets, environmental samples from the run are discarded (S.D. Sebestyen,U.S. Forest Service, contracted to the
U.S. Geological Survey, unpub. data, 2021).","99","February 2013-July 2014",NA
"14","USGS Water Energy and Biogeochemical Budgets Laboratory at Boulder, CO","Al.µg.L","Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES)",NA," 2.29","Multiple detection limits. Median is listed here. DL already embedded in data.","1.9","0.9","Percent error calculated between the most probable value (MPV) and  the median measured value of multiple QC samples. Precision is percent relative median absolute deviation %Rmad, a robust analog for  %CV (Rousseeuw, 1990). D. Roth,U.S. Geological Survey, unpub. data, 2021.","2438","December 2007-July 2017","One record in March 2004, rest starts 2007."
"3","USGS New York Water Science Center Soil and Low-Ionic-Strength Water Quality Laboratory at Troy, NY","Alm.µg.L","Auto Analyzer, colorimetric","Lawrence and others, 1995","40.47","Lincoln and others, 1996","10-15","10-15","Accuracy is 10% at high concentrations and 15% at low concentrations. Reported by the lab as a data quality objective (DQO)  where if QC samples do not meet the DQO, environmental samples from the run are discarded (Lincoln and others, 1996).","945","February 1992-February 1994",NA
"3","USGS New York Water Science Center Soil and Low-Ionic-Strength Water Quality Laboratory at Troy, NY","Alo.µg.L","Auto Analyzer, colorimetric","Lawrence and others, 1995","40.47","Lincoln and others, 1996",NA,"10-15","A QC sample has not been developed for this analysis-column efficiency is used to determine acceptability of the data (Lincoln and others, 1996).","947","February 1992-February 1994",NA
"1","U.S. Forest Service Laboratory at Durham, NH","ANC.µeq.L","Gran Titration",NA,NA,NA,"9","10","Accuracy and precision unavailable. Used the most conservative accuracy reported by Standard Method 2320B and the most conservative precision reported by Rounds and others (2012).","1232","September 1991-December 2018",NA
"2","USGS Montpelier, VT","ANC.µeq.L","Gran Titration","Rounds and others, 2012",NA,NA,"9","10","Accuracy and precision not available. Used the most conservative accuracy reported by Standard Method 2320B and the most conservative precision reported by Rounds and others (2012).","1488","February 1992-April 1994",NA
"14","USGS Water Energy and Biogeochemical Budgets Laboratory at Boulder, CO","ANC.µeq.L","Inflection Point Titration or Gran Titration","Rounds and others, 2012",NA,NA,"9","10","Accuracy and precision not available. Used the most conservative accuracy reported by Standard Method 2320B and the most conservative precision reported by Rounds and others (2012).","2207","December 2007-July 2017","A few records analyzed in April 2002 and March 2004 as well."
"15","USGS Bullen Laboratory at Menlo Park, CA","Ba.µg.L","Inductively Coupled Plasma Mass Spectrometry (ICP-MS)",NA," 0.02",NA,"4.8","1.84","Accuracy unavailable, used the most conservative value from Garbarino and others (2006). Precision from S. Perakis, U.S. Geological Survey, written comm.,2020.","52","June 2003-November 2003",NA
