"Replicate_Type","Sample_Type","Analyte","Count","Mean_RPD","Median_PE"
"Other Labs vs USFS Durham","PW","SpCond.猶.cm",50," 25.03"," 17.01"
"Other Labs vs USFS Durham","PW","Ca.畫q.L",358," 36.38","  9.81"
"Other Labs vs USFS Durham","PW","Cl.畫q.L",293," 33.22"," -1.62"
"Other Labs vs USFS Durham","PW","DOC.mg.L",102," 49.66"," -4.84"
"Other Labs vs USFS Durham","PW","K.畫q.L",253," 69.94","-26.54"
"Other Labs vs USFS Durham","PW","Mg.畫q.L",306," 37.67"," -7.70"
"Other Labs vs USFS Durham","PW","Na.畫q.L",262," 48.16"," 10.75"
"Other Labs vs USFS Durham","PW","NH4.畫q.L",100," 41.21"," 21.12"
"Other Labs vs USFS Durham","PW","NO3.畫q.L",359," 23.23"," 12.44"
"Other Labs vs USFS Durham","PW","pH",89,"  3.98","  2.33"
"Other Labs vs USFS Durham","PW","Si.痠ol.L",93,"137.05","-80.22"
"Other Labs vs USFS Durham","PW","SO4.畫q.L",381," 23.13","  4.58"
"Other Labs vs USFS Durham","PW","TDN.mg.L",21," 16.21","  0.00"
"Other Labs vs USFS Durham","ST","SpCond.猶.cm",40," 18.66"," 19.82"
"Other Labs vs USFS Durham","ST","ANC.畫q.L",218,"  5.09","  4.87"
"Other Labs vs USFS Durham","ST","Ca.畫q.L",477," 10.09"," -7.38"
"Other Labs vs USFS Durham","ST","Cl.畫q.L",544," 22.51","  9.83"
"Other Labs vs USFS Durham","ST","DOC.mg.L",425," 24.56"," 22.26"
"Other Labs vs USFS Durham","ST","K.畫q.L",478," 14.86","-10.88"
"Other Labs vs USFS Durham","ST","Mg.畫q.L",491,"  7.51","  1.38"
"Other Labs vs USFS Durham","ST","Na.畫q.L",412," 13.37"," -9.71"
"Other Labs vs USFS Durham","ST","NH4.畫q.L",1,"147.49","561.83"
"Other Labs vs USFS Durham","ST","NO3.畫q.L",498," 30.59"," 24.30"
"Other Labs vs USFS Durham","ST","pH",64,"  2.99","  2.65"
"Other Labs vs USFS Durham","ST","Si.痠ol.L",498," 10.80"," -6.39"
"Other Labs vs USFS Durham","ST","SO4.畫q.L",546,"  6.90","  1.17"
"Other Labs vs USFS Durham","ST","TDN.mg.L",69," 24.23","-11.76"
"Field Replicate","Mixed","SpCond.猶.cm",1,"  3.91","    NA"
"Field Replicate","Mixed","Al.痢.L",13," 21.20","    NA"
"Field Replicate","Mixed","ANC.畫q.L",19,"  1.13","    NA"
"Field Replicate","Mixed","Ba.痢.L",15,"  4.85","    NA"
"Field Replicate","Mixed","Ca.畫q.L",22,"  9.65","    NA"
"Field Replicate","Mixed","Cl.畫q.L",22,"  7.32","    NA"
"Field Replicate","Mixed","DOC.mg.L",24,"  6.86","    NA"
"Field Replicate","Mixed","Fe.痢.L",18," 21.84","    NA"
"Field Replicate","Mixed","K.畫q.L",22,"  3.60","    NA"
"Field Replicate","Mixed","Mg.畫q.L",23,"  5.68","    NA"
"Field Replicate","Mixed","Mn.痢.L",18," 28.48","    NA"
"Field Replicate","Mixed","Na.畫q.L",20,"  8.91","    NA"
"Field Replicate","Mixed","NH4.畫q.L",1,"118.74","    NA"
"Field Replicate","Mixed","NO3.畫q.L",23,"  6.43","    NA"
"Field Replicate","Mixed","d18O",11," -5.11","    NA"
"Field Replicate","Mixed","pH",14,"  1.13","    NA"
"Field Replicate","Mixed","Si.痠ol.L",22," 10.50","    NA"
"Field Replicate","Mixed","SO4.畫q.L",24,"  1.30","    NA"
"Field Replicate","Mixed","Sr.痢.L",18,"  4.58","    NA"
"Field Replicate","Mixed","TDN.mg.L",3,"  9.01","    NA"
"Field Replicate","Mixed","UV254.cm.1",17,"  3.32","    NA"
