WaterYear,CSMeanTempC,CSPrecipitationmm,Runoffmm,StrCamgL,StrDOCmgL,StrNH4NmgL,StrNO3NmgL,StrSO4SmgL,depNH4Nkgha,depNO3Nkgha,depTotNkgha,depSO4Skgha,NAMGridTempC,NAMGridPrecipitationmm,FWACamgL,FWADOCmgL,FWANH4NmgL,FWANO3NmgL,FWASO4SmgL,iNDVI
1981,5.115053092,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.4175,1293.09,N/A,N/A,N/A,N/A,N/A,N/A
1982,4.68828151,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.9779,1275.08,N/A,N/A,N/A,N/A,N/A,127.77495
1983,6.511114539,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.7733,1301.15,N/A,N/A,N/A,N/A,N/A,130.7481
1984,5.523039941,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.77,1597.58,N/A,N/A,N/A,N/A,N/A,124.8114
1985,5.747754388,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.7042,958.16,N/A,N/A,N/A,N/A,N/A,118.49575
1986,5.693076499,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.2254,1242.9,N/A,N/A,N/A,N/A,N/A,119.1449
1987,5.46584371,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.4358,1094.99,N/A,N/A,N/A,N/A,N/A,120.8676
1988,5.474176743,1040.8,744.1882049,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.17,5.8617,1043.75,N/A,N/A,N/A,N/A,N/A,109.9728
1989,5.531173136,1437.8,1035.152971,0.161091051,0.212543269,0.001348422,0.019535034,0.301955773,1.43,3.22,4.65,6.51,5.5096,1289.18,0.128036729,0.222152905,9.35E-04,0.021267118,0.270563142,132.4008
1990,5.24713215,1387,1076.008022,0.112556611,0.147727584,0.000541171,0.013137328,0.271012909,1.37,3.02,4.39,6.1,5.3658,1292.66,0.094268442,0.132778787,1.12E-04,1.25E-02,0.238449375,149.4158
1991,6.545199458,1359,1027.789561,0.121515151,0.168279621,0.001045672,0.016210277,0.27863866,1.3,2.41,3.71,5.1,6.7658,1452.16,0.119875123,0.173407015,1.18E-04,0.017064972,0.267928466,140.6972
1992,4.947303995,1267,857.4810066,0.12909097,0.150256046,0.001020526,0.008528936,0.276433853,1.2,2.3,3.5,4.8,5.2108,1079.39,0.12111382,0.147875742,1.41E-04,5.78E-03,0.268908953,136.7901
1993,5.041912538,1102,816.1508971,0.119726522,0.142723468,N/A,0.005101639,0.268110783,1.07,2.31,3.38,4.77,5.2167,1069.46,0.11284972,0.149012444,N/A,3.71E-03,0.256103229,139.0618
1994,4.922615323,1370,1055.105438,0.131974746,0.152050678,N/A,0.003872379,0.274794383,1.34,2.57,3.91,4.85,5.1788,1356.42,0.102686989,0.152409109,N/A,1.95E-03,0.236884307,128.1218
1995,6.148002143,1094,664.1321037,0.110243488,0.168778248,0.001170672,0.003786954,0.256503952,1.25,2.32,3.57,3.68,6.0996,1034.9,0.109019274,0.160640811,1.82E-04,2.55E-03,0.244369696,138.3685
1996,5.807721184,1757,1519.000287,0.108356224,0.164426687,0.000824353,0.002255617,0.229056655,1.54,3.07,4.61,5.16,5.49,1561.96,0.105340862,0.179648261,3.98E-04,1.04E-03,0.220601512,128.2487
1997,5.440990123,1292,966.9820437,0.110704545,0.171375653,N/A,0.004440054,0.261714976,1.63,3.61,5.24,5.83,5.5762,1184.76,0.098821277,0.175090573,N/A,3.38E-03,0.236742183,143.6587
1998,5.71366947,1111,1055.105438,0.089841371,0.197456629,N/A,0.002012174,0.245070337,1.23,2.01,3.24,3.88,6.5775,1218.95,0.079267149,0.208616724,N/A,9.17E-04,0.22614066,156.3576
1999,6.473479108,1428,941.3288723,0.099392461,0.193637994,0.001478802,0.00592557,0.242630076,1.8,3.03,4.83,6.88,7.3421,1288.18,0.096925105,0.162569836,7.71E-04,4.37E-03,0.23467624,135.8884
2000,5.201534259,1272,1082.421315,0.09525458,0.190109494,0.001192131,0.003043173,0.23066478,1.95,3.24,5.19,5.85,6.1879,1220.19,0.091474917,0.19837126,8.94E-04,1.79E-03,0.228352044,155.3387
2001,5.200509105,977,524.2273079,0.107021334,0.195961585,N/A,0.001450172,0.251827015,0.93,1.77,2.7,3.43,6.0071,896.1,0.092625469,0.205094543,N/A,9.23E-04,0.232058113,156.6951
2002,6.121336353,1178.4,728.7400909,0.09747019,0.196414609,0.000690398,0.002547536,0.234702668,2.04,2.89,4.93,4.33,6.9712,1082.38,0.091054686,0.212413509,3.32E-04,1.16E-03,0.233327632,169.7706
