Year,Month,WaterYear,WaterYearMonth,CSMeanTempC,CSPrecipitationmm,Runoffmm,StrCamgL,StrDOCmgL,StrNH4NmgL,StrNO3NmgL,StrTDPmgL,StrSO4SmgL,depNH4Nkgha,depNO3Nkgha,depTotNkgha,depSO4Skgha,NAMGridTempC,NAMGridPrecipitationmm,FWACamgL,FWADOCmgL,FWANH4NmgL,FWANO3NmgL,FWATDPmgL,FWASO4SmgL
1984,6,1985,19856,16.58333333,78.8,20.23694656,3.111666667,3.233333333,0.002192308,0.047307692,0.005546667,0.007335833,0.139764178,0.034562189,0.174326367,0.396556527,15.89233014,84.95301802,3.408919609,3.796491037,0.003248419,0.039628881,0.00574772,0.008305626
1984,7,1985,19857,17.96451613,82.4,12.32376183,3.233333333,3.258333333,0.0075,0.06925,0.00536,0.00765,0.001973781,0.001610643,0.003584424,0.012624384,17.47810028,89.39018001,3.433553976,5.545696268,0.004447743,0.041711782,0.003876753,0.007682715
1984,8,1985,19858,18.32580645,49.5,1.29270229,4.08,2.2,0.029727273,0.155454545,0.00677,0.009182,3.57723695,0.882527436,4.459764385,17.0584398,18.26776031,94.48882033,3.910660544,2.083748299,0.026926098,0.140808442,0.007281204,0.008818878
1984,9,1985,19859,11.11,124.8,4.708250382,4.181,2.71,0.01075,0.2135,0.006175,0.010485,0.140004883,0.052193424,0.192198307,0.713000625,11.34854009,115.6935999,4.365473478,3.14229548,0.0052839,0.22609124,0.004152288,0.01137604
1984,10,1985,198510,8.596774194,52.2,9.947651908,3.844166667,2.941666667,0.002538462,0.050769231,0.011373333,0.01023,0.068306054,0.041929244,0.110235298,0.372134754,8.660009884,75.94582166,3.749354815,2.981852237,0.002143772,0.047659106,0.014133871,0.01001233
1984,11,1985,198511,0.086666667,99.9,62.35309924,3.245,3.4,0.001863636,0.20125,0.0031225,0.009573333,0.117945437,0.080859711,0.198805147,0.538255387,0.134760026,107.0756011,3.389658698,3.879592412,0.002320134,0.244550807,0.003900264,0.009902791
1984,12,1985,198512,-4.280645161,147.3,89.91755725,3.244285714,2.866666667,0.003285714,0.286428571,0.00435,0.00975,0.011012252,0.010504195,0.021516447,0.034147923,-4.306389917,138.3114783,2.031741949,1.429436023,0.001710793,0.189865526,0.004376025,0.006052761
1985,1,1985,19851,-13.08709677,79.8,29.49471756,3.266666667,2.466666667,0.002208333,0.330416667,0.003238,0.009620833,0.087454134,0.08734238,0.174796514,0.315063456,-13.82070001,102.2504802,2.931721328,2.330353061,0.001772864,0.313579619,0.003962538,0.008663633
1985,2,1985,19852,-7.446428571,105.8,33.85692824,3.43,2.426315789,0.00375,0.370263158,0.0063875,0.009386842,0.03238336,0.071224653,0.103608013,0.2671527,-8.472709877,113.2850818,4.449513123,3.868374642,0.005363415,0.667211335,0.022674901,0.011289053
1985,3,1985,19853,-2.909677419,114.7,103.354626,3.192258065,2.687096774,0.00183871,0.391290323,0.005465385,0.008728065,0.027895032,0.017565348,0.04546038,0.082092987,-4.046170101,102.4781404,3.13891432,2.854768995,0.001581851,0.412921169,0.009885363,0.0084072
