WaterYear,CSMeanTempC,CSPrecipitationmm,Runoffmm,StrCamgL,StrDOCmgL,StrNH4NmgL,StrNO3NmgL,StrTDPmgL,StrSO4SmgL,depNH4Nkgha,depNO3Nkgha,depTotNkgha,depSO4Skgha,NAMGridTempC,NAMGridPrecipitationmm,FWACamgL,FWADOCmgL,FWANH4NmgL,FWANO3NmgL,FWATDPmgL,FWASO4SmgL,iNDVI
1985,5.178630137,1109.8,599.5735916,2.921547619,9.031736527,0.002674847,0.021133333,0.009282188,0.00765976,4.203976059,1.280319223,5.484295282,19.78946855,4.710833336,1194.309998,3.941753325,8.322375939,0.004062769,0.065006988,0.011451488,0.01251821,0.001911853
1986,5.044383562,1192.5,574.8087958,2.427588652,9.753900709,0.005190972,0.016685315,0.012804348,0.005330357,5.303179861,2.148726047,7.451905908,14.08779163,4.437916522,1195.279999,3.025517586,8.288182231,0.005041346,0.044914392,0.00925111,0.008826908,0.00113014
1987,5.568767123,944.5,368.8906806,2.26943662,10.08439716,0.005606897,0.027854167,0.014679167,0.004634049,7.693135458,2.730609129,10.42374459,21.14834457,4.824583183,1001.410011,2.538422766,8.689880487,0.006488924,0.056343531,0.010286182,0.006460749,0.00083901
1988,5.398907104,958.2,359.0411937,6.173125,9.11978022,0.004942708,0.111791667,0.011576471,0.020011789,4.188154297,1.488719403,5.6768737,10.01529629,4.913333357,1027.910004,5.705177481,9.111935623,0.008682555,0.106606493,0.012951962,0.01921118,0.001664505
1989,5.267123288,962.7,424.4185131,4.186082474,8.304123711,0.005386598,0.043063158,0.007248485,0.013333684,1.963225603,0.954846144,2.918071747,10.47749745,4.355416695,1074.920017,5.451984735,11.56285362,0.01261837,0.19299145,0.011547441,0.018378911,0.001596758
1990,5.048219178,839,345.0921823,4.581458333,10.403125,0.004322917,0.040842105,0.010108824,0.013122632,4.605871466,1.667324278,6.273195744,9.484661677,4.38166676,995.200016,5.887353388,12.35733334,0.005844233,0.139053484,0.011731783,0.018334981,0.001588272
1991,5.635342466,1003.3,457.3528748,3.384174757,9.033009709,0.004330097,0.024019231,0.008238889,0.01034233,2.421016739,1.142883103,3.563899842,6.765492836,5.465833217,1164.460003,4.148607807,9.495813543,0.008256129,0.042098005,0.008770211,0.013791325,0.001299089
1992,4.509562842,877.1,382.5795393,3.220752688,9.122340426,0.006569149,0.019021277,0.008484375,0.009591398,3.530721801,1.729063379,5.25978518,11.92552294,4.464583257,955.4299927,5.045012419,11.959679,0.014399634,0.042811366,0.012524877,0.016479271,0.001397747
1993,3.590410959,997.8,538.2883979,2.72877551,11.93673469,0.008326531,0.013469388,0.01005,0.006597917,2.964235431,1.111411993,4.075647424,7.547203255,3.662500078,1161.630009,1.592681764,6.244705995,0.004674238,0.009781805,0.006250898,0.004649021,0.000204079
1994,3.209041096,911.5,444.9826178,3.102272727,9.690909091,0.012670455,0.017045455,0.011175,0.008559091,3.366576746,0.737356338,4.103933084,4.279427969,3.226249923,1042.759998,3.514016464,13.10309716,0.007686003,0.017415743,0.011189545,0.010131776,0.000407694
1995,5.125479452,1040.3,505.1408796,2.2448,11.538,0.011686275,0.013745098,0.013423529,0.004148039,5.047125547,1.362774235,6.409899782,6.013615893,5.033750057,1073.390003,1.804275492,6.065697917,0.006643221,0.014624338,0.005993774,0.004877352,0.000227484
1996,3.746448087,1249.2,677.6287539,1.969428571,11.80285714,0.022,0.019777778,0.016177778,0.003755714,15.99040064,1.672839952,17.66324059,12.02873567,3.55916672,1193.129986,1.504211866,7.238720603,0.01050969,0.020090348,0.006810234,0.004017092,0.000128229
1997,4.13369863,1185.9,652.8785093,1.823404255,9.553191489,0.017155556,0.021957447,0.01326383,0.004026596,3.29355457,1.132424828,4.425979398,7.732381063,4.084166487,1263.18,1.696188364,6.004681743,0.015820043,0.038376622,0.008022936,0.005047671,0.000216963
