Year,Month,WaterYear,WaterYearMonth,CSMeanTempC,CSPrecipitationmm,Runoffmm,StrCamgL,StrDOCmgL,StrNH4NmgL,StrNO3NmgL,StrTDPmgL,StrSO4SmgL,depNH4Nkgha,depNO3Nkgha,depTotNkgha,depSO4Skgha,NAMGridTempC,NAMGridPrecipitationmm,FWACamgL,FWADOCmgL,FWANH4NmgL,FWANO3NmgL,FWATDPmgL,FWASO4SmgL
1984,6,1985,19856,16.58333333,78.8,23.62784353,3.344615385,8.753846154,0.043,0.031923077,0.0273,0.005554615,0.139764178,0.034562189,0.174326367,0.396556527,15.94999981,84.05999756,3.648968951,9.214230699,0.035370706,0.051757819,0.02956645,0.006637152
1984,7,1985,19857,17.96451613,82.4,12.9574002,3.38,11.5125,0.059,0.016444444,0.024433333,0.003605,0.001973781,0.001610643,0.003584424,0.012624384,17.53000069,89.05000305,6.206087731,23.09903775,0.0450427,0.033287773,0.014788927,0.008115033
1984,8,1985,19858,18.32580645,49.5,3.280080241,4.42,9.95,0.13075,0.0375,0.0483,0.0073475,3.57723695,0.882527436,4.459764385,17.0584398,18.33499908,93.58000183,12.22999141,32.47854029,0.16348712,0.065777741,0.048261717,0.024380456
1984,9,1985,19859,11.11,124.8,16.02083049,3.736,9.7,0.0884,0.0245,0.017233333,0.006571,0.140004883,0.052193424,0.192198307,0.713000625,11.41499996,115.1500015,4.005284795,8.860532627,0.035219776,0.027637259,0.019475848,0.007611179
1984,10,1985,198510,8.596774194,52.2,19.26278034,3.531666667,9.283333333,0.043153846,0.006538462,0.011675,0.006250833,0.068306054,0.041929244,0.110235298,0.372134754,8.715000153,75,3.520414605,9.476398386,0.042698004,0.006695332,0.009871104,0.006339408
1984,11,1985,198511,0.086666667,99.9,68.56537613,3.5125,6.675,0.019666667,0.198666667,0.007175,0.0093325,0.117945437,0.080859711,0.198805147,0.538255387,0.194999993,106.3099976,3.501778943,7.353766431,0.015322611,0.183832786,0.008787077,0.009309277
1984,12,1985,198512,-4.280645161,147.3,81.6423671,3.6175,5.1,0.027,0.26375,0.00702,0.01025125,0.011012252,0.010504195,0.021516447,0.034147923,-4.224999905,138.25,2.233745621,2.78406296,0.015333417,0.163917312,0.004990777,0.006349044
1985,1,1985,19851,-13.08709677,79.8,30.81542227,3.539090909,4.290909091,0.028636364,0.324545455,0.006275,0.01035,0.087454134,0.08734238,0.174796514,0.315063456,-13.76500034,101.9899979,2.573252264,3.129173282,0.020223559,0.237847841,0.004747702,0.007555267
1985,2,1985,19852,-7.446428571,105.8,29.67930993,3.7,4.325,0.0272,0.381388889,0.009992222,0.009934,0.03238336,0.071224653,0.103608013,0.2671527,-8.404999733,113,4.47593915,5.680019271,0.019031138,0.527278965,0.021433777,0.011409252
1985,3,1985,19853,-2.909677419,114.7,71.43382146,3.617741935,4.187096774,0.011774194,0.403387097,0.008319231,0.009116452,0.027895032,0.017565348,0.04546038,0.082092987,-3.980000019,102.0899963,3.535397307,4.188778357,0.008321849,0.409518986,0.009943187,0.008769258
1985,4,1985,19854,4.653333333,104.6,291.1948646,3.057333333,4.04,0.006775862,0.443793103,0.009018571,0.008166667,N/A,N/A,N/A,N/A,3.829999924,84.65000153,2.86310547,3.93386108,0.005023962,0.487041514,0.010177953,0.007702599
1985,5,1985,19855,11.70322581,70,52.81319157,2.902142857,6.714285714,0.022928571,0.0975,0.01778,0.007011429,N/A,N/A,N/A,N/A,10.93500042,91.18000031,2.967195904,6.326710205,0.015074133,0.125196905,0.01964939,0.007510229
1985,6,1986,19866,14.18666667,73.4,12.30571715,3.312916667,10.2,0.122916667,0.034166667,0.0258,0.003434167,1.843334209,0.291144655,2.134478864,3.517269467,13.52499962,68.93000031,2.813441901,9.986637324,0.076039261,0.028294894,0.043744965,0.003398801
1985,7,1986,19867,17.57419355,147.9,39.33669809,3.072,11.19,0.0859,0.0393,0.029566667,0.003075,0.038801642,0.028944892,0.067746534,0.288705169,17.17000008,102.1100006,1.06164551,3.824216602,0.022611315,0.013066344,0.011868923,0.001254811
1985,8,1986,19868,16.38064516,144.7,23.05242126,3.298571429,12.72857143,0.115285714,0.029,0.031,0.00307,0.064669403,0.022000453,0.086669855,0.216916921,16.29999924,122.1399994,6.208888441,24.507975,0.142843695,0.065993223,0.083984117,0.007115877
