Year,Month,WaterYear,CSMeanTempC,CSPrecipitationmm,Runoffmm,StrCamgL,StrDOCmgL,StrNH4NmgL,StrNO3NmgL,StrTDPmgL,StrSO4SmgL,depNH4Nkgha,depNO3Nkgha,depTotNkgha,depSO4Skgha,NAMGridTempC,NAMGridPrecipitationmm,FWACamgL,FWADOCmgL,FWANH4NmgL,FWANO3NmgL,FWATDPmgL,FWASO4SmgL
1971,10,1972,6.869354839,96.1,63.89513217,2.78,16.23,0.015789051,0.001807173,0.013333333,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.736734477,4.172615196,0.009064959,0.000792582,0.011454466,0.376638553
1971,11,1972,-4.246666667,65,61.57736757,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1971,12,1972,-13.85806452,24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1972,1,1972,-21.85,30.2,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1972,2,1972,-17.60172414,22.6,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1972,3,1972,-7.380645161,34.7,1.46165335,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1972,4,1972,1.785,12.3,55.20873512,1.9975,25.17,0.010715848,0.00880997,0.014,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.105871785,64.86892965,0.027876191,0.021779666,0.036046237,4.249376938
1972,5,1972,13.94166667,52.5,35.02225831,2.133333333,16.4,0.016306725,0.012236069,0.012,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.917558007,14.7018274,0.015811678,0.01136915,0.012394147,1.702515522
1972,6,1972,16.995,67.6,16.92907791,2.945,11.6,0.014365448,0.009205289,0.0115,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.106776133,7.195559667,0.009668672,0.006663534,0.008290934,2.042682851
1972,7,1972,17.15967742,147.1,43.90180242,3.07,16.02,0.014753703,0.006889848,0.013,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.710932224,25.94180262,0.03203686,0.004140893,0.016916379,1.262437386
