Water Year,CSMeanTempC,CSPrecipitationmm,Runoffmm,StrCamgL,StrDOCmgL,StrNH4NmgL,StrNO3NmgL,StrTDPmgL,StrSO4SmgL,depNH4Nkgha,depNO3Nkgha,depTotNkgha,depSO4Skgha,NAMGridTempC,NAMGridPrecipitationmm,FWACamgL,FWADOCmgL,FWANH4NmgL,FWANO3NmgL,FWATDPmgL,FWASO4SmgL,iNDVI
1972,1.647260274,775.4,379.3047392,2.618333333,17.03785714,0.012118744,0.007085625,0.0127,1.630523871,N/A,N/A,N/A,N/A,N/A,N/A,3.71615838,32.887974,0.021881764,0.010580177,0.02187773,3.811476132,N/A
1973,2.38109589,740.2,248.6272349,2.619333333,17.7,0.01164766,0.006798761,0.011483871,1.602278576,N/A,N/A,N/A,N/A,N/A,N/A,3.845650668,23.32872587,0.017467623,0.008904481,0.015480637,1.043728328,N/A
1974,1.246986301,730.2,464.4242169,3.201875,15.67285714,0.023052661,0.013666748,0.0165,2.662761031,N/A,N/A,N/A,N/A,N/A,N/A,5.032594104,42.87547119,0.046914323,0.020156336,0.029253973,6.491044783,N/A
1975,2.653287671,671.3,293.8132042,3.269302326,15.11771429,0.016758184,0.033506254,0.017883721,2.34597183,N/A,N/A,N/A,N/A,N/A,N/A,7.536238375,45.04692244,0.057713443,0.131792754,0.05270078,7.203532611,N/A
1976,3.159699454,533.6,179.5327929,3.667272727,15.07454545,0.014929044,0.03360384,0.017969697,2.099956012,N/A,N/A,N/A,N/A,N/A,N/A,4.992806785,25.32487756,0.037645848,0.069135722,0.030598608,4.037052998,N/A
1977,1.759641873,709.2,229.2133463,3.8534375,17.98125,0.031739875,0.02913361,0.01734375,2.130112534,N/A,N/A,N/A,N/A,N/A,N/A,5.836904059,32.62116323,0.089688047,0.075682875,0.030407402,4.333379898,N/A
1978,1.988292011,763.2,312.0629903,3.64,19.028,0.013718356,0.008034391,0.016533333,1.965016642,N/A,N/A,N/A,N/A,N/A,N/A,5.536246487,37.03813382,0.037600541,0.01561959,0.031504503,4.651535326,N/A
1979,0.658630137,488.3,160.8340704,3.484666667,16.7552,0.017807979,0.010978578,0.012928571,1.85152191,N/A,N/A,N/A,N/A,N/A,N/A,8.381913232,41.72661993,0.074206632,0.047424469,0.035817963,5.724723681,N/A
1980,2.412181303,624.4,179.261343,4.391875,18.6652,0.019283349,0.010037342,0.013966667,3.534192588,N/A,N/A,N/A,N/A,N/A,N/A,5.513947474,19.57547909,0.021796615,0.014484331,0.016093768,5.237812256,N/A
1981,3.396575342,638.8,163.6581935,4.082,22.344,0.018325653,0.007093155,0.012,2.710521258,7.650118,5.91937932,13.9992466,14.93248326,2.484202985,581.0140951,4.216401391,27.19285509,0.018587117,0.008831449,0.012108067,3.119158257,N/A
1982,1.995205479,684.4,269.7637864,N/A,N/A,N/A,N/A,N/A,N/A,4.84270995,3.609892392,8.48643755,8.303636808,0.978541274,616.3431831,N/A,N/A,N/A,N/A,N/A,N/A,88.8543
1983,4.29501385,571.3,230.3095863,3.302,15.168,0.026711968,0.010767741,0.0134,2.243190006,7.080259294,7.513365806,14.5936251,12.00970437,3.356579526,544.0686345,6.875095452,32.03151721,0.047126084,0.016898928,0.030811861,4.895105795,87.4982
1984,3.074453552,523.5,111.6859765,4.834,11.4,0.013511286,0.013056827,0.0076,5.234110015,1.5978888,2.0838944,3.6817832,2.958051934,2.255030612,502.5209031,1.96485291,4.654555176,5.15E-03,4.37E-03,3.03E-03,2.125292035,94.3049
1985,2.225342466,958.1,416.9756796,3.537857143,17.69571429,0.041265997,0.014780096,0.013785714,1.461602332,3.750031619,3.485116444,7.235148063,3.503484792,1.426340348,818.9309125,9.020220231,53.22255748,0.120712862,0.112424573,0.048936898,3.985094565,103.4731
1986,2.493424658,633.3,223.0796224,3.490588235,17.2125,0.029701534,0.009741794,0.01,1.580679232,6.22494415,6.490383372,12.88342123,6.320042265,1.636616603,619.4227265,3.377736421,16.23711477,0.027925466,0.007285409,0.014739111,1.598776173,107.8806
1987,4.706849315,511.9,104.6543799,4.212307692,25.88307692,0.020547668,0.015882273,0.011076923,1.499751822,1.58472,1.340192,2.924912,1.788142891,3.973138236,509.4359042,10.56502068,68.98184051,0.055788318,0.083972099,0.035034533,2.470337294,97.2033
1988,3.462225275,605.1,96.20289141,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.631519698,551.8354554,N/A,N/A,N/A,N/A,N/A,N/A,86.1673
1989,2.42260274,634,171.9113148,3.806363636,24.76363636,0.018589196,0.058086657,0.015515152,1.936592382,9.352069726,7.857642983,17.20971271,8.704613364,1.500591735,595.3663686,19.79097498,139.1675602,0.060533339,0.172283765,0.084660724,10.23826715,99.7543
1990,2.473287671,536.5,69.59036005,4.760571429,28.00114286,0.031748195,0.063263974,0.018114286,2.001703735,3.422751333,2.758090667,6.180842,3.521441121,1.828608552,532.0227255,15.86162168,112.0510612,0.113844372,0.162559387,0.056113709,6.073688755,119.4557
1991,3.494505495,725.3,123.9690849,4.498214286,23.98285714,0.039990301,0.101919734,0.013785714,2.77036827,1.432768629,1.184798743,2.617567371,1.626411752,2.859094875,658.2809081,22.91372604,130.5005423,0.192289683,0.499685301,0.07111732,13.38803267,104.4411
1992,1.859289617,906.2,456.9650392,3.604576271,22.37491525,0.027493743,0.028765451,0.011576271,1.345981897,3.140935816,2.731387224,5.872323041,4.276331305,1.424180087,722.3077218,4.47973072,32.27529521,0.048417775,0.041009289,0.018856001,1.866805123,106.09
1993,2.211538462,648,177.5752215,4.141578947,23.86421053,0.031060428,0.022512386,0.016921053,0.597516386,0.1953,0.42966,0.62496,0.673657999,1.455716346,602.6418138,6.002836275,39.44536555,0.045765837,0.039021326,0.027071894,1.03541878,99.5792
1994,1.752054795,671.7,204.1150182,4.6575,21.99,0.01417132,0.009600608,0.013,0.413087445,N/A,N/A,N/A,N/A,1.119425975,582.6554546,1.619703958,7.635545708,4.93E-03,3.39E-03,4.52E-03,0.145032591,107.3443
1995,3.905906593,603.9,145.6328756,4.509230769,18.96857143,0.027732525,0.02200169,0.017357143,0.604907849,N/A,N/A,N/A,N/A,3.176078576,605.8927266,5.393077943,31.80718024,0.040805153,0.037266332,0.023395878,1.173840031,106.2624
1996,1.138049451,920.7,308.9674173,4.619310345,25.16689655,0.027740175,0.016094125,0.021827586,0.616739124,N/A,N/A,N/A,N/A,0.226137494,729.9977253,11.31062808,65.57067828,0.091486316,0.056133221,0.057619706,1.999800895,92.2929
1997,1.799315068,724.9,258.3681104,5.598947368,25.05473684,0.025052687,0.024884301,0.028894737,0.276709294,N/A,N/A,N/A,N/A,1.139393922,644.4500027,3.713441236,23.09138333,0.017900374,0.016969255,0.016556823,0.485948266,110.33
1998,5.334246575,656.5,164.6813509,4.905909091,23.2992,0.023577689,0.034243881,0.027363636,0.907290244,N/A,N/A,N/A,N/A,4.691290695,575.5272754,4.847467415,30.11399601,0.023233293,0.022111811,0.020986998,1.123033043,130.9648
1999,3.977209945,861.9,230.6280179,4.737727273,27.22909091,0.022412922,0.010458605,0.023954545,0.563073465,N/A,N/A,N/A,N/A,3.46649867,815.230452,4.323952169,29.07087781,0.022920284,0.014387433,0.019982695,0.839969234,120.1887
2000,3.80942623,842.7,380.2543393,4.033461538,25.92461538,0.031179891,0.012850045,0.016528846,0.37335145,N/A,N/A,N/A,N/A,3.448440464,688.4363682,6.600278344,53.32288139,0.050066297,0.015827489,0.029701587,0.697101687,117.18635
2001,3.293956044,858.9,333.2256427,4.245,20.79428571,0.029008221,0.017273027,0.01875,0.270026858,N/A,N/A,N/A,N/A,2.711994306,802.7104557,3.912194828,24.9016083,0.029435496,0.016957652,0.018281939,0.385404633,114.7391
2002,3.734203297,731.9,248.0477937,3.85125,19.548,0.026466073,0.017469342,0.015510417,0.457038837,N/A,N/A,N/A,N/A,3.284016839,722.6613641,3.692961773,23.70757845,0.030631907,0.014870661,0.013968417,0.543581353,95.1397
2003,2.514423077,566.4,54.51966997,4.3925,21.46875,0.0240233,0.020161277,0.0140625,0.695572496,N/A,N/A,N/A,N/A,1.978278631,552.8386349,8.61945106,54.84493705,0.056985831,0.063062397,0.031612918,1.959264641,123.7954
