Year,Month,WaterYear,CSMeanTempC,CSPrecipitationmm,Runoffmm,StrCamgL,StrDOCmgL,StrNH4NmgL,StrNO3NmgL,StrTDPmgL,StrSO4SmgL,depNH4Nkgha,depNO3Nkgha,depTotNkgha,depSO4Skgha,NAMGridTempC,NAMGridPrecipitationmm,FWACamgL,FWADOCmgL,FWANH4NmgL,FWANO3NmgL,FWATDPmgL,FWASO4SmgL
1971,10,1972,6.869354839,96.1,49.79655568,1.61,32.88,0.014753703,0.001430679,0.012333333,1.502136165,N/A,N/A,N/A,N/A,N/A,N/A,1.300723772,29.15605578,0.006913059,8.86E-04,0.01074502,0.510187682
1971,11,1972,-4.246666667,65,42.45602755,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1971,12,1972,-13.85806452,24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1972,1,1972,-21.85,30.2,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1972,2,1972,-17.60172414,22.6,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1972,3,1972,-7.380645161,34.7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1972,4,1972,1.785,12.3,35.31389208,0.82,16.32,0.001708324,0.00067769,0.015,1.301851343,N/A,N/A,N/A,N/A,N/A,N/A,2.383988764,47.44719101,0.004966615,1.97E-03,0.043609551,3.784876798
1972,5,1972,13.94166667,52.5,29.26291619,1.011666667,21.408,0.01452075,0.000736423,0.018,1.335232147,N/A,N/A,N/A,N/A,N/A,N/A,1.256288136,31.11181017,0.015509332,0.000862254,0.024493503,2.223368975
1972,6,1972,16.995,67.6,9.919632606,1.275,21.72,0.031836939,0.00338845,0.0145,1.969467416,N/A,N/A,N/A,N/A,N/A,N/A,1.8945,26.1675,0.016597916,0.002126252,0.016125,8.862603373
1972,7,1972,17.15967742,147.1,39.33134328,1.365,21.54,0.015141959,0.003049605,0.012,1.602278576,N/A,N/A,N/A,N/A,N/A,N/A,2.609394704,33.00385876,0.023153581,0.002408591,0.01916488,1.440636349
1972,8,1972,17.89516129,116.9,36.05786452,1.53,26.07,0.00869692,0.001626456,0.012,1.618968978,N/A,N/A,N/A,N/A,N/A,N/A,2.239675378,37.77437414,0.007761262,0.001741548,0.014122696,3.999015687
1972,9,1972,9.785,106.4,26.4358209,1.545,20.82,0.003494298,0.001016535,0.01125,1.669040183,N/A,N/A,N/A,N/A,N/A,N/A,1.040712946,15.68667917,0.002163449,7.06E-04,0.007162289,0.657595569
1972,10,1973,2.858064516,33.2,13.73869116,1.4275,25.29,0.006988596,0.000790638,0.012,1.702420987,N/A,N/A,N/A,N/A,N/A,N/A,1.432211191,23.65624549,0.005040311,6.19E-04,0.010659747,0.571570945
1972,11,1973,-5.496666667,60.7,9.969230769,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1972,12,1973,-17.90322581,25.9,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1973,1,1973,-13.05322581,5.8,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1973,2,1973,-13.4875,23.7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1973,3,1973,-1.338709677,41.6,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1973,4,1973,1.985,47.8,35.11549943,1.185,28.02,0.012424171,0.00135538,0.0205,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.210381356,28.20254237,0.011483146,0.001521931,0.020529661,N/A
1973,5,1973,10.11774194,46.8,16.11940299,1.126,24.576,0.020499882,0.001581277,0.0134,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.949076923,18.93193846,0.014487539,0.001150613,0.011198154,N/A
1973,6,1973,15.17,94,22.61676234,1.21,25.86,0.024071832,0.003106079,0.013,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.09375,23.35460526,0.013461222,0.003629951,0.010296053,N/A
1973,7,1973,18.06451613,134.2,33.62755454,1.298,34.08,0.014443099,0.001761994,0.0176,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.6520059,16.43823009,0.005971802,0.000857275,0.011275221,N/A
1973,8,1973,19.4016129,95.5,22.41836969,1.35,38.73,0.016112597,0.001694225,0.0105,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.409859882,27.58314159,0.009825781,0.001316898,0.006515487,N/A
1973,9,1973,11.14833333,131,33.77634902,1.5725,33.36,0.01417132,0.002258967,0.0115,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.028964758,50.89427313,0.026262823,0.004214416,0.017687225,N/A
1973,10,1974,7.679032258,66.2,31.44523536,1.27,25.8,0.012890078,0.001581277,0.01,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.017132492,23.86902208,0.009180708,0.001435905,0.007529968,N/A
1973,11,1974,-5.411666667,47.3,5.455797933,1.1,22.44,0.020189278,0.001807173,0.015,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.2,24.48,0.022024667,1.97E-03,0.016363636,N/A
1973,12,1974,-15.07258065,22.2,1.686337543,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1974,1,1974,-20.27580645,40,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1974,2,1974,-14.14642857,27.4,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1974,3,1974,-9.277419355,25.5,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1974,4,1974,1.82,93.4,58.57543054,2.175,24.084,0.031060428,0.001807173,0.0245,2.870749115,N/A,N/A,N/A,N/A,N/A,N/A,15.70745131,22.636105,0.192418168,0.014044422,0.149149026,18.41568909
