Year,Month,WaterYear,WaterYearMonth,CSMeanTempC,CSPrecipitationmm,Runoffmm,StrCamgL,StrDOCmgL,StrNH4NmgL,StrNO3NmgL,StrTDPmgL,StrSO4SmgL,depNH4Nkgha,depNO3Nkgha,depTotNkgha,depSO4Skgha,NAMGridTempC,NAMGridPrecipitationmm,FWACamgL,FWADOCmgL,FWANH4NmgL,FWANO3NmgL,FWATDPmgL,FWASO4SmgL
1971,10,1972,197210,6.869354839,96.1,89.41540687,1.43,20.94,0.008282781,0.000903587,0.007333333,1.235089736,N/A,N/A,N/A,N/A,N/A,N/A,1.042252898,19.2103582,0.004172507,5.51E-04,0.005344516,0.454930834
1971,11,1972,197211,-4.246666667,65,47.29345389,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1971,12,1972,197212,-13.85806452,24,17.72684268,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1972,1,1972,19721,-21.85,30.2,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1972,2,1972,19722,-17.60172414,22.6,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1972,3,1972,19723,-7.380645161,34.7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1972,4,1972,19724,1.785,12.3,50.41822785,1.2425,17.79,0.002213055,0.009770031,0.00925,1.401993754,N/A,N/A,N/A,N/A,N/A,N/A,3.094174156,47.60824295,0.005729624,0.01388351,0.022321041,3.488537072
1972,5,1972,19725,13.94166667,52.5,32.56014467,1.343333333,13.06,0.023942413,0.012424316,0.007166667,1.279597474,N/A,N/A,N/A,N/A,N/A,N/A,1.344721689,13.84527831,0.022341139,0.012110402,0.007834293,1.395298372
1972,6,1972,19726,16.995,67.6,13.32716094,1.5475,11.76,0.02251881,0.003727295,0.008,1.869325005,N/A,N/A,N/A,N/A,N/A,N/A,2.33880422,24.10691676,0.014569817,0.002705199,0.011166471,7.823552484
1972,7,1972,19727,17.15967742,147.1,38.43471971,1.4875,16.23,0.012424171,0.001581277,0.007,1.535516969,N/A,N/A,N/A,N/A,N/A,N/A,2.35886687,26.5057561,0.016248486,0.001048996,0.010166362,2.186551195
