Water Year,CSMeanTempC,CSPrecipitationmm,Runoffmm,StrCamgL,StrDOCmgL,StrNH4NmgL,StrNO3NmgL,StrTDPmgL,StrSO4SmgL,depNH4Nkgha,depNO3Nkgha,depTotNkgha,depSO4Skgha,NAMGridTempC,NAMGridPrecipitationmm,FWACamgL,FWADOCmgL,FWANH4NmgL,FWANO3NmgL,FWATDPmgL,FWASO4SmgL,iNDVI
1972,1.647260274,775.4,354.7962098,1.547666667,14.9,0.012434525,0.004796539,0.009066667,1.373748458,N/A,N/A,N/A,N/A,N/A,N/A,2.366440131,30.16359349,0.01272133,0.006605137,0.014052396,3.403992464,N/A
1973,2.38109589,740.2,230.2177215,1.324333333,15.48,0.011096588,0.003286432,0.006612903,1.401993754,N/A,N/A,N/A,N/A,N/A,N/A,2.023241941,19.65320374,0.013103317,0.004231594,0.009489672,0.590388276,N/A
1974,1.246986301,730.2,271.8865823,1.492333333,13.73555556,0.013071263,0.004623352,0.007266667,1.991721285,N/A,N/A,N/A,N/A,N/A,N/A,3.546811956,46.39697251,0.040908062,0.012411275,0.026394437,6.141007101,N/A
1975,2.653287671,671.3,182.1118264,1.541428571,13.63709091,0.010449615,0.003859606,0.008114286,1.733894316,N/A,N/A,N/A,N/A,N/A,N/A,3.16494975,31.47992341,0.025791553,0.006449088,0.016336246,4.05032064,N/A
1976,3.159699454,533.6,139.3649186,1.65,12.46224,0.008199953,0.006523896,0.00756,1.797222469,N/A,N/A,N/A,N/A,N/A,N/A,3.130104215,28.66006493,0.019836854,0.007435846,0.018395193,4.301501853,N/A
1977,1.759641873,709.2,139.9742495,1.951851852,17.24888889,0.027954385,0.018724323,0.011222222,2.03746535,N/A,N/A,N/A,N/A,N/A,N/A,4.588208423,41.74012725,0.085017493,0.05895219,0.028481085,5.565007338,N/A
1978,1.988292011,763.2,244.1883018,1.652333333,17.864,0.009344012,0.001148767,0.007666667,1.755830273,N/A,N/A,N/A,N/A,N/A,N/A,3.443742811,36.23765432,0.029224275,0.002866361,0.016545281,4.879599641,N/A
1979,0.658630137,488.3,144.6301627,1.591428571,16.08,0.016084864,0.003420721,0.006428571,1.664271497,N/A,N/A,N/A,N/A,N/A,N/A,2.172459452,21.20986898,0.03043163,0.006373609,0.00774792,2.646674952,N/A
1980,2.412181303,624.4,135.3964557,2.924666667,18.67971429,0.015613412,0.005877839,0.006678571,3.605126796,N/A,N/A,N/A,N/A,N/A,N/A,5.600118163,32.44749102,0.026278299,0.010540991,0.010982353,7.302510337,N/A
1981,3.396575342,638.8,185.4084629,3.004482759,18.57517241,0.025844418,0.07640076,0.007586207,3.842245608,7.650118,5.91937932,13.9992466,14.93248326,2.546727127,579.9454443,4.086089213,22.87853596,0.025593311,0.12370709,0.010637874,5.625320583,N/A
1982,1.995205479,684.4,243.2480289,2.28,16.38857143,0.01195291,0.010397517,0.008241379,3.245995391,4.84270995,3.609892392,8.48643755,8.303636808,1.036142636,614.0095595,3.761359111,25.90058862,0.026244662,0.021217296,0.013678375,5.657003434,170.7974
1983,4.29501385,571.3,200.3605063,2.073478261,13.55478261,0.028258237,0.010676073,0.008043478,2.973794205,7.080259294,7.513365806,14.5936251,12.00970437,3.415347698,541.9738234,5.480779076,38.00246074,0.052654782,0.017391876,0.022225311,7.986027828,91.9185
