Year,Month,WaterYear,CSMeanTempC,CSPrecipitationmm,Runoffmm,StrCamgL,StrDOCmgL,StrNH3NmgL,StrNO3NmgL,StrTDPmgL,StrSO4SmgL,depNH3Nkgha,depNO3Nkgha,depTotNkgha,depSO4Skgha,NAMGridTempC,NAMGridPrecipitationmm,FWACamgL,FWADOCmgL,FWANH3NmgL,FWANO3NmgL,FWATDPmgL,FWASO4SmgL,N/A,N/A
1971,10,1972,N/A,131.2,13.7668,3.85,N/A,0.01,N/A,0.065,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.120512821,N/A,0.015897436,N/A,0.103333333,N/A,N/A,N/A
1971,11,1972,N/A,423.2,198.755,2.95,N/A,N/A,N/A,0.052,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.107202296,N/A,N/A,N/A,0.019516786,N/A,N/A,N/A
1971,12,1972,N/A,501,208.153,2.15,N/A,0.015,0.001,0.0425,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.518580118,N/A,0.022979888,0.001700515,0.050153304,N/A,N/A,N/A
1972,1,1972,N/A,569.2,336.6262,2.85,N/A,0.027,N/A,0.065,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.835804582,N/A,0.045812886,N/A,0.11029028,N/A,N/A,N/A
1972,2,1972,N/A,422.1,341.9856,3,N/A,0.004,0.003,0.026,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.516596057,N/A,6.89E-04,5.17E-04,0.004477166,N/A,N/A,N/A
1972,3,1972,N/A,235.3,485.3686,2.25,N/A,0.0265,N/A,0.033,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.078956213,N/A,0.013023468,N/A,0.012557525,N/A,N/A,N/A
1972,4,1972,N/A,246.4,162.8648,2.3,N/A,0.011,N/A,0.039,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.362986831,N/A,0.006518633,N/A,0.023111516,N/A,N/A,N/A
1972,5,1972,N/A,109,123.0884,2.515,N/A,0.005,N/A,0.031,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.337728705,N/A,0.00706831,N/A,0.024572435,N/A,N/A,N/A
1972,6,1972,N/A,38.5,21.7932,2.81,N/A,0.008,0.001,0.03,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.03026178,N/A,0.005780105,7.23E-04,0.021675393,N/A,N/A,N/A
1972,7,1972,N/A,N/A,6.223,3.35,N/A,0.001,0.0005,0.0285,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.863822993,N/A,1.24E-03,2.55E-04,0.024805657,N/A,N/A,N/A
1972,8,1972,N/A,19.3,1.9304,3.35,N/A,N/A,N/A,0.024,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.950284091,N/A,N/A,N/A,0.021136364,N/A,N/A,N/A
1972,9,1972,N/A,97,3.6576,3.8,N/A,N/A,0.0005,0.0395,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.291935484,N/A,N/A,1.11E-03,0.058451613,N/A,N/A,N/A
1972,10,1973,N/A,75.7,2.286,1.7,N/A,N/A,0.005,0.095,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.081025641,N/A,N/A,0.003179487,0.060410256,N/A,N/A,N/A
1972,11,1973,N/A,163.9,15.875,1.95,N/A,N/A,0.0025,0.0685,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.563395415,N/A,N/A,0.001772923,0.053047994,N/A,N/A,N/A
1972,12,1973,N/A,413.2,208.0768,1.7,N/A,N/A,N/A,0.04,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.66505727,N/A,N/A,N/A,0.086236642,N/A,N/A,N/A
1973,1,1973,N/A,235.4,182.4736,1.55,N/A,N/A,0.001,0.0365,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.443161645,N/A,N/A,3.14E-04,0.010426991,N/A,N/A,N/A
1973,2,1973,N/A,95.1,57.6072,2.2,N/A,N/A,0.002,0.145,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.978037661,N/A,N/A,1.80E-03,0.130370664,N/A,N/A,N/A
1973,3,1973,N/A,151.6,84.1502,2.2,N/A,0.008,N/A,0.065,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.987739048,N/A,0.010864506,N/A,0.088274108,N/A,N/A,N/A
1973,4,1973,N/A,103.9,67.3354,2.49,N/A,0.006,0.0025,0.057,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.322717262,N/A,0.009147891,0.003811621,0.075927494,N/A,N/A,N/A
1973,5,1973,N/A,70.7,29.591,3.63,N/A,N/A,N/A,0.035,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.559471858,N/A,N/A,N/A,0.024678103,N/A,N/A,N/A
1973,6,1973,N/A,91.1,16.2814,3.5,N/A,N/A,0.001,0.102,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.654494382,N/A,N/A,7.58E-04,0.077359551,N/A,N/A,N/A
1973,7,1973,N/A,1,7.1374,3.25,N/A,N/A,0.002,0.047,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.717531847,N/A,N/A,0.002221338,0.044698248,N/A,N/A,N/A
1973,8,1973,N/A,22.3,2.4892,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1973,9,1973,N/A,182,9.2202,2.935,N/A,N/A,0.0025,0.057,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.751301115,N/A,N/A,1.38E-03,0.047118959,N/A,N/A,N/A
