Year,Month,WaterYear,CSMeanTempC,CSPrecipitationmm,Runoffmm,StrCamgL,StrDOCmgL,StrNH3NmgL,StrNO3NmgL,StrTDPmgL,StrSO4SmgL,depNH3Nkgha,depNO3Nkgha,depTotNkgha,depSO4Skgha,NAMGridTempC,NAMGridPrecipitationmm,FWACamgL,FWADOCmgL,FWANH3NmgL,FWANO3NmgL,FWATDPmgL,FWASO4SmgL,N/A,N/A,N/A
1971,10,1972,N/A,N/A,17.8562,5.95,N/A,N/A,0.003,0.0345,0.5,N/A,N/A,N/A,N/A,N/A,N/A,7.955586817,N/A,N/A,0.007052251,0.069874598,0.867202572,N/A,N/A,N/A
1971,11,1972,N/A,N/A,198.7804,3.525,N/A,N/A,0.001,0.0545,0.43,N/A,N/A,N/A,N/A,N/A,N/A,18.25417867,N/A,N/A,0.008507205,0.144,2.241959654,N/A,N/A,N/A
1971,12,1972,N/A,N/A,393.7762,3.636666667,N/A,N/A,0.001333333,0.03,0.25,N/A,N/A,N/A,N/A,N/A,N/A,2.230989155,N/A,N/A,8.63E-04,0.018727709,0.155522721,N/A,N/A,N/A
1972,1,1972,N/A,N/A,551.942,3.133333333,N/A,N/A,0.001333333,0.041333333,0.283333333,N/A,N/A,N/A,N/A,N/A,N/A,7.975019036,N/A,N/A,0.001317015,0.103088707,0.851612155,N/A,N/A,N/A
1972,2,1972,N/A,N/A,274.9296,3.1,N/A,N/A,0.002,0.04,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9.389180738,N/A,N/A,0.006057536,0.121150719,N/A,N/A,N/A,N/A
1972,3,1972,N/A,N/A,368.9858,3.25,N/A,0.007,N/A,0.05,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.777927019,N/A,1.45E-03,N/A,0.01898389,N/A,N/A,N/A,N/A
1972,4,1972,N/A,N/A,106.8578,3.3,N/A,N/A,N/A,0.035,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.05227882,N/A,N/A,N/A,0.032372654,N/A,N/A,N/A,N/A
1972,5,1972,N/A,N/A,48.3616,3.625,N/A,0.002,N/A,0.026,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.54721564,N/A,9.92E-04,N/A,0.017116114,N/A,N/A,N/A,N/A
1972,6,1972,N/A,N/A,14.1224,4.9,N/A,N/A,N/A,0.04,0.27,N/A,N/A,N/A,N/A,N/A,N/A,3.860606061,N/A,N/A,N/A,0.031515152,0.212727273,N/A,N/A,N/A
1972,7,1972,N/A,N/A,5.7912,5.05,N/A,N/A,N/A,0.031,0.235,N/A,N/A,N/A,N/A,N/A,N/A,4.626865672,N/A,N/A,N/A,0.033313433,0.201268657,N/A,N/A,N/A
1972,8,1972,N/A,N/A,2.9718,5.3,N/A,N/A,0.002,0.024,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.3,N/A,N/A,2.00E-03,0.024,N/A,N/A,N/A,N/A
1972,9,1972,N/A,N/A,2.6162,5.3,N/A,N/A,N/A,0.0345,0.265,N/A,N/A,N/A,N/A,N/A,N/A,5.123595506,N/A,N/A,N/A,0.039775281,0.246067416,N/A,N/A,N/A
1972,10,1973,6.619354839,N/A,5.2832,2.05,N/A,N/A,0.005,0.085,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.036141304,N/A,N/A,2.53E-03,0.042961957,N/A,N/A,N/A,N/A
1972,11,1973,3.91,N/A,35.0266,1.95,N/A,N/A,0.0035,0.051,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.003270646,N/A,N/A,0.00161897,0.024186427,N/A,N/A,N/A,N/A
1972,12,1973,-2.332258065,N/A,181.7624,1.8,N/A,N/A,0.002,0.028,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.061599117,N/A,N/A,6.84E-05,9.58E-04,N/A,N/A,N/A,N/A
1973,1,1973,-1.516129032,N/A,177.927,2.5,N/A,N/A,N/A,0.0295,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.597166318,N/A,N/A,N/A,0.018846563,N/A,N/A,N/A,N/A
1973,2,1973,2.482142857,N/A,60.6552,2.52,N/A,N/A,0.002,0.025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.761188119,N/A,N/A,2.19E-03,0.027392739,N/A,N/A,N/A,N/A
1973,3,1973,2.6,N/A,83.7184,3.41,N/A,N/A,0.003,0.12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.822793564,N/A,N/A,2.48E-03,0.099335844,N/A,N/A,N/A,N/A
1973,4,1973,6.38,N/A,45.974,3.41,N/A,N/A,0.0025,0.084,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9.918153462,N/A,N/A,0.010667498,0.179606987,N/A,N/A,N/A,N/A
1973,5,1973,12.35806452,N/A,16.51,4.02,N/A,0.002666667,0.001333333,0.071666667,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.539480069,N/A,0.002650491,0.001558059,0.062770075,N/A,N/A,N/A,N/A
1973,6,1973,13.73333333,N/A,10.16,5.27,N/A,N/A,0.0045,0.07,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.453521127,N/A,N/A,0.003802817,0.05915493,N/A,N/A,N/A,N/A
1973,7,1973,18.07741935,N/A,4.4958,5.5,N/A,0.023,0.003,0.052,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.4,N/A,0.0184,2.40E-03,0.0416,N/A,N/A,N/A,N/A
1973,8,1973,16.49677419,N/A,6.2738,5.01,N/A,0.0025,0.006,0.069,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.622081448,N/A,0.00280543,0.006733032,0.077429864,N/A,N/A,N/A,N/A
1973,9,1973,13.53333333,N/A,13.5128,5.58,N/A,N/A,0.001,0.058,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.042038217,N/A,N/A,1.08E-03,0.062802548,N/A,N/A,N/A,N/A
1973,10,1974,7.274193548,N/A,35.6616,5.025,N/A,N/A,0.001,0.074,N/A,N/A,0.039,0.093,N/A,N/A,N/A,32.50704819,N/A,N/A,3.24E-04,0.712825703,N/A,N/A,N/A,N/A
1973,11,1974,1.003333333,N/A,404.5204,3.48,N/A,N/A,0.001,0.039,N/A,N/A,0.066,N/A,N/A,N/A,N/A,5.279898003,N/A,N/A,1.52E-03,0.059171271,N/A,N/A,N/A,N/A
1973,12,1974,1.432258065,N/A,452.7042,3.26,N/A,N/A,N/A,0.029,N/A,N/A,0.01,N/A,N/A,N/A,N/A,3.177656962,N/A,N/A,N/A,0.02897519,N/A,N/A,N/A,N/A
1974,1,1974,-1.34516129,N/A,321.5132,3.48,N/A,N/A,N/A,0.021,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.728481825,N/A,N/A,N/A,0.034568425,N/A,N/A,N/A,N/A
