WaterYear,CSMeanTempC,CSPrecipitationmm,Runoffmm,StrCamgL,StrDOCmgL,StrNH3NmgL,StrNO3NmgL,StrTDPmgL,StrSO4SmgL,depNH3Nkgha,depNO3Nkgha,depTotNkgha,depSO4Skgha,NAMGridTempC,NAMGridPrecipitationmm,FWACamgL,FWADOCmgL,FWANH3NmgL,FWANO3NmgL,FWATDPmgL,FWASO4SmgL,iNDVI,N/A,N/A
1972,N/A,N/A,1986.9912,4.105,N/A,0.000818182,0.000909091,0.037,0.215,N/A,N/A,N/A,N/A,N/A,N/A,7.680177405,N/A,3.15E-04,0.002359176,0.083861113,0.689588586,N/A,N/A,N/A
1973,7.719452055,N/A,641.2992,3.642105263,N/A,0.001894737,0.002789474,0.062631579,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.382258034,N/A,2.40E-04,1.72E-03,0.041031034,N/A,N/A,N/A,N/A
1974,7.750958904,N/A,2073.1988,4.429411765,N/A,N/A,0.002705882,0.051529412,N/A,N/A,9.5328,1.116,N/A,N/A,N/A,3.891459178,N/A,N/A,1.31E-03,0.049192118,N/A,N/A,N/A,N/A
1975,7.284657534,N/A,1456.9186,4.177222222,N/A,N/A,0.002,0.040111111,N/A,N/A,8.8914,N/A,N/A,N/A,N/A,2.362737098,N/A,N/A,0.002392282,0.047316941,N/A,N/A,N/A,N/A
1976,8.142076503,N/A,1665.3256,4.8915,N/A,N/A,0.0031,0.0489,N/A,N/A,10.7488,N/A,N/A,N/A,N/A,6.422740455,N/A,N/A,0.00764754,0.096045637,N/A,N/A,N/A,N/A
1977,9.068493151,N/A,372.364,5.716111111,N/A,N/A,0.002333333,0.040722222,N/A,N/A,6.549333333,N/A,N/A,N/A,N/A,6.486628006,N/A,N/A,9.59E-04,0.046814302,N/A,N/A,N/A,N/A
1978,8.555342466,N/A,1299.6926,4.517368421,N/A,N/A,0.001736842,0.041947368,N/A,N/A,5.134363636,N/A,N/A,N/A,N/A,7.57069455,N/A,N/A,0.003627328,0.08644017,N/A,N/A,N/A,N/A
1979,7.636986301,N/A,1151.2296,5.411875,N/A,0.0146,0.0019375,0.03725,0.315,5.884,3.947142857,10.249,111.1114286,N/A,N/A,4.164806757,N/A,0.009652442,0.002403347,0.030409098,0.211919151,N/A,N/A,N/A
1980,8.386338798,1971.2,1130.7826,4.845882353,N/A,0.008235294,0.001235294,0.040176471,0.35,14.15325,10.52025,24.6735,148.8,N/A,N/A,4.429800405,N/A,0.009096159,2.01E-03,0.045598593,2.27E-02,N/A,N/A,N/A
1981,9.585753425,2098.7,1045.4894,5.006470588,N/A,0.006235294,0.004117647,0.047176471,N/A,7.0884,4.6128,11.7012,N/A,9.905416568,1760.38001,4.656329725,N/A,0.006414516,0.004954344,0.048711239,N/A,N/A,N/A,N/A
1982,8.332876712,2740.9,1892.3254,4.656571429,N/A,0.00321875,0.001942857,0.049028571,N/A,32.51552727,9.325054545,41.85749091,N/A,8.769166624,2236.870026,3.873325936,N/A,0.003733699,0.001185729,0.047156007,N/A,N/A,N/A,N/A
1983,9.087945205,2623.7,1582.9788,4.134117647,N/A,0.0074,0.003352941,0.044529412,N/A,6.342,16.509,22.851,N/A,9.289166689,2146.260023,3.201062454,N/A,3.27E-03,0.002823758,0.033525281,N/A,111.3494,N/A,N/A
1984,8.83579235,2666.7,1797.6342,3.797058824,N/A,0.008375,0.005647059,0.040470588,0.41,1.792363636,11.77254545,13.56490909,295.2,9.058750021,2144.310009,3.905682202,N/A,0.006439235,0.003150696,0.038736742,0.24878828,111.0202,N/A,N/A
1985,8.218630137,2044.2,1282.319,3.77,N/A,0.012352941,0.003882353,0.045117647,N/A,8.1528,11.13555556,18.75422222,N/A,8.70374988,1682.190016,2.281330966,N/A,0.005477401,1.60E-03,0.026111218,N/A,12.4192,N/A,N/A
1986,8.895068493,2319.2,1307.2872,4.766666667,N/A,0.008611111,0.012611111,0.033666667,N/A,9.141090909,18.47109091,27.61218182,N/A,9.151249955,1863.810012,6.331,N/A,0.005631111,0.019378222,0.046943111,N/A,136.2662,N/A,N/A
