Year,Month ,Water Year,CSMeanTempC,CSPrecipitationmm,Runoffmm,StrCamgL,StrTOCTCICmgL,StrNH4NmgL,StrNO3NO2NmgL,StrTPmgL,StrSO4SmgL,depNH4Nkgha,depNO3Nkgha,depTotNkgha,depSO4Skgha,NAMGridTempC,NAMGridPrecipitationmm,FWACamgL,FWATOCTCICmgL,FWANH4NmgL,FWANO3NO2NmgL,FWATPmgL,FWASO4SmgL
1983,11,1984,-2.85,65.3,2.5341,2.1,N/A,0.1,0.01,0.07,N/A,0.006598543,0.01420608,0.020804623,0.018976969,-1.970000029,60.63999939,1.62827605,N/A,0.077536955,0.007753695,0.054275868,N/A
1983,12,1984,-19.67741935,36.4,0.5854,2.5,N/A,0.05,0.06,0.13,N/A,N/A,N/A,N/A,N/A,-18.92000008,28.01000023,5.756293765,N/A,0.115125875,0.13815105,0.299327276,N/A
1984,1,1984,-15.27419355,17.3,0,N/A,N/A,N/A,N/A,N/A,N/A,0.001410169,0.004662114,0.006072283,0.00330167,-15.21500015,13.09000015,N/A,N/A,N/A,N/A,N/A,N/A
1984,2,1984,-5.086206897,21.4,0,N/A,N/A,N/A,N/A,N/A,N/A,0.008502104,0.010220176,0.01872228,0.013855274,-5.079999924,16.01000023,N/A,N/A,N/A,N/A,N/A,N/A
1984,3,1984,-6.806451613,12.8,0.2493,N/A,N/A,N/A,N/A,N/A,N/A,0.003628966,0.006572863,0.010201829,0.007149385,-6.699999809,12.25,N/A,N/A,N/A,N/A,N/A,N/A
1984,4,1984,6.1,44.7,43.6898,3.75,N/A,0.0625,0.0525,0.12,N/A,0.000327365,9.52E-05,0.000422606,0.015316602,6.244999886,29.80999947,2.800000229,N/A,0.017982401,0.015596947,7.78E-02,N/A
1984,5,1984,10.19354839,108.2,53.3006,2.066666667,N/A,0.31,0.005,0.073333333,N/A,0.047301586,0.022600763,0.069902348,0.044333886,10.15999985,61.61000061,1.143307455,N/A,0.057502511,0.002469309,0.036590639,N/A
1984,6,1984,16.85,160.6,45.2398,1.5,N/A,0.085,0.0325,0.095,N/A,0.050095538,0.041646807,0.091742345,0.060944292,17.04500008,168.9199982,1.96691851,N/A,0.096396978,0.070229753,0.129592085,N/A
1984,7,1984,18.88709677,89.1,3.1772,1.95,N/A,0.175,0.015,0.13,N/A,0.028578106,0.02174123,0.050319337,0.034565943,19.20000076,48.13000107,2.138689727,N/A,0.076119382,0.020211664,0.23056811,N/A
1984,8,1984,19.93548387,51.8,0.0045,N/A,N/A,N/A,N/A,N/A,N/A,0.017163061,0.013254152,0.030417213,0.033474639,20.32999992,49.13000107,N/A,N/A,N/A,N/A,N/A,N/A
