Year,Month ,Water Year,CSMeanTempC,CSPrecipitationmm,Runoffmm,1 Ca (mg/L),1 TOC TC-IC(mg/L),1 NH4-N(mg/L),1 NO3+NO2-N(mg/L),1 TP(mg/L),1 SO4-S (mg/L),2 NH4-N (kg/ha),2 NO3-N (kg/ha),2 Total N (kg/ha),2 SO4-S (kg/ha),T2 (DegC),P2 (mm),FWACamgL,FWATOCTCICmgL,FWANH4NmgL,FWANO3NO2NmgL,FWATDPmgL,FWASO4SmgL,N/A
1983,11,1984,-1.866666667,69.8,4.29,N/A,N/A,N/A,N/A,N/A,N/A,0.006598543,0.01420608,0.020804623,0.018976969,-2.039999962,59.58000183,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1983,12,1984,-19.33870968,38.2,0.82,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-19.02499962,27.26000023,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1984,1,1984,-14.96774194,17.7,0.08,N/A,N/A,N/A,N/A,N/A,N/A,0.001410169,0.004662114,0.006072283,0.00330167,-15.40999985,12.89000034,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1984,2,1984,-4.034482759,24.4,0,N/A,N/A,N/A,N/A,N/A,N/A,0.008502104,0.010220176,0.01872228,0.013855274,-5.210000038,16.19000053,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1984,3,1984,-5.903225806,13,0.1,N/A,N/A,N/A,N/A,N/A,N/A,0.003628966,0.006572863,0.010201829,0.007149385,-6.815000057,11.94999981,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1984,4,1984,7.183333333,42.3,27.04,N/A,N/A,N/A,N/A,N/A,N/A,0.000327365,9.52E-05,0.000422606,0.015316602,6.179999828,29.57999992,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1984,5,1984,11.03225806,83.6,27.04,N/A,N/A,N/A,N/A,N/A,N/A,0.047301586,0.022600763,0.069902348,0.044333886,10.05500031,59.93999863,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1984,6,1984,17.6,186.8,31.77,N/A,N/A,N/A,N/A,N/A,N/A,0.050095538,0.041646807,0.091742345,0.060944292,16.95000076,167.5899963,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1984,7,1984,19.17741935,72.3,3.64,N/A,N/A,N/A,N/A,N/A,N/A,0.028578106,0.02174123,0.050319337,0.034565943,19.09000015,50.27999878,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1984,8,1984,20.58064516,39.7,0,N/A,N/A,N/A,N/A,N/A,N/A,0.017163061,0.013254152,0.030417213,0.033474639,20.23999977,49.20000076,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1984,9,1984,10.05,55.9,0,N/A,N/A,N/A,N/A,N/A,N/A,0.008531308,0.00841996,0.016951267,0.015751901,10.22999954,57.70000076,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1984,10,1984,7.661290323,154.5,12.9,N/A,N/A,N/A,N/A,N/A,N/A,0.029801694,0.025078312,0.054880007,0.062330076,7.769999981,121.6399994,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1984,11,1985,-2.45,21.3,0.65,N/A,N/A,N/A,N/A,N/A,N/A,0.013985216,0.016789601,0.030774817,0.02536005,-2.980000019,17.60000038,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1984,12,1985,-13.19354839,44.7,0.08,N/A,N/A,N/A,N/A,N/A,N/A,0.006141351,0.014293821,0.020435172,0.023139419,-12.86499977,30.54999924,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1985,1,1985,-15.90322581,13.2,0,N/A,N/A,N/A,N/A,N/A,N/A,0.000664203,0.001917527,0.002581729,0.006175182,-15.72500038,10.61999989,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1985,2,1985,-12.98214286,18.9,0,N/A,N/A,N/A,N/A,N/A,N/A,0.001189415,0.011511639,0.012701054,0.006007459,-13.42000008,11.39999962,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1985,3,1985,-1.064516129,49.9,0.09,N/A,N/A,N/A,N/A,N/A,N/A,0.002494308,0.004087281,0.006581589,0.012407132,-1.215000033,30.18000031,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1985,4,1985,6.65,118.4,88.68,N/A,N/A,N/A,N/A,N/A,N/A,0.041189493,0.017406385,0.058595878,0.02942819,6.360000134,75.02999878,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1985,5,1985,13.98387097,179,66.52,N/A,N/A,N/A,N/A,N/A,N/A,0.038476853,0.039476601,0.077953454,0.065500749,13.24499989,130.4299927,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1985,6,1985,14.03333333,95.5,11.69,N/A,N/A,N/A,N/A,N/A,N/A,0.016774106,0.01991569,0.036689796,0.026263513,13.59000015,101.5400009,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1985,7,1985,17.90322581,86.5,7.63,N/A,N/A,N/A,N/A,N/A,N/A,0.017675291,0.018412905,0.036088195,0.040172682,18.45000076,90.95999908,N/A,N/A,N/A,N/A,N/A,N/A,N/A
