Water Year,CSMeanTempC,CSPrecipitationmm,Runoffmm,StrCamgL,StrTOCTCICmgL,StrNH4NmgL,StrNO3NO2NmgL,StrTPmgL,StrSO4SmgL,depNH4Nkgha,depNO3Nkgha,depTotNkgha,depSO4Skgha,NAMGridTempC,NAMGridPrecipitationmm,FWACamgL,FWATOCTCICmgL,FWANH4NmgL,FWANO3NO2NmgL,FWATPmgL,FWASO4SmgL,iNDVI
1984,3.927595628,798.2,107.6764,N/A,N/A,N/A,N/A,N/A,N/A,0.220296481,0.183815671,0.404112151,0.338182513,3.501250068,663.7999973,N/A,N/A,N/A,N/A,N/A,N/A,115.37605
1985,3.335616438,881.1,191.2131,N/A,N/A,N/A,N/A,N/A,N/A,0.191456804,0.192757615,0.38421442,0.333999397,3.195000023,745.1999903,N/A,N/A,N/A,N/A,N/A,N/A,108.1266
1986,3.047945205,819.3,119.9321,N/A,N/A,N/A,N/A,N/A,N/A,0.208723625,0.190323493,0.399047118,0.319228059,3.127083401,725.4799967,N/A,N/A,N/A,N/A,N/A,N/A,110.92465
1987,5.68630137,766.6,94.2204,N/A,N/A,N/A,N/A,N/A,N/A,0.208901084,0.183763274,0.392664358,0.292902713,5.542499942,604.2800016,N/A,N/A,N/A,N/A,N/A,N/A,106.0112
1988,4.692622951,909.1,148.0027,N/A,N/A,N/A,N/A,N/A,N/A,0.152676758,0.190962168,0.343638926,0.287179346,4.376249914,617.1599956,N/A,N/A,N/A,N/A,N/A,N/A,118.3878
1989,3.6,906.5,164.8608,1.558333333,N/A,0.038333333,0.013333333,0.017727273,0.33855,0.289964787,0.215850367,0.505815154,0.323651885,3.198749979,670.1600051,2.046541771,N/A,0.044676079,0.021020801,0.023440143,0.600015063,118.2267
1990,3.708219178,604.2,63.4196,2.371428571,N/A,0.017142857,0.016428571,0.01,0.4662,0.160668403,0.133244712,0.293913115,0.174524146,3.605000059,562.0800028,1.442087207,N/A,0.009498283,0.006889035,4.96E-03,0.300127619,119.80535
1991,4.638356164,659.7,43.3278,3.344444444,N/A,0.048333333,0.082222222,0.032777778,2.4605,0.16945984,0.158178133,0.327637973,0.23680529,4.451666752,656.72999,9.238860978,N/A,0.101367995,0.112977679,0.018621797,11.25153824,116.8886
1992,2.979508197,803.1,103.7093,3.014285714,49.95263158,0.093809524,0.3075,0.051047619,2.6307,0.202134293,0.17341993,0.375554223,0.255826581,3.575416605,597.1699991,3.807226417,70.77827892,0.068079564,0.169930457,0.065289093,0.859519553,109.00685
1993,1.728767123,810.5,116.8853,2.375,46.8,0.03875,N/A,0.03328125,N/A,0.172916412,0.164896129,0.337812541,0.222534471,2.968333224,701.5500031,2.579773981,50.71299053,0.027544367,N/A,0.022464856,N/A,107.5761
