Water Year,CSMeanTempC,CSPrecipitationmm,Runoffmm,StrCamgL,StrDOCmgL,StrNH4NmgL,StrNO3NmgL,StrTPmgL,StrSO4SmgL,depNH4Nkgha,depNO3Nkgha,depTotNkgha,depSO4Skgha,NAMGridTempC,NAMGridPrecipitationmm,FWACamgL,FWADOCmgL,FWANH4NmgL,FWANO3NmgL,FWATPmgL,FWASO4SmgL,iNDVI
1977,N/A,1286.758,210.1969398,2.1125,N/A,0.027375,0.0123625,N/A,2.295416667,N/A,N/A,N/A,N/A,N/A,N/A,0.875452364,N/A,0.003826588,0.003509903,N/A,1.973617211,N/A
1978,N/A,1298.658,170.0851107,2.582692308,N/A,0.049519231,0.029980769,N/A,2.418076923,N/A,N/A,N/A,N/A,N/A,N/A,2.307454393,N/A,0.035888088,0.02385502,N/A,2.808447495,N/A
1979,N/A,1502.212,313.7678913,3.190384615,N/A,0.134923077,0.009288462,N/A,2.439230769,N/A,N/A,N/A,N/A,N/A,N/A,3.237352129,N/A,0.034866203,0.008317552,N/A,2.604954438,N/A
1980,N/A,1404.77,347.7147029,2.423529412,N/A,0.07254902,0.01172549,N/A,1.605882353,N/A,N/A,N/A,N/A,N/A,N/A,1.993842815,N/A,0.031533407,0.010916642,N/A,1.640957969,N/A
1981,N/A,1142.436,59.78921942,3.067307692,N/A,0.058846154,0.018903846,N/A,2.623076923,N/A,N/A,N/A,N/A,17.16576602,1029.366101,2.10922584,N/A,0.029894745,0.018861416,N/A,2.147713361,N/A
1982,N/A,1593.886,N/A,2.756521739,N/A,0.031304348,0.011217391,N/A,1.66,N/A,N/A,N/A,N/A,17.51501551,1292.825704,N/A,N/A,N/A,N/A,N/A,N/A,148.6777
1983,N/A,1516.524,N/A,2.6,N/A,0.01,0.01425,N/A,1.3125,N/A,N/A,N/A,N/A,17.63715937,1284.714028,N/A,N/A,N/A,N/A,N/A,N/A,156.9766
1984,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17.41371143,1355.140977,N/A,N/A,N/A,N/A,N/A,N/A,161.7706
1985,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.076780869,0.141890931,0.2186718,0.50251758,18.09346527,959.8848117,N/A,N/A,N/A,N/A,N/A,N/A,184.0845
1986,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.053777297,0.126833946,0.180611244,0.349754494,18.88211582,1079.12447,N/A,N/A,N/A,N/A,N/A,N/A,157.9331
1987,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.080877207,0.211556076,0.292433284,0.556318259,18.15972559,1447.847146,N/A,N/A,N/A,N/A,N/A,N/A,162.2646
1988,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.04550903,0.163956882,0.209465912,0.474228356,17.19439305,1107.238773,N/A,N/A,N/A,N/A,N/A,N/A,177.0355
1989,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.120332202,0.237906175,0.358238377,0.662208966,17.96848084,1176.357726,N/A,N/A,N/A,N/A,N/A,N/A,127.5965
1990,N/A,N/A,145.6347495,2.983193548,N/A,0.02557377,0.010693548,N/A,0.350758065,0.117151763,0.191776783,0.308928547,0.523782003,18.77969106,970.1752605,N/A,N/A,N/A,N/A,N/A,N/A,169.6422
1991,N/A,N/A,616.4233165,2.444867647,N/A,0.025569231,0.004415385,N/A,0.285544118,0.136035081,0.267068133,0.403103214,0.777189177,19.16198973,1535.959677,1.906827929,N/A,0.017449268,0.004296788,N/A,0.233192042,166.6562
