Year,Month,WaterYear,WaterYearMonth,CSMeanTempC,CSPrecipitationmm,Runoffmm,StrCamgL,StrDOCmgL,StrNH4NmgL,StrNO3NmgL,StrTDPmgL,StrSO4SmgL,depNH4Nkgha,depNO3Nkgha,depTotNkgha,depSO4Skgha,N/AMGridTempC,N/AMGridPrecipitationmm,FWACamgL,FWADOCmgL,FWANH4NmgL,FWANO3NmgL,FWATDPmgL,FWASO4SmgL
1991,10,1992,199210,7.75,149.606,56.554,23.206,1.639,0.002,0.139,N/A,2.579,0.143,0.386,0.529,0.677,12.94,127.19,23.09,1.743,0.002,0.133,N/A,2.551
1991,11,1992,199211,0.645,57.658,41.245,22.05,0.972,0.006,0.242,N/A,2.877,0.132,0.198,0.33,0.264,4.04,60.72,21.927,0.978,0.006,0.244,N/A,2.865
1991,12,1992,199212,-7.562,91.44,46.865,20.922,0.531,0.004,0.263,N/A,2.511,0.128,0.42,0.548,0.345,-2.4,82.3,21.096,0.546,0.004,0.268,N/A,2.541
1992,1,1992,19921,-10.977,89.662,39.779,20.268,0.693,0.012,0.327,N/A,2.636,0.056,0.253,0.309,0.277,-5.49,73.41,19.899,0.741,0.012,0.33,N/A,2.599
1992,2,1992,19922,-9.606,97.536,22.765,23.308,0.617,0.008,0.332,N/A,2.917,0.086,0.418,0.504,0.317,-3.47,78.58,23.329,0.603,0.007,0.332,N/A,2.918
1992,3,1992,19923,-6.085,100.838,54.576,20.966,0.603,0.027,0.375,N/A,2.742,0.229,0.535,0.764,0.622,-0.2,100.76,20.127,0.662,0.028,0.403,N/A,2.66
1992,4,1992,19924,1.851,94.996,206.817,18.656,0.888,0.019,0.318,N/A,2.466,0.18,0.376,0.556,0.607,7.03,76.64,15.919,1.333,0.016,0.329,N/A,2.239
1992,5,1992,19925,11.539,58.928,96.796,20.236,0.89,0.015,0.143,N/A,2.556,0.245,0.146,0.391,0.285,18.2,42,18.706,1.05,0.021,0.162,N/A,2.472
1992,6,1992,19926,15.586,85.09,29.73,26.283,0.804,0.004,0.145,N/A,2.792,0.2,0.201,0.401,0.654,20.69,72,25.492,0.809,0.003,0.14,N/A,2.734
1992,7,1992,19927,15.777,154.432,19.38,26.7,1.261,0.014,0.137,N/A,2.757,0.238,0.404,0.642,0.928,21.27,116.04,26.408,1.295,0.013,0.139,N/A,2.693
1992,8,1992,19928,15.569,65.278,10.278,29.061,1.236,0.032,0.135,N/A,2.88,0.206,0.216,0.422,0.693,21.36,105.35,28.263,1.277,0.03,0.134,N/A,2.835
1992,9,1992,19929,11.85,123.444,12.524,28.455,1.14,0.024,0.11,N/A,3.093,0.044,0.086,0.13,0.548,18.56,106.2,28.465,1.123,0.022,0.105,N/A,3.109
1992,10,1993,199310,3.839,106.934,29.555,25.242,1.604,0.034,0.069,N/A,2.817,0.134,0.357,0.491,0.636,8.6,81.36,24.744,1.656,0.032,0.065,N/A,2.787
1992,11,1993,199311,-0.865,112.268,68.536,22.898,1.608,0.036,0.135,N/A,2.599,0.081,0.324,0.405,0.376,2.69,99.76,22.789,1.641,0.035,0.136,N/A,2.59
1992,12,1993,199312,-5.599,58.674,39.354,25.158,0.974,0.011,0.179,N/A,2.845,0.08,0.315,0.395,0.278,-1.29,53.81,25.002,1.016,0.012,0.173,N/A,2.805
1993,1,1993,19931,-9.064,102.616,28.339,22.67,1.041,0.006,0.248,N/A,2.982,0.059,0.47,0.529,0.318,-3.73,92.16,21.787,1.389,0.009,0.259,N/A,2.878
1993,2,1993,19932,-13.46,87.63,10.151,25.422,0.594,0.005,0.238,N/A,3.246,0.091,0.428,0.519,0.162,-7.29,72.98,25.362,0.59,0.005,0.237,N/A,3.246
1993,3,1993,19933,-4.783,93.218,31.874,24.532,0.761,0.003,0.291,N/A,3.097,0.125,0.503,0.628,0.39,2.02,86.06,19.409,1.394,0.002,0.393,N/A,2.484
1993,4,1993,19934,4.682,109.474,270.088,17.431,1.449,0.004,0.208,N/A,2.308,0.196,0.318,0.514,0.643,10.16,95.41,17.117,1.515,0.003,0.191,N/A,2.291
1993,5,1993,19935,11.043,76.454,67.569,21.813,1.341,0.004,0.075,N/A,2.554,0.36,0.443,0.803,0.849,16.83,61.08,21.417,1.319,0.004,0.073,N/A,2.541
1993,6,1993,19936,15.329,151.384,53.907,22.947,2.366,0.015,0.082,N/A,2.458,0.262,0.389,0.651,1.026,20.32,121.81,22.353,2.806,0.02,0.082,N/A,2.384
1993,7,1993,19937,18.799,81.026,11.29,30.202,1.468,0.005,0.118,N/A,2.891,0.086,0.182,0.268,0.678,23.9,118.58,29.622,1.494,0.006,0.115,N/A,2.861
1993,8,1993,19938,18.503,141.732,10.826,30.872,1.406,0.017,0.108,N/A,2.815,0.051,0.342,0.393,1.035,23.94,87.7,31.126,1.408,0.017,0.105,N/A,2.833
1993,9,1993,19939,12.21,155.702,33.164,28.349,1.829,0.021,0.095,N/A,2.74,0.194,0.49,0.684,1.394,17.16,124.86,28.128,1.908,0.021,0.095,N/A,2.713
1993,10,1994,199410,5.946,83.553,42.593,24.489,1.543,0.004,0.047,N/A,2.744,0.177,0.306,0.483,0.641,9.61,95.34,24.507,1.545,0.004,0.047,N/A,2.744
1993,11,1994,199411,0.596,83.6,52.241,21.776,1.34,0.008,0.093,N/A,2.893,0.19,0.501,0.691,0.391,4.25,76.72,21.753,1.348,0.008,0.094,N/A,2.889
1993,12,1994,199412,-6.156,88.935,47.855,21.268,1.141,0.006,0.15,N/A,2.88,0.177,0.415,0.592,0.244,-2.67,77.62,21.243,1.163,0.005,0.148,N/A,2.871
1994,1,1994,19941,-16.052,109.339,20.278,22.803,0.864,0.014,0.2,N/A,3.214,0.063,0.375,0.438,0.12,-9.82,98.21,22.768,0.868,0.014,0.198,N/A,3.194
1994,2,1994,19942,-11.72,38.322,15.507,21.213,0.829,0.005,0.271,N/A,3.562,0.036,0.214,0.25,0.068,-5.92,45.57,20.958,0.854,0.004,0.281,N/A,3.468
1994,3,1994,19943,-3.345,105.488,21.336,24.965,0.901,0.005,0.288,N/A,3.581,0.177,0.373,0.55,0.386,0.86,104.38,25.238,0.898,0.006,0.284,N/A,3.579
1994,4,1994,19944,4.041,139.036,291.349,18.447,1.689,0.002,0.242,N/A,2.572,0.516,0.546,1.062,1.12,9.04,123.66,16.743,1.883,0.002,0.22,N/A,2.405
1994,5,1994,19945,11.518,121.296,126.287,20.946,1.474,0.004,0.06,N/A,2.487,0.665,0.332,0.997,0.791,15.8,100.1,20.18,1.496,0.003,0.066,N/A,2.438
1994,6,1994,19946,17.408,96.256,45.592,21.024,1.928,0.009,0.055,N/A,2.529,0.645,0.421,1.066,1.338,22.86,116.91,20.56,1.913,0.008,0.041,N/A,2.532
1994,7,1994,19947,21.223,104.004,20.249,26.209,1.493,0.01,0.119,N/A,2.64,0.765,0.208,0.973,0.957,24.97,118.71,25.513,1.544,0.01,0.121,N/A,2.553
