Year,Month,WaterYear,CSMeanTempC,CSPrecipitationmm,Runoffmm,StrCamgL,StrDOCmgL,StrNH4NmgL,StrNO3NmgL,StrTDPmgL,StrSO4SmgL,depNH4Nkgha,depNO3Nkgha,depTotNkgha,depSO4Skgha,NAMGridTempC,NAMGridPrecipitationmm,FWACamgL,FWADOCmgL,FWANH4NmgL,FWANO3NmgL,FWATDPmgL,FWASO4SmgL
1981,1,1980,-9.274812038,26,8.845103858,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-11.88000011,59.81999969,N/A,N/A,N/A,N/A,N/A,N/A
1981,2,1980,-11.99181398,67.65,20.24118694,10.07,N/A,0.0411,0.875,0.0019,2.88,N/A,N/A,N/A,N/A,-13.73499966,90.30000305,12.27252545,N/A,0.050089453,1.066381307,0.002315571,3.509917903
1981,3,1980,-5.987997507,107.8,76.99086053,7.575,N/A,0.015133333,0.957666667,0.003566667,2.753333333,N/A,N/A,N/A,N/A,-7.28000021,64.84999847,7.641810503,N/A,0.016897767,0.873153598,0.002091661,2.692124621
1981,4,1980,4.032746971,71.9,113.0378635,6.049857143,N/A,0.011214286,0.850571429,0.003,2.490952381,N/A,N/A,N/A,N/A,2.619999886,100.0999985,6.628513709,N/A,0.012466343,0.921560578,0.003005291,2.732277714
1981,5,1980,11.48997003,79,45.22540059,8.28,N/A,0.006766667,0.559666667,0.000833333,2.792222222,N/A,N/A,N/A,N/A,10.17500019,53.63000107,9.683564894,N/A,0.008103066,0.662815148,0.001054496,3.253697684
1981,6,1981,13.23001029,337.1,105.141365,7.674,N/A,0.0217,0.7124,0.00118,2.548666667,N/A,N/A,N/A,N/A,11.31000042,159.9499969,6.716157939,N/A,0.01803686,0.683937363,0.001169625,2.292049841
1981,7,1981,17.47532107,10.4,22.02302671,10.5025,N/A,0.018,0.87825,0.0022,2.5475,N/A,N/A,N/A,N/A,15.42500019,27.30999947,10.31622735,N/A,0.020572501,0.980094649,0.002508403,2.564392361
1981,8,1981,18.12758065,107,2.140771513,12.25,N/A,0.1277,2.412,0.00135,2.495,N/A,N/A,N/A,N/A,16.60499954,87.11000061,12.60768897,N/A,0.130811118,1.604230305,0.001447319,2.487820236
1981,9,1981,10.78033333,55.35,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9.81000042,60.18000031,N/A,N/A,N/A,N/A,N/A,N/A
1981,10,1981,3.5614881,147,6.755608309,11.65333333,N/A,0.005,0.477666667,0.001233333,3.058888889,N/A,N/A,N/A,N/A,2.444999933,129.8200073,9.071462329,N/A,0.003901571,0.367595125,0.000980787,2.25796702
1981,11,1981,-0.634666667,58.1,10.56284866,11.1575,N/A,0.019825,0.484,0.0013,2.36,N/A,N/A,N/A,N/A,-2.599999905,61.27999878,13.08493055,N/A,0.026817654,0.570535242,0.001526311,2.749022483
1981,12,1981,-11.09709677,93,12.5241543,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-12.44499969,116.4100037,N/A,N/A,N/A,N/A,N/A,N/A
1982,1,1981,-12.69471495,112.9,28.76581602,N/A,N/A,N/A,N/A,N/A,N/A,0.056777778,0.198709677,0.255487455,0.186666667,-14.26500034,149.8800049,N/A,N/A,N/A,N/A,N/A,N/A
1982,2,1981,-6.460357143,60,25.57388724,N/A,N/A,N/A,N/A,N/A,N/A,0.432444444,0.569032258,1.001476703,0.61,-8.529999733,52.99000168,N/A,N/A,N/A,N/A,N/A,N/A
1982,3,1981,-2.349840625,98.85,37.89293769,9.315,N/A,0.02745,0.8225,0.0029,2.833333333,0.762222222,0.652580645,1.414802867,1.55,-3.839999914,74.86000061,5.569221236,N/A,0.017391658,0.517498172,1.87E-03,1.722299363
1982,4,1981,3.566972993,115.1,171.5181009,6.400714286,N/A,0.010835714,0.622642857,0.003828571,2.449047619,0.297888889,0.318387097,0.616275986,0.616666667,1.945000052,61.93999863,6.205733972,N/A,0.01045016,0.605548682,3.75E-03,2.398831013
1982,5,1981,10.03483871,35.9,105.3721068,6.998333333,N/A,0.00765,0.395,0.00215,2.532777778,0.401333333,0.381612903,0.782946237,0.866666667,7.880000114,51.81000137,6.139164496,N/A,0.00726897,0.349206443,1.97E-03,2.256223273
1982,6,1982,14.254,56.5,9.10148368,9.9975,N/A,0.005,0.36825,0.001925,3.224166667,1.390666667,1.149354839,2.540021505,3.216666667,12.32499981,62.20000076,10.22463992,N/A,0.005204922,0.374197467,2.07E-03,3.349347109
1982,7,1982,18.42822581,77.5,4.999406528,11.3,N/A,0.005,0.398,0.0034,3.333333333,0.135333333,0.110645161,0.245978495,0.366666667,15.97000027,91.02999878,8.614916508,N/A,0.00381191,0.303428033,0.002592099,2.541273306
1982,8,1982,18.01564516,98,1.153709199,12.37,N/A,0.0353,0.711,0.01395,2.928333333,0.346111111,0.219032258,0.565143369,0.846666667,15.96500015,102.9000015,15.90880035,N/A,0.043207803,0.887155081,0.016909141,3.836669493
1982,9,1982,10.99754527,164.1,30.76557864,11.3675,N/A,0.0216,0.422,0.005825,2.934166667,0.255111111,0.225806452,0.480917563,0.576666667,9.520000458,154.9199982,10.34137638,N/A,0.02563012,0.359963813,0.006334026,2.642616757
1982,10,1982,4.083250116,196.2,102.295549,8.7225,N/A,0.006425,0.25475,0.00145,2.748333333,0.266,0.388387097,0.654387097,1.023333333,2.734999895,121.6500015,10.74120409,N/A,0.007875611,0.292886929,0.001727119,3.281686217
1982,11,1982,1.108333333,128.25,99.09080119,7.478,N/A,0.005,0.397,0.00104,2.496,0.090222222,0.135483871,0.225706093,0.383333333,-0.75999999,112.3199997,8.457043926,N/A,0.005532923,0.420457984,0.001132925,2.791008951
1982,12,1982,-6.576129032,185,58.81353116,7.69,N/A,0.005,0.425,0.0004,2.576666667,0.135333333,0.408709677,0.544043011,0.366666667,-7.980000019,168.7400055,8.021422009,N/A,0.005280898,0.454107493,0.000422472,2.699961635
1983,1,1982,-15.46193548,62.15,37.34172107,N/A,N/A,N/A,N/A,N/A,N/A,0.073111111,0.343225806,0.416336918,0.456666667,-17.79000092,62.66999817,N/A,N/A,N/A,N/A,N/A,N/A
1983,2,1982,-10.65321429,48.1,14.31881306,N/A,N/A,N/A,N/A,N/A,N/A,0.218555556,0.401935484,0.620491039,0.37,-13.11499977,46.40999985,N/A,N/A,N/A,N/A,N/A,N/A
1983,3,1982,-4.879516129,62.85,69.77376855,7.838333333,N/A,0.012683333,1.0355,0.00324,2.345,0.388111111,0.476451613,0.864562724,0.763333333,-6.764999866,81.44999695,8.754346553,N/A,0.013180266,1.160978408,3.52E-03,2.621911006
1983,4,1982,0.313,104.95,148.5721068,6.621818182,N/A,0.013718182,0.894909091,0.002466667,2.148787879,0.481444444,0.365806452,0.847250896,0.94,-1.919999957,65.94999695,6.372936433,N/A,0.013794779,0.89292605,2.74E-03,2.105826238
1983,5,1982,13.69467742,147.25,86.52818991,6.952857143,N/A,0.006971429,0.585285714,0.002433333,2.184285714,0.391222222,0.413225806,0.804448029,1.01,11.10000038,140.75,7.246904011,N/A,7.46E-03,0.610271791,3.07E-03,2.28417314
1983,6,1983,12.37568699,40.8,48.84035608,8.41,N/A,0.01585,0.40325,0.00305,2.62,0.268333333,0.23483871,0.503172043,0.516666667,10.07499981,44.63999939,9.269350833,N/A,0.015609674,0.443774874,0.002961688,2.902432752
1983,7,1983,17.95451613,58,9.357863501,9.095,N/A,0.01715,0.459,0.0063,2.701666667,0.290888889,0.431290323,0.722179211,1.21,15.79500008,64.15000153,9.540958977,N/A,0.020202454,0.474049634,0.005429737,2.835460351
