WaterYear,CSMeanTempC,CSPrecipitationmm,Runoffmm,StrCamgL,StrDOCmgL,StrNH4NmgL,StrNO3NmgL,StrTDPmgL,StrSO4SmgL,depNH4Nkgha,depNO3Nkgha,depTotNkgha,depSO4Skgha,NAMGridTempC,NAMGridPrecipitationmm,FWACamgL,FWADOCmgL,FWANH4NmgL,FWANO3NmgL,FWATDPmgL,FWASO4SmgL,iNDVI
1981,3.628322415,1230.7,571.2199793,7.013888889,N/A,0.018055556,0.187583333,0.007952778,3.193240741,N/A,N/A,N/A,N/A,2.58374995,1050.18,13.72913748,N/A,0.040194076,0.458606796,0.01994788,6.112394982,N/A
1982,3.610323515,1330.85,634.6951115,5.944347826,N/A,0.014871739,0.107782609,0.009052778,2.207753623,4.171222222,4.638064516,8.809286738,10.32,1.688333243,1032.399986,9.12730611,N/A,0.02300515,0.20751036,0.010709824,3.35080128,112.48385
1983,4.336166072,1059.3,468.2270118,6.951190476,N/A,0.022671429,0.215166667,0.011165,3.101031746,3.363888889,4.213548387,7.577437276,9.333333333,3.054999923,1211.140003,15.448222,N/A,0.054458513,0.785301034,0.022148588,5.853584882,114.15185
1984,4.258437865,1331.9,742.6232471,5.649,N/A,0.02537,0.223266667,0.012370588,1.551,3.405111111,4.093870968,7.498982079,8.94,2.680000057,1026.919998,14.17421895,N/A,0.047808416,0.83564879,N/A,4.389994957,112.1293
1985,4.244937113,1125.7,554.6270118,5.7925,N/A,0.023591667,0.1935,0.010255,1.222777778,4.498666667,5.6,9.82544086,11.31333333,1.819999973,1272.019997,17.18412853,N/A,0.085913478,0.916794521,0.019361268,4.72038682,123.58595
1986,3.222511781,1233.9,554.3961306,N/A,N/A,N/A,N/A,N/A,N/A,3.535777778,4.078064516,7.613842294,8.436666667,2.632083317,1067.979984,N/A,N/A,N/A,N/A,N/A,N/A,117.37555
1987,5.372874153,1235.64,472.400518,6.394871795,N/A,0.019553846,0.181615385,0.00804375,2.219487179,3.885777778,3.883870968,7.769648746,7.49,4.092916717,969.5600014,14.029196,N/A,0.049394961,0.587565556,0.011349712,5.14414345,115.3143
1988,4.573629852,1522.68,613.5802729,6.147297297,4.661818182,0.022486486,0.118459459,0.008982353,2.142222222,4.113666667,3.5,6.845222222,5.593333333,2.541250013,1048.629993,8.692163816,7.858233036,0.032081494,0.153576766,0.00860373,3.234659287,115.4761
1989,3.970923905,1163.3,426.3697694,7.559714286,7.217941176,0.02835,0.184411765,0.007892857,3.804380952,4.553111111,5.367419355,9.920530466,7.573333333,1.425833422,1202.329979,10.70915991,11.76764901,0.044414924,0.365097654,0.009688104,4.258755537,117.70745
1990,4.265085956,1254.03,437.9138259,6.237297297,7.310540541,0.010745946,0.179216216,0.008435714,2.306846847,5.076555556,4.610967742,9.687523297,7.05,3.01000011,1002.230001,13.50345079,16.00659366,0.021153868,0.566548434,0.015169712,5.111891909,130.62675
1991,5.949582181,1293.37,502.1669647,6.37825,7.32125,0.0148125,0.1986,0.009386667,2.194700855,4.809,4.960967742,9.769967742,8.18,3.284583429,1117.789993,10.92631538,13.64382245,0.028358846,0.398953201,0.010698939,3.635855847,130.7457
1992,4.318414991,1342.17,581.3500235,5.895714286,7.043571429,0.010904762,0.131333333,0.009161538,1.224761905,4.632444444,4.933870968,9.566315412,7.463333333,1.692499893,993.2900009,8.424068065,10.50890965,0.016599583,0.25359087,0.01322628,2.160736186,105.27265
1993,3.411493916,1375.47,602.9500235,6.69,6.703428571,0.019742857,0.1948,0.011992308,1.091619048,4.188333333,4.85483871,9.043172043,8.236666667,1.682916582,1098.040007,11.10630414,10.34887276,0.043756889,0.471021043,0.016939799,2.342411784,117.1791
1994,3.436588401,1115,357.1064471,7.5352,6.443142857,0.018551429,0.142485714,0.009366667,1.352,4.450444444,4.755483871,9.205928315,5.94,2.062916728,1065.529987,9.658097888,7.019745621,0.025096732,0.195452678,0.010649595,1.751085532,116.1296
1995,5.878858984,1264.22,458.1131294,6.143153846,6.137372093,0.021553488,0.238976744,0.0075,2.657675214,3.235555556,3.732580645,6.968136201,5.58,2.397916613,996.899992,9.343743,9.920406346,0.026207207,0.348989287,0.008236987,3.792456462,105.08055
1996,3.731732071,1306.56,474.7527529,5.390128205,6.893179487,0.021335897,0.133102564,0.010964286,1.0236,4.289444444,4.936129032,9.225573477,6.243333333,1.523333251,1173.950001,11.92244901,13.78825636,0.034072598,0.524812056,0.01717672,2.961195445,117.8357
1997,4.384110525,820.17,232.6846535,9.935724138,7.867965517,0.012710345,0.327551724,0.0094,6.983612644,3.5,4.170645161,7.670645161,5.65,2.019166728,1158.490002,17.22744652,19.1597469,0.039214244,1.011962438,0.031159694,10.56971208,117.79485
1998,6.473842217,1107.57,480.1636626,6.502272727,10.03263636,0.013239394,0.235272727,0.009675,2.945340808,3.692111111,4.148064516,7.840175627,5.18,4.771666718,790.5799942,10.23933508,17.80035456,0.039737041,0.6484479,0.010480915,4.044726931,128.5689
1999,6.838402618,1180.17,389.6995025,5.46428125,9.863909091,0.010051515,0.144484848,0.010320833,1.751789293,4.102777778,4.267741935,8.370519713,6.036666667,3.7879167,1045.460007,7.83086053,13.07171003,0.0175054,0.279477195,0.016217596,2.660062332,121.7864
2000,6.480627451,1134.49,386.8015267,6.14072973,9.750567568,0.016013514,0.176621622,0.012967568,1.270608915,4.431,4.753225806,9.184225806,5.733333333,2.985000089,1015.399992,13.61134977,21.03781016,0.035957031,0.770181798,0.03185475,3.736454631,125.4394
2001,5.265426866,1315.928,568.6567171,6.937758621,7.646068966,0.008668966,0.205517241,0.00907,3.689729711,4.391333333,4.091612903,8.482946237,5.76,4.055416624,929.2400017,10.29031075,13.26289353,0.019967675,0.512649869,0.016846137,5.109313715,125.9709
2002,5.832032479,1088.9,346.9287927,5.8193,9.385933333,0.01342,0.252833333,0.01058,1.782639904,4.866555556,5.333548387,10.20010394,5.88,3.160416643,1307.009998,9.022886271,13.28626506,0.033407964,0.590673193,0.015853119,2.777948091,111.38135
2003,4.635885196,1301.37,499.3310079,5.420336111,8.579277778,0.019413889,0.128583333,0.00985,1.448177271,4.162666667,4.209032258,8.371698925,5.22,2.319166722,1012.529995,8.502845849,12.54157358,0.046530379,0.300881862,0.017177659,2.492625864,125.68015
2004,5.392961428,1043.26,320.0360433,6.003337143,8.205685714,0.011951429,0.135685714,0.009505714,1.625138537,4.470666667,4.678709677,9.149376344,6.09,2.430833286,1182.589981,10.1526959,14.30161494,0.03184002,0.386495855,0.018488633,2.805937578,115.65205
2005,5.353367018,960.29,232.0144641,7.913016667,9.521625,0.0125625,0.161845833,0.009091667,4.010036191,3.291555556,3.057419355,6.34897491,4.433333333,3.810416639,994.9999847,17.71975611,24.54918187,0.04293937,0.587261425,0.026926321,7.395722853,127.12005
2006,7.304270244,1074.72,336.2622567,7.527316667,10.83825,0.019761111,0.264722222,0.011941667,3.218036954,3.901333333,3.73483871,7.636172043,4.603333333,4.330416729,1023.48999,13.88342938,21.02990229,0.044127373,0.390148333,0.023356258,5.501228796,112.9891
2007,6.139852791,1304.88,449.2737263,6.075648718,11.0275641,0.010158974,0.330230769,0.010048718,1.871124164,3.223888889,3.29,6.242921147,4.02,3.640833378,956.2000046,15.19747708,25.76238649,0.02977748,1.329157023,0.026737041,4.318183384,125.0001
2008,5.141364361,1037.56,318.8506557,8.71781,12.8062,0.005975,0.312275,0.01019,3.61785459,4.616111111,3.901935484,8.518046595,5.346666667,2.468749896,1141.609997,15.6976461,23.25704182,0.009490192,7.00E-01,0.020611048,5.728527972,124.2454
2009,3.842995392,900.09,243.7663208,6.743135714,12.25264286,0.006928571,0.117071429,0.012047619,1.22161098,3.351444444,3.016774194,6.368218638,3.466666667,2.370000025,999.3199959,7.966573804,14.3694709,7.97E-03,0.163822126,1.40E-02,1.566766187,122.11215
2010,5.600861495,1228.01,494.5943945,6.548975,9.983458333,0.004383333,0.156416667,0.0094,1.016412648,2.031555556,1.580645161,3.612200717,2.083333333,4.567916727,853.9400053,9.157812222,13.39826416,7.08E-03,3.93E-01,0.013668615,1.626269444,132.16105
2011,4.580555876,1138.73,279.830787,7.723887027,10.58256757,0.006351351,0.174864865,0.009327027,2.524096134,3.243333333,2.477096774,5.720430108,3.18,3.586666505,1132.319996,9.469454901,13.91649073,0.01340194,0.413280835,0.014318688,2.475046806,105.3348
2012,6.710680695,856.52,N/A,N/A,14.29183333,0.006708333,0.0865,0.010833333,2.717337324,N/A,N/A,N/A,N/A,4.973333463,1045.550003,N/A,N/A,N/A,N/A,N/A,N/A,139.4818
2013,4.437635971,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.429166595,1212.32999,N/A,N/A,N/A,N/A,N/A,N/A,117.9587
2014,7.526898935,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.060833337,1284.920025,N/A,N/A,N/A,N/A,N/A,N/A,111.89235
