region,site,catchment,type,WaterYear,CSMeanTempC,CSPrecipitationmm,Runoffmm,StrCamgL,StrDOCmgL,StrNH4NmgL,StrNO3NmgL,StrTDPmgL,StrSO4SmgL,depNH4Nkgha,depNO3Nkgha,depTotNkgha,depSO4Skgha,NAMGridTempC,NAMGridPrecipitationmm,FWACamgL,FWADOCmgL,FWANH4NmgL,FWANO3NmgL,FWATDPmgL,FWASO4SmgL,iNDVI
EF,BBWM,WB,managed,1981,5.052893773,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.417500123,1293.09,NA,NA,NA,NA,NA,NA,NA
EF,BBWM,WB,managed,1982,4.625298837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.977916588,1275.079983,NA,NA,NA,NA,NA,NA,127.77495
EF,BBWM,WB,managed,1983,6.451648587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.77333323,1301.150024,NA,NA,NA,NA,NA,NA,130.7481
EF,BBWM,WB,managed,1984,5.461667735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.770000041,1597.579998,NA,NA,NA,NA,NA,NA,124.8114
EF,BBWM,WB,managed,1985,5.686815715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.70416674,958.1599998,NA,NA,NA,NA,NA,NA,118.49575
EF,BBWM,WB,managed,1986,5.632032338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.225416561,1242.899994,NA,NA,NA,NA,NA,NA,119.1449
EF,BBWM,WB,managed,1987,5.404361157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.435833166,1094.990007,NA,NA,NA,NA,NA,NA,120.8676
EF,BBWM,WB,managed,1988,5.412710267,1040.8,720.6977604,NA,NA,NA,NA,NA,NA,25.72,2.56,28.28,33.97,5.861666704,1043.749996,NA,NA,NA,NA,NA,NA,109.9728
EF,BBWM,WB,managed,1989,5.469816622,1437.8,997.3037468,0.475283542,0.531814685,0.001233227,0.022170854,NA,0.942727357,26.63,3.22,29.85,35.31,5.509583394,1289.179996,0.004473915,0.005006051,4.83689e-6,1.56523e-4,NA,0.008874034,132.4008
EF,BBWM,WB,managed,1990,5.185227646,1387,841.8364589,0.193950133,0.191990233,7.43456e-4,0.020833422,NA,0.417031356,26.57,3.02,29.59,34.9,5.365833307,1292.660007,0.002135417,0.002113838,2.72852e-6,1.91149e-4,NA,0.00459157,149.41575
EF,BBWM,WB,managed,1991,6.485799264,1359,1009.314095,0.217383909,0.182495745,0.001767588,0.049412403,NA,0.476770027,26.5,2.41,28.91,33.9,6.765833355,1452.160015,0.001812925,0.001521967,5.36044e-6,3.74624e-4,NA,0.003976137,140.6972
EF,BBWM,WB,managed,1992,4.884821045,1267,866.7468112,0.23446952,0.160880896,0.002524784,0.048433973,NA,0.506327294,26.4,2.3,28.7,33.6,5.21083343,1079.389999,0.002686226,0.00184315,9.64182e-6,5.08648e-4,NA,0.005800794,136.7901
EF,BBWM,WB,managed,1993,4.979612112,1102,790.6812712,0.208906858,0.131210918,0.006509085,0.054909959,NA,0.455621068,26.27,2.31,28.58,33.57,5.216666691,1069.459984,0.001869837,0.001174413,1.29467e-5,4.91476e-4,NA,0.004078072,139.0618
