WaterYear,CSMeanTempC,CSPrecipitationmm,Runoffmm,StrCamgL,StrDOCmgL,StrNH4NmgL,StrNO3NmgL,StrSO4SmgL,depNH4Nkgha,depNO3Nkgha,depTotNkgha,depSO4Skgha,NAMGridTempC,NAMGridPrecipitationmm,FWACamgL,FWADOCmgL,FWANH4NmgL,FWANO3NmgL,FWASO4SmgL,iNDVI
1981,5.115053092,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.4175,1293.0900,N/A,N/A,N/A,N/A,N/A,N/A
1982,4.68828151,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.9779,1275.0800,N/A,N/A,N/A,N/A,N/A,127.77495
1983,6.511114539,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.7733,1301.1500,N/A,N/A,N/A,N/A,N/A,130.7481
1984,5.523039941,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.7700,1597.5800,N/A,N/A,N/A,N/A,N/A,124.8114
1985,5.747754388,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.7042,958.1600,N/A,N/A,N/A,N/A,N/A,118.49575
1986,5.693076499,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.2254,1242.9000,N/A,N/A,N/A,N/A,N/A,119.1449
1987,5.46584371,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.4358,1094.9900,N/A,N/A,N/A,N/A,N/A,120.8676
1988,5.474176743,1041,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.17,5.8617,1043.7500,N/A,N/A,N/A,N/A,N/A,109.9728
1989,5.531173136,1438,951,1.3175,1.8302,0.0057,0.1836,2.6651,1.4300,3.2200,4.6500,6.5100,5.5096,1289.1800,1.6018,2.7860,0.0118,0.2678,3.3902,132.4008
1990,5.24713215,1387,825,1.3661,1.8201,0.0008,0.1441,3.2140,1.3700,3.0200,4.3900,6.1000,5.3658,1292.6600,1.4178,1.9994,0.0017,0.1883,3.5868,149.4158
1991,6.545199458,1359,961,1.2953,1.7918,0.0011,0.1376,2.9285,1.3000,2.4100,3.7100,5.1000,6.7658,1452.1600,1.4836,2.1461,0.0015,0.2112,3.3160,140.6972
1992,4.947303995,1267,786,1.4668,1.7534,0.0011,0.0554,3.2410,1.2000,2.3000,3.5000,4.8000,5.2108,1079.3900,1.5234,1.8616,0.0018,0.0730,3.3855,136.7901
1993,5.041912538,1102,748,1.3353,1.6025,0.0000,0.0318,2.9902,1.0700,2.3100,3.3800,4.7700,5.2167,1069.4600,1.4259,1.8829,0.0000,0.0468,3.2361,139.0618
1994,4.922615323,1370,922,1.2847,1.7321,0.0000,0.0301,2.9220,1.3400,2.5700,3.9100,4.8500,5.1788,1356.4200,1.3574,2.0166,0.0000,0.0258,3.1329,128.1218
1995,6.148002143,1094,592,1.1588,1.6498,0.0014,0.0273,2.5752,1.2500,2.3200,3.5700,3.6800,6.0996,1034.9000,1.4116,2.0769,0.0024,0.0331,3.1609,138.3685
1996,5.807721184,1757,1398,1.3601,2.0832,0.0034,0.0097,2.8783,1.5400,3.0700,4.6100,5.1600,5.4900,1561.9600,1.3247,2.2591,0.0050,0.0130,2.7741,128.2487
1997,5.440990123,1292,893,1.1924,1.8632,0.0000,0.0303,2.8721,1.6300,3.6100,5.2400,5.8300,5.5762,1184.7600,1.2382,2.1939,0.0000,0.0423,2.9664,143.6587
1998,5.71366947,1111,951,0.9029,2.0012,0.0000,0.0070,2.4705,1.2300,2.0100,3.2400,3.8800,6.5775,1218.9500,1.0174,2.6776,0.0000,0.0118,2.9025,156.3576
1999,6.473479108,1428,864,1.0001,1.7115,0.0031,0.0315,2.4481,1.8000,3.0300,4.8300,6.8800,7.3421,1288.1800,1.2221,2.0484,0.0097,0.0551,2.9590,135.8884
2000,5.201534259,1272,1010,0.9598,1.9334,0.0074,0.0162,2.3246,1.9500,3.2400,5.1900,5.8500,6.1879,1220.1900,1.1350,2.4613,0.0111,0.0222,2.8333,155.3387
