WaterYear,CSMeanTempC,CSPrecipitationmm,Runoffmm,StrCamgL,StrDOCmgL,StrNH4NmgL,StrNO3NmgL,StrSO4SmgL,depNH4Nkgha,depNO3Nkgha,depTotNkgha,depSO4Skgha,NAMGridTempC,NAMGridPrecipitationmm,FWACamgL,FWADOCmgL,FWANH4NmgL,FWANO3NmgL,FWASO4SmgL,iNDVI
1981,5.052893773,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.417500123,1293.09,N/A,N/A,N/A,N/A,N/A,N/A
1982,4.625298837,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.977916588,1275.079983,N/A,N/A,N/A,N/A,N/A,127.77495
1983,6.451648587,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.77333323,1301.150024,N/A,N/A,N/A,N/A,N/A,130.7481
1984,5.461667735,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.770000041,1597.579998,N/A,N/A,N/A,N/A,N/A,124.8114
1985,5.686815715,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.70416674,958.1599998,N/A,N/A,N/A,N/A,N/A,118.49575
1986,5.632032338,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.225416561,1242.899994,N/A,N/A,N/A,N/A,N/A,119.1449
1987,5.404361157,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.435833166,1094.990007,N/A,N/A,N/A,N/A,N/A,120.8676
1988,5.412710267,1040.8,1441.766072,N/A,N/A,N/A,N/A,N/A,25.72,2.56,28.28,33.97,5.861666704,1043.749996,N/A,N/A,N/A,N/A,N/A,109.9728
1989,5.469816622,1437.8,1001.307196,7.022868147,0.00204552,0.013641005,0.191089842,7.015056905,26.63,3.22,29.85,35.31,5.509583394,1289.179996,6.66987322,0.002687142,0.017684711,0.281284734,6.949206425,132.4008
1990,5.185227646,1387,856.0709459,7.509702548,0.001863265,0.008206674,0.225817041,8.081782546,26.57,3.02,29.59,34.9,5.365833307,1292.660007,7.31773119,0.001878758,0.00979902,0.282961482,8.070784051,149.41575
1991,6.485799264,1359,1036.003758,7.98845136,0.001705496,0.011980489,0.429773897,9.001486144,26.5,2.41,28.91,33.9,6.765833355,1452.160015,8.41064918,0.001695117,0.01429957,0.635416972,8.984505912,140.6972
1992,4.884821045,1267,822.708867,8.84780163,0.001469317,0.011399316,0.475662624,9.513047465,26.4,2.3,28.7,33.6,5.21083343,1079.389999,9.285291353,0.001497721,0.018815211,0.593792802,9.89486442,136.7901
1993,4.979612112,1102,789.7916157,8.501026105,0.001471539,0.012769092,0.475087239,9.888625723,26.27,2.31,28.58,33.57,5.216666691,1069.459984,N/A,N/A,0.045185577,0.686988707,10.76056393,139.0618
1994,4.860084742,1370,1035.336517,9.809795959,0.0018523,0.000351674,0.383282267,12.01557396,26.54,2.57,29.11,33.65,5.178750028,1356.419983,9.570631535,0.001785006,0.000252662,0.519682513,12.04202261,128.1218
1995,6.087835652,1094,631.6553615,7.965294718,0.001445225,0.009929235,0.508091855,9.398954586,26.45,2.32,28.77,32.48,6.099583298,1034.899986,9.64843375,0.001519221,0.020536813,0.820900784,11.32217792,138.36845
1996,5.746898202,1757,1239.734854,9.16889957,0.001582573,0.015990681,0.393154465,11.64747953,26.74,3.07,29.81,33.96,5.490000084,1561.960001,9.16440923,0.001662818,0.01405452,0.468392177,11.827748,128.2487
1997,5.379459622,1292,825.3778333,8.095529673,0.001552585,0.015703721,0.378403297,10.81078173,26.83,3.61,30.44,34.63,5.576249985,1184.760002,7.85107457,0.001614722,0.017611823,0.561157814,11.3641759,143.65865
1998,5.652665038,1111,1072.257218,7.756976822,0.001860501,0.008887867,0.505074361,11.04488464,26.43,2.01,28.44,32.68,6.577499955,1218.949982,7.445547729,0.001961914,0.008796687,0.54133104,11.62333972,156.3576
1999,6.413940547,1428,898.1071654,8.224555721,0.001769238,0.019209684,0.822713562,10.95662968,27,3.03,30.03,35.68,7.342083065,1288.179995,8.51242367,0.001743508,0.039611373,1.043344181,11.57295173,135.8884
2000,5.139541785,1272,925.9088978,9.99469534,0.003437833,0.017481452,0.43131563,14.57535265,27.15,3.24,30.39,34.65,6.187916766,1220.190006,7.574264325,0.002003461,0.023234358,0.637543717,11.57973871,155.33865
2001,5.139777307,977,457.0604816,8.559615316,0.002062062,0.005404625,0.347130161,11.06937966,26.13,1.77,27.9,32.23,6.007083396,896.0999908,N/A,N/A,0.007745113,0.579691585,11.9011926,156.69505
2002,6.019691565,1178.4,650.3381257,10.83023833,0.002395954,0.009618607,0.335192907,14.11811635,27.24,2.89,30.13,33.13,6.971249933,1082.379999,7.886872394,0.002083117,0.018317268,0.479227682,12.4880404,169.77055
2003,4.402493538,1233.4,787.3450633,8.426752142,0.002235797,0.009594183,0.151304964,12.4360003,26.06,1.63,27.69,31.64,5.068749825,1115.829998,7.094871113,0.002357253,0.006661856,0.220482783,11.84580001,145.56035
2004,4.840812022,1419.381818,1015.986511,7.80817946,0.001699929,0.002120435,0.202513322,12.28036453,25.94666667,1.985454545,27.93212122,32.68363636,5.620000174,1249.830008,7.230340523,0.000532489,0.000812338,0.182810147,11.7589578,167.25065
