WaterYear,CSMeanTempC,CSPrecipitationmm,Runoffmm,StrCamgL,StrDOCmgL,StrNH4NmgL,StrNO3NmgL,StrTDPmgL,StrSO4SmgL,depNH4Nkgha,depNO3Nkgha,depTotNkgha,depSO4Skgha,NAMGridTempC,NAMGridPrecipitationmm,FWACamgL,FWADOCmgL,FWANH4NmgL,FWANO3NmgL,FWATDPmgL,FWASO4SmgL,iNDVI
2003,13.21401826,1941.576,805.9183042,1.088054673,N/A,0.008939542,0.085277282,N/A,0.161768657,0.190553031,0.243758714,0.434311745,0.363610899,12.79088294,1801.903318,0.141399508,N/A,0.00097897,0.01456558,N/A,0.022262719,115.5933
2004,13.02693559,1972.818,1063.669334,0.994721058,N/A,0.004209728,0.11528388,N/A,0.155242602,0.23437928,0.285374669,0.519753949,0.443033586,12.46315699,1744.589132,0.141147354,N/A,0.000559464,0.018287895,N/A,0.022692685,127.3767
2005,13.2809938,2071.116,1012.895612,1.050631404,N/A,0.007323462,0.141947158,N/A,0.147393337,0.207322393,0.235536141,0.442858534,0.387617304,12.91602418,1981.618143,0.145732897,N/A,0.001079795,0.020942384,N/A,0.02094673,156.6607
2006,13.44950913,2040.636,1314.817418,1.019337846,0.264772188,0.008351846,0.184915454,0.44622,0.151024254,0.257776952,0.264915543,0.522692495,0.492694843,13.03722469,1569.65653,0.147346629,0.020601288,0.001243145,0.028155647,0.01369391,0.02304488,123.55025
2007,13.2424574,1562.1,703.9079924,1.139509135,0.536609615,0.00829425,0.131757218,N/A,0.15507738,0.196472877,0.197948136,0.394421013,0.421670001,12.72199854,1389.511078,0.165272651,0.086828027,0.001300349,0.01980939,N/A,0.023314776,134.1185
2008,13.54857302,1479.042,595.1435947,1.324618502,0.510528302,0.004018868,0.080596924,0.004549382,0.163265363,0.230515059,0.201799062,0.432314121,0.43317023,13.21891941,1328.595057,0.185772557,0.092108896,0.000609161,0.012765846,0.000417643,0.025147492,136.3008
2009,13.112507,1599.946,526.0252085,1.004489228,0.527086538,0.003711538,0.066987412,0.003234455,0.161470236,0.152432428,0.159335308,0.311767736,0.256496894,12.41898994,1386.93671,0.142041108,0.106109185,0.000658999,0.010942909,0.000447742,0.026104917,113.2726
2010,12.08981063,2434.59,1160.758137,0.927849577,0.44545,0.005,0.100325028,0.003522958,0.151973563,0.176793114,0.182840454,0.359633568,0.25099613,11.95129238,2186.175341,0.127715192,0.059812834,0.000626156,0.015336329,0.000366439,0.021983406,128.02325
2011,13.1018042,1817.624,1026.110949,1.044539125,0.617661538,0.004288462,0.075232811,0.002824745,0.155534394,0.204846574,0.188290794,0.393137368,0.242843728,13.01315665,1661.995282,0.137000753,0.086537393,0.000613638,0.00961942,0.000423796,0.021737243,116.9913
2012,13.80054502,1666.494,691.2688779,0.996547096,0.519176923,0.003211538,0.065558765,0.012315143,0.165628789,0.20500155,0.18585565,0.390857201,0.220325358,13.8986794,1372.148392,0.132918554,0.065486749,0.00045811,0.010165057,0.000266907,0.02198307,130.3204
2013,12.69743063,2151.888,1046.628256,0.919829792,0.7628,0.004490566,0.059063997,0.003158445,0.162802246,0.246673548,0.187644831,0.434318379,0.222091235,12.69723874,1823.509256,0.124681684,0.015438748,0.000604966,0.009891596,0.000104118,0.024069916,130.31755
2014,13.14925922,1995.424,1133.996843,0.892158608,0.463397368,0.002803922,0.066545891,0.002668421,0.14517946,0.140289649,0.139790771,0.28008042,0.149317972,11.95067816,1972.050786,0.119663319,0.035095043,0.000411331,0.010545613,0.000155182,0.020504502,128.84445
2015,12.93914383,1653.286,745.3676885,1.069782353,0.397190196,0.00327451,0.057658232,0.00205,0.156234257,0.146127751,0.154219202,0.300346954,0.143812431,12.41281775,1496.516836,0.163972295,0.085230207,0.000490356,0.008859149,0.000361997,0.02645982,127.3651
2016,13.93158268,2229.358,1022.417456,1.012373077,0.588384615,0.002307692,0.059634977,0.001863636,0.148656146,0.147464491,0.149495762,0.296960253,0.121840029,13.67846749,1829.458028,0.12966121,0.072080061,0.000316339,0.009523217,0.000205243,0.02062824,N/A
2017,14.64648948,1376.68,735.8741833,1.096521154,0.495194231,0.002211538,0.045878486,0.001704348,0.154832259,0.204993818,0.174399236,0.379393054,0.143679417,14.50156797,1190.02516,0.135601798,0.07153854,0.000264092,0.005218376,0.000157339,0.019796181,N/A
