WaterYear,CSMeanTempC,CSPrecipitationmm,Runoffmm,StrCamgL,StrDOCmgL,StrNH4NmgL,StrNO3NmgL,StrPO4PmgL,StrSO4SmgL,depNH4Nkgha,depNO3Nkgha,depTotNkgha,depSO4Skgha,NAMGridTempC,NAMGridPrecipitationmm,FWACamgL,FWADOCmgL,FWANH4NmgL,FWANO3NmgL,FWAPO4PmgL,FWASO4SmgL,iNDVI
1965,4.695846134,943.9,442.821,1.475833333,N/A,N/A,N/A,N/A,N/A,1.95543,6.500958,8.456388,29.42768,N/A,N/A,1.476132794,0,0,0,0,0,N/A
1966,4.803974654,1223.6,680.996,1.573333333,N/A,N/A,N/A,N/A,N/A,2.542894,16.877124,19.420018,41.06672,N/A,N/A,1.617768768,0,0,0,0,0,N/A
1967,5.084991039,1302.9,757.971,1.6,N/A,N/A,N/A,N/A,N/A,2.234975,18.668709,20.903684,39.93666,N/A,N/A,1.627615384,0,0,0,0,0,N/A
1968,5.471786553,1391.5,870.252,1.668333333,N/A,N/A,N/A,N/A,N/A,2.909217,22.121881,25.031098,43.623,N/A,N/A,1.665830093,0,0,0,0,0,N/A
1969,6.136911162,1244.4,852.497,1.620833333,N/A,N/A,N/A,N/A,N/A,3.072853,15.100508,18.173361,31.63161,N/A,N/A,1.6564678,0,0,0,0,0,N/A
1970,4.971319764,1276.1,834.632,2.014166667,N/A,0.030283917,0.931823735,N/A,1.926072371,3.043578,17.281757,20.325335,29.75564,N/A,N/A,2.167864855,0,0.002588693,0.079653026,0,0.164642182,N/A
1971,5.96453533,1226.8,730.811,1.9475,N/A,0.031125137,0.596988406,N/A,2.399523437,4.318555,23.816577,28.135132,38.82089,N/A,N/A,2.025607442,0,0.026145633,0.941534465,0,2.292887287,N/A
1972,6.065452354,1217.7,684.296,1.7925,N/A,0.007829816,0.360662847,0.000434842,2.356406565,2.751077,20.994276,23.745353,32.14677,N/A,N/A,1.871533123,0,0.007059117,0.681307433,3.13E-04,2.323871114,N/A
1973,5.457514081,1514.4,952.916,1.78,N/A,0.012747717,0.447124795,0.000543552,2.448481949,2.213671,21.751425,23.965096,38.00391,N/A,N/A,1.805162144,0,0.014890411,0.591483692,4.12E-04,2.351361226,N/A
1974,5.55859575,1856.6,1335.332,1.835,N/A,0.023618867,0.732940548,0.000597907,2.268781956,3.782148,30.646761,34.428909,53.21575,N/A,N/A,1.830038739,0,0.024428134,0.822105988,0.000617418,2.20021911,N/A
1975,6.033698157,1219.7,760.748,1.753333333,N/A,0.018700966,0.584244069,0.000706617,2.283525144,2.320341,19.716108,22.036449,35.41954,N/A,N/A,1.832065783,0,0.017382156,0.834002345,0.000742625,2.22950596,N/A
1976,5.727474972,1652.9,1188.641,1.716666667,N/A,0.012683008,0.676127537,0.000842505,2.253760594,2.241722,22.92333,25.165052,38.25056,N/A,N/A,1.722312902,0,0.012352845,0.810254394,8.36E-04,2.178472457,N/A
1977,4.980062724,1328.7,867.627,1.584166667,N/A,0.007247433,0.584921759,0.000733795,2.040401624,2.224808,23.382761,25.607569,31.2655,N/A,N/A,1.610366344,0,0.006942004,0.844855886,0.000742186,1.887497025,N/A
1978,4.965642601,1442.8,950.127,1.455,N/A,0.006406213,0.279358873,0.001195814,2.151114623,1.968576,23.251898,25.220474,37.54119,N/A,N/A,1.452614924,0,0.006758566,0.356607327,0.001279018,2.084942472,N/A
1979,5.422452637,1270,814.881,1.414166667,N/A,0.008929873,0.335004751,0.001032749,2.277961677,2.170476,21.537116,23.707592,32.58524,N/A,N/A,1.353566987,0,0.008179586,0.382238833,0.001243826,2.016843758,N/A
1980,5.95755778,1137.2,713.724,1.439166667,N/A,0.012359462,0.426530549,0.000869683,2.030387383,2.005893,19.128429,21.134322,25.84965,-1.538000107,792.9120117,1.478240622,0,0.013472132,0.62547175,0.001079814,1.954732221,N/A
1981,4.905664363,1254.9,752.7,1.426666667,N/A,0.015336086,0.395808603,0.000326131,2.12357546,2.596542,20.89413,23.490672,29.78972,3.947083314,1152.279994,1.447120699,0,0.015597027,0.561444049,0.000427325,2.078123458,N/A
1982,4.495289299,1500.9,1071.614,1.279166667,N/A,0.013783065,0.19223806,0.000652262,2.091863696,2.816781,21.030009,23.84679,33.29963,3.56916666,1276.739994,1.258650988,0,0.015371566,0.264293092,0.000939894,2.030399365,130.0298
1983,6.062557604,1317.3,807.463,1.1925,N/A,0.011388824,0.177065334,0.000951216,2.03678537,2.700246,18.270191,20.970437,29.40727,4.82250001,1317.889999,1.181283155,0,0.011380748,0.221610671,0.000949535,2.011521628,131.6334
1984,6.101992955,1527,1006.116,1.113333333,N/A,0.010418185,0.061481542,0.001114281,1.888797141,1.41001,13.905278,15.315288,19.29202,4.527083298,1518.709984,1.068234349,0,0.009811603,0.059339099,0.001313247,1.846959154,115.03425
