WaterYear,CSMeanTempC,CSPrecipitationmm,Runoffmm,StrCamgL,StrDOCmgL,StrNH3NmgL,StrNO3NmgL,StrTDPmgL,StrSO4SmgL,depNH3Nkgha,depNO3Nkgha,depTotNkgha,depSO4Skgha,NAMGridTempC,NAMGridPrecipitationmm,FWACamgL,FWADOCmgL,FWANH3NmgL,FWANO3NmgL,FWATDPmgL,FWASO4SmgL,iNDVI
1964,N/A,1966.7,948.8175254,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1965,N/A,2634.9,1246.089536,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1966,N/A,1718.3,680.4752037,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1967,N/A,1815.9,818.8960579,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1968,N/A,2124.4,716.0137611,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1969,N/A,2183.7,1206.245681,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1970,N/A,1994.4,888.4321625,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1971,N/A,2804.2,1302.042508,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1972,N/A,2792.2,1618.855164,2.64,N/A,0.005,0.001,0.036,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.109707655,N/A,0.000186045,2.29E-05,0.002021688,N/A,N/A
1973,N/A,1605.9,553.7310771,2.48,N/A,0.001,0.002,0.06,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.101633625,N/A,6.94E-05,0.000110831,0.00274282,N/A,N/A
1974,N/A,2889.5,1711.172803,2.93,N/A,N/A,N/A,0.044,N/A,N/A,21.0078,N/A,N/A,N/A,N/A,0.189354198,N/A,N/A,1.46E-05,0.002465264,N/A,N/A
1975,N/A,1951.2,1259.990402,2.92,N/A,N/A,0.051,0.042,N/A,N/A,7.353,N/A,N/A,N/A,N/A,0.101812233,N/A,N/A,0.001646506,0.001450871,N/A,N/A
1976,N/A,2367.4,1415.425916,3.72,N/A,N/A,0.009,0.04,N/A,N/A,13.1562,N/A,N/A,N/A,N/A,0.204707672,N/A,N/A,0.000436848,0.002424996,N/A,N/A
1977,N/A,1267,478.2374584,4.58,N/A,N/A,0.007,0.04,N/A,N/A,8.777333333,N/A,N/A,N/A,N/A,0.209674783,N/A,N/A,0.000339036,0.00189403,N/A,N/A
1978,N/A,2439.8,1277.561097,3.08,N/A,0.018,0.019,0.035,0.07,N/A,19.5156,N/A,N/A,N/A,N/A,0.380142258,N/A,N/A,0.000979532,0.005030392,N/A,N/A
