WaterYear,CSMeanTempC,CSPrecipitationmm,Runoffmm,StrCamgL,StrDOCmgL,StrNH4NmgL,StrNO3NmgL,StrPO4PmgL,StrSO4SmgL,depNH4Nkgha,depNO3Nkgha,depTotNkgha,depSO4Skgha,FWACamgL,FWADOCmgL,FWANH4NmgL,FWANO3NmgL,FWAPO4PmgL,FWASO4SmgL,iNDVI
1980,N/A,2904.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1981,N/A,4073.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1982,N/A,3730.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,265.7726
1983,N/A,3174.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,262.2486
1984,N/A,3276.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,220.9987
1985,N/A,4097.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.036555778,0.074941364,0.111497142,0.806288184,N/A,N/A,N/A,N/A,N/A,N/A,223.7592
1986,N/A,3561,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.026520734,0.087720034,0.114240768,0.777523092,N/A,N/A,N/A,N/A,N/A,N/A,224.9222
1987,N/A,4545,3245.182557,N/A,N/A,N/A,N/A,N/A,N/A,0.078119518,0.199284616,0.277404134,0.894552338,N/A,N/A,N/A,N/A,N/A,N/A,208.082
1988,N/A,3808,2764.6728,N/A,N/A,N/A,N/A,N/A,N/A,0.000133172,0.000368947,0.000502119,0.003227404,N/A,N/A,N/A,N/A,N/A,N/A,231.2346
1989,N/A,3230.5,3079.2271,6.9356,N/A,N/A,0.113167692,0.002,1.415333333,0.000452101,0.000771156,0.001223257,0.003477678,N/A,N/A,N/A,N/A,N/A,N/A,246.3969
1990,24.8,3806.74,3017.3048,8.589038462,0.0016725,N/A,0.153932692,0.004522222,1.04106383,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,286.5056
1991,24.14285714,2647.72,2325.61486,6.4825,0.001633333,N/A,0.0852732,0.00568675,1.158409091,8.80E-05,0.000425335,0.000513335,0.001719694,N/A,N/A,N/A,N/A,N/A,N/A,291.55
1992,23.38083333,3002.42,2900.7371,8.4688,0.00191,N/A,0.065379375,0.006207667,1.158431373,0.000264643,0.000770845,0.001035488,0.002969289,N/A,N/A,N/A,N/A,N/A,N/A,247.21025
1993,22.80444444,2611.89,2685.7253,8.029411765,N/A,N/A,0.051478611,0.004260333,1.150465116,0.000283743,0.000683255,0.000966998,0.002514852,N/A,N/A,N/A,N/A,N/A,N/A,249.3433
1994,23.81818182,1404.52,1678.10806,8.607307692,N/A,N/A,0.021288571,0.0085,1.154375,0.000242805,0.000503256,0.000746061,0.002042158,N/A,N/A,N/A,N/A,N/A,N/A,257.77785
1995,23.39583333,3532.38,2322.4295,9.2472,N/A,N/A,N/A,0.0044245,1.056818182,0.000413087,0.000665736,0.001078823,0.002508854,N/A,N/A,N/A,N/A,N/A,N/A,236.5594
1996,23.23333333,4576.25,2935.8859,8.20787234,N/A,N/A,0.149544167,0.004231463,1.229428571,0.000325382,0.000797079,0.001122461,0.003388108,N/A,N/A,N/A,N/A,N/A,N/A,246.6017
1997,23.64285714,3323.3,2434.6036,7.688979592,0.001722308,0.010232727,0.084477447,0.0064796,1.2025,0.000168089,0.000603317,0.000771406,0.002792383,N/A,N/A,N/A,N/A,N/A,N/A,246.9508
1998,23.9047619,5293.66,3646.5507,6.375660377,0.001265556,0.009678704,0.12671463,0.004514182,1.159444444,0.00028956,0.00095708,0.00124664,0.003736888,N/A,N/A,N/A,N/A,N/A,N/A,221.5252
1999,N/A,3986.64,3249.2045,7.0324,0.001381633,0.007277,0.139629592,0.006112,1.2736,0.000211685,0.000689071,0.000900756,0.002463538,N/A,N/A,N/A,N/A,N/A,N/A,244.657
2000,23.70473684,2828.69,2216.4339,6.723137255,0.001073846,0.005258235,0.080513137,0.011253333,1.154705882,0.000229475,0.000681173,0.000910648,0.002747997,N/A,N/A,N/A,N/A,N/A,N/A,253.64055
2001,23.845,3402.05,2630.8053,7.754716981,0.001256981,0.00549717,0.067443396,0.011012453,1.220754717,0.000224424,0.000655253,0.000879677,0.002422623,N/A,N/A,N/A,N/A,N/A,N/A,259.1244
2002,23.60823529,3125.83,2394.1001,7.08490566,0.001271132,0.007268302,0.076542308,0.010722453,1.202884615,0.000234788,0.000515304,0.000750092,0.002052821,N/A,N/A,N/A,N/A,N/A,N/A,265.2483
2003,23.46058824,4152.98,3247.4196,6.604313725,0.001269615,0.006247308,0.073321731,0.010995385,1.204615385,0.000356848,0.000794295,0.001151143,0.003282328,N/A,N/A,N/A,N/A,N/A,N/A,251.2707
2004,22.75788462,5211.34,3374.1475,6.480192308,0.0012325,0.006092115,0.063173269,0.005203529,1.127307692,0.000270166,0.000779079,0.001049245,0.003345391,N/A,N/A,N/A,N/A,N/A,N/A,257.8703
2005,23.18423077,3811.95,3184.1243,7.0225,0.001589231,0.006126154,0.064239615,0.006518077,1.125576923,0.000465816,0.001160256,0.001626072,0.005438965,N/A,N/A,N/A,N/A,N/A,N/A,255.3419
2006,22.81423077,3795.69,2753.15314,7.441923077,0.001171176,0.00496451,0.0599525,0.0047958,1.136730769,0.000343134,0.000747926,0.00109106,0.003597303,N/A,N/A,N/A,N/A,N/A,N/A,263.0761
2007,22.91470588,3329.54,1878.837501,7.4525,0.001232115,0.006776923,0.065594423,0.005370769,1.257692308,0.000232883,0.000542724,0.000775607,0.002219763,N/A,N/A,N/A,N/A,N/A,N/A,244.5361
