Year,Month,WaterYear,WaterYearMonth,CSMeanTempC,CSPrecipitationmm,Runoffmm,StrCamgL,StrDOCmgL,StrNH4NmgL,StrNO3NmgL,StrPO4PmgL,StrSO4SmgL,depNH4Nkgha,depNO3Nkgha,depTotNkgha,depSO4Skgha,FWACamgL,FWADOCmgL,FWANH4NmgL,FWANO3NmgL,FWAPO4PmgL,FWASO4SmgL
1983,1,1983,19831,19.89092757,189.4203945,N/A,1.76,N/A,0.0051,0.04,N/A,1.66,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1983,2,1983,19832,19.60165727,117.7241051,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1983,3,1983,19833,20.67975511,168.9559024,7.427353836,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1983,4,1983,19834,20.34192094,268.9496446,139.5179201,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1983,5,1983,19835,21.5812723,301.2694287,186.3191979,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1983,6,1983,19836,21.425,349.1139997,242.2391185,2.258333333,0.00526,0.018866667,0.05,N/A,0.821666667,N/A,N/A,N/A,N/A,4.56E-01,1.17E-03,8.67E-03,1.33E-02,N/A,1.82E-01
1983,7,1983,19837,21.3,456.0233289,356.0655532,2.1575,0.0019,0.0143,0.04225,N/A,0.9375,N/A,N/A,N/A,N/A,3.77E-01,6.60E-04,3.39E-03,8.10E-03,N/A,2.00E-01
1983,8,1983,19838,21.25,374.8004656,319.9131321,2.163333333,0.002102,0.025383333,0.0525,N/A,0.692,N/A,N/A,N/A,N/A,4.44E-01,4.33E-04,7.70E-03,1.57E-02,N/A,1.23E-01
1983,9,1983,19839,21.5,225.6213753,125.9070705,2.4675,0.002505,0.0102,0.052,N/A,1.23,N/A,N/A,N/A,N/A,3.11E-01,3.18E-04,1.33E-03,6.69E-03,N/A,7.97E-02
1983,10,1983,19840,21,333.4480782,160.5382263,2.324,0.00254,0.01104,0.0526,N/A,0.762,N/A,N/A,N/A,N/A,6.30E-01,9.41E-04,5.58E-03,1.22E-02,N/A,2.29E-01
1983,11,1983,19841,20.95,228.6557655,150.9632039,2.723333333,0.0015225,0.00425,0.07125,N/A,0.84,N/A,N/A,N/A,N/A,1.27E-01,1.08E-04,3.79E-04,4.17E-03,N/A,3.91E-02
1983,12,1983,19842,20.625,340.7165013,236.3330299,2.385,0.002255,0.0119,0.051,N/A,1.025,N/A,N/A,N/A,N/A,1.96E-01,1.88E-04,9.88E-04,4.04E-03,N/A,8.28E-02
1984,1,1984,19841,19.37142857,241.2872968,163.670243,2.437142857,0.001992857,0.006457143,0.05,N/A,1.16,N/A,N/A,N/A,N/A,4.58E-01,4.28E-04,1.26E-03,9.16E-03,N/A,5.53E-02
1984,2,1984,19842,20.05,284.4038645,218.9727089,2.405,0.0018225,0.006525,0.05025,N/A,0.53,N/A,N/A,N/A,N/A,3.43E-01,4.45E-04,2.13E-03,5.76E-03,N/A,2.09E-02
1984,3,1984,19843,20.325,135.7893119,64.26898223,3.0225,0.001055,0.0025,0.066,N/A,0.745,N/A,N/A,N/A,N/A,2.53E-01,8.55E-05,2.92E-04,5.55E-03,N/A,6.09E-02
1984,4,1984,19844,21.5,114.1957444,29.35147058,3.224,0.001122,0.00442,0.0714,N/A,0.746666667,N/A,N/A,N/A,N/A,3.74E-01,1.35E-04,5.55E-04,8.28E-03,N/A,4.85E-02
1984,5,1984,19845,21.5,342.4101144,261.9529263,1.905,0.002616667,0.00578,0.0262,N/A,1.12,N/A,N/A,N/A,N/A,2.70E-01,1.33E-03,1.04E-03,9.81E-03,N/A,5.59E-02
1984,6,1984,19846,22.5,284.4744317,176.4667683,1.763333333,0.002178,0.00916,0.03,N/A,0.654,N/A,N/A,N/A,N/A,2.63E-01,7.90E-04,1.04E-03,1.62E-03,N/A,8.33E-02
1984,7,1984,19847,22.75,288.4261957,170.739652,1.968,0.001966667,0.00936,0.029,N/A,1.12,N/A,N/A,N/A,N/A,1.88E-01,8.22E-05,7.42E-04,2.52E-03,N/A,1.11E-01
1984,8,1984,19848,22.775,276.006366,173.8716687,2.0875,0.001533333,0.005925,0.03525,N/A,0.896666667,N/A,N/A,N/A,N/A,1.95E-01,1.53E-04,6.16E-04,2.91E-03,N/A,4.84E-02
1984,9,1984,19849,22.06,298.6584417,173.6032102,1.93,0.00248,0.00584,0.0315,N/A,0.826666667,N/A,N/A,N/A,N/A,1.34E-01,5.94E-04,1.25E-03,2.17E-03,N/A,2.93E-02
1984,10,1984,198410,22.62,351.3015834,251.5456823,2.41,0.002212,0.008076,0.0358,N/A,0.5875,N/A,N/A,N/A,N/A,3.17E-01,3.17E-04,1.10E-03,4.83E-03,N/A,7.30E-02
1984,11,1984,198411,21.525,519.6043887,540.4071062,2.12,0.00244,0.010075,0.04245,N/A,0.995,N/A,N/A,N/A,N/A,3.49E-01,5.31E-04,2.12E-03,7.36E-03,N/A,1.08E-01
1984,12,1984,198412,20.4,290.4020777,234.2748475,2.32,0.00235,0.010375,0.05105,N/A,1.15,N/A,N/A,N/A,N/A,2.89E-01,2.85E-04,1.47E-03,5.91E-03,N/A,9.44E-02
1985,1,1985,19851,19.8,173.4016369,94.63164677,2.81,0.001946,0.02582,0.07154,N/A,0.933333333,N/A,N/A,N/A,N/A,3.99E-01,5.30E-04,2.98E-03,9.06E-03,N/A,1.39E-01
1985,2,1985,19852,19.875,290.1903761,146.9542225,2.6775,0.0028175,0.007825,0.06475,N/A,0.855,0.001049163,0.002136621,0.003185784,0.041946067,2.72E-01,3.41E-04,8.91E-04,5.28E-03,N/A,3.36E-02
1985,3,1985,19853,20.125,367.3203409,255.5725609,2.635,0.00576,0.01085,0.05825,N/A,0.675,0.007077681,0.026768301,0.033845982,0.118306561,1.01E-01,1.79E-04,3.91E-04,2.11E-03,N/A,1.21E-02
1985,4,1985,19854,20.4,214.1189194,125.9965566,2.186666667,0.002658,0.00522,0.0395,N/A,0.81,0.004852667,0.01186658,0.016719246,0.063091973,3.07E-01,8.89E-04,1.84E-03,1.44E-02,N/A,3.03E-01
1985,5,1985,19855,21.75,419.116676,310.284418,2.125,0.001276667,0.009125,0.0435,N/A,0.53,0.002809012,0.003120302,0.005929313,0.063453264,5.29E-01,3.23E-05,3.26E-03,1.05E-02,N/A,8.71E-03
1985,6,1985,19856,23,101.4230787,26.38947767,2.92,0.0010425,0.005525,0.0635,N/A,1.12,0.000623069,0.002356491,0.002979559,0.018958246,3.87E-01,1.50E-04,7.27E-04,8.49E-03,N/A,1.07E-01
1985,7,1985,19857,23.375,391.736597,151.7685796,2.418,0.001924,0.0025,0.0522,N/A,1.65,0.002951975,0.004036425,0.0069884,0.07830024,2.10E-01,2.20E-04,2.07E-04,4.50E-03,N/A,1.17E-01
1985,8,1985,19858,22.83333333,321.9456223,141.9072014,1.836666667,0.002656667,0.0062,0.04,N/A,1.175,0.002806465,0.004327349,0.007133813,0.086988159,5.19E-01,1.14E-03,3.35E-03,2.05E-02,N/A,8.14E-02
1985,9,1985,19859,22.66666667,431.5365057,255.0356438,2.142,0.0024425,0.01782,0.051,N/A,1.248,0.00419197,0.009475075,0.013667045,0.077629746,2.29E-01,3.31E-04,2.15E-03,7.24E-03,N/A,1.58E-01
1985,10,1985,198510,21.8,597.6517274,474.9032146,1.896,0.001578,0.01736,0.0412,N/A,0.716,0.002689451,0.001173657,0.003863108,0.021967596,1.23E-01,1.19E-04,1.14E-03,2.75E-03,N/A,5.37E-02
1985,11,1985,198511,21.125,470.2073389,346.0430998,1.46,0.002038333,0.0189,0.065,N/A,0.5525,0.002799166,0.002035894,0.00483506,0.091936357,3.05E-01,1.46E-03,2.23E-03,3.56E-02,N/A,2.98E-01
1985,12,1985,198512,20.2,227.52669,120.6273852,2.186,0.001244,0.012533333,0.0626,N/A,0.57,0.001658845,0.001399556,0.003058402,0.076519294,2.62E-01,1.64E-04,8.61E-04,7.47E-03,N/A,2.38E-02
1986,1,1986,19861,19.83333333,220.4699686,124.9227224,2.41,0.0007975,0.0218,0.08025,N/A,0.793333333,0.001887981,0.004723703,0.006611684,0.075563596,2.02E-01,6.90E-05,1.94E-03,6.59E-03,N/A,4.83E-02
1986,2,1986,19862,19.875,185.1863617,84.51075859,2.38,0.00152,0.00925,0.083333333,N/A,0.94,0.000975088,0.005106259,0.006081347,0.026947819,5.56E-01,9.05E-04,1.01E-03,3.41E-03,N/A,2.98E-01
1986,3,1986,19863,20,231.3373196,92.17972514,2.53,0.00168,0.02275,0.084,N/A,1.08,0.00168641,0.002894687,0.004581097,0.079240763,2.01E-01,1.41E-04,1.77E-03,6.80E-03,N/A,9.69E-02
1986,4,1986,19864,20.9,209.03808,137.6297614,2.43,0.001704,0.01366,0.060875,N/A,0.79,0.001161673,0.001520838,0.002682511,0.030263692,3.96E-01,4.95E-04,4.14E-03,5.41E-03,N/A,1.58E-01
1986,5,1986,19865,21.625,488.0608441,222.1942118,2.3225,0.001465,0.0182,0.05625,N/A,1.133333333,0.004200845,0.013076964,0.017277809,0.094450372,2.77E-01,3.45E-04,2.42E-03,1.10E-02,N/A,1.44E-01
1986,6,1986,19866,21.75,213.2015456,132.3500762,2.3125,0.0011825,0.01015,0.0665,N/A,0.875,0.001420004,0.007394845,0.008814849,0.067333376,3.64E-01,2.36E-04,1.50E-03,1.40E-02,N/A,1.26E-01
1986,7,1986,19867,22.6,293.4364679,157.7641544,2.676,0.001516,0.02246,0.0864,N/A,0.993333333,0.00121292,0.001199769,0.002412689,0.05709678,8.23E-01,5.12E-04,1.22E-02,3.12E-02,N/A,1.10E-01
1986,8,1986,19868,22.83333333,445.3676796,263.6263181,2.396666667,0.00174,0.024,0.06625,N/A,0.64,0.005037489,0.013776168,0.018813657,0.111961824,5.18E-02,8.67E-05,5.56E-04,3.22E-03,N/A,2.59E-02
1986,9,1986,19869,23,212.001903,62.77456285,2.56,0.00112,0.02,0.06725,N/A,0.63,0.000927956,0.004184521,0.005112478,0.031674766,2.95E-01,1.27E-04,2.65E-03,8.12E-03,N/A,6.27E-02
1986,10,1986,198610,22.5,377.3408853,221.6572946,2.295,0.0013975,0.01578,0.09025,N/A,1.02,0.003310858,0.019264467,0.022575325,0.078567862,2.00E-01,3.61E-04,7.35E-03,2.63E-02,N/A,1.04E-01
1986,11,1986,198611,21.375,483.3328407,424.5224892,1.956666667,0.002023333,0.017266667,0.09475,N/A,N/A,0.003075821,0.009932773,0.013008595,0.075502704,2.16E-01,2.15E-04,2.06E-03,1.27E-02,N/A,N/A
1986,12,1986,198612,20.3,268.737943,272.485451,2.086,0.00115,0.01605,0.0908,N/A,0.746666667,0.001623687,0.004645041,0.006268728,0.04891954,2.64E-01,1.35E-04,1.47E-03,1.14E-02,N/A,4.88E-02
1987,1,1987,19871,20,181.8697026,136.8243857,3.565,0.0006925,0.0223,0.11075,N/A,0.62,0.006282439,0.010800289,0.017082727,0.059712387,3.03E-01,6.29E-05,1.79E-03,9.62E-03,N/A,3.35E-02
1987,2,1987,19872,19.75,197.182788,101.9247713,2.4375,0.0012475,0.017,0.09925,N/A,0.85,0.007419521,0.0122972,0.019716721,0.053450572,1.42E-01,7.60E-05,9.42E-04,5.80E-03,N/A,1.42E-02
1987,3,1987,19873,20,278.8290546,163.3033496,2.252,0.002064,0.0025,0.111,N/A,N/A,0.004328054,0.008394365,0.012722419,0.035351803,4.63E-01,2.17E-03,1.16E-03,9.62E-02,N/A,N/A
1987,4,1987,19874,21.5,353.9831375,268.1901138,2.295,0.0018325,0.0163,0.08375,N/A,N/A,0.025734638,0.043862897,0.069597535,0.12303693,1.99E-01,3.37E-04,9.75E-04,1.11E-02,N/A,N/A
1987,5,1987,19875,22,458.6343158,375.3050842,1.83,0.002625,0.03915,0.136,N/A,N/A,0.009484444,0.030220862,0.039705306,0.115524694,2.80E-01,5.00E-04,3.99E-03,2.50E-02,N/A,N/A
1987,6,1987,19876,21.75,432.0304762,367.698758,2.124,0.002098,0.0265,0.0714,N/A,0.54,0.00512259,0.017088866,0.022211456,0.091170689,2.52E-01,2.47E-04,2.22E-03,9.30E-03,N/A,8.28E-03
1987,7,1987,19877,22,242.4163722,128.5916562,2.2525,0.00178,0.04775,0.1155,N/A,0.58,0.004047291,0.016222959,0.02027025,0.106231892,2.95E-01,2.42E-04,8.42E-03,1.43E-02,N/A,1.21E-02
1987,8,1987,19878,22.83333333,288.5673301,159.1064472,2.3275,N/A,0.02525,0.09175,N/A,0.235,0.001567921,0.017014512,0.018582433,0.06248406,3.08E-01,N/A,3.41E-03,1.35E-02,N/A,2.55E-02
1987,9,1987,19879,22.1,276.7120382,158.8379887,2.214,N/A,0.0244,0.1212,N/A,0.46,0.001755283,0.013379344,0.015134627,0.058480905,6.22E-01,N/A,6.34E-03,4.86E-02,N/A,5.70E-03
1987,10,1987,198710,22.75,273.3248119,131.3836253,2.2325,N/A,0.012,0.09975,N/A,0.92,0.002268062,0.005542691,0.007810753,0.03812387,1.31E-01,N/A,6.71E-04,5.85E-03,N/A,3.32E-02
1987,11,1987,198711,21.625,622.5619539,422.8222515,2.1075,N/A,0.0185,0.128,N/A,0.645,0.003599316,0.00785358,0.011452896,0.076438507,3.41E-01,N/A,2.92E-03,1.11E-02,N/A,1.32E-01
1987,12,1987,198712,20.75,715.7812436,598.6626164,1.735,N/A,0.01725,0.1025,N/A,0.643333333,N/A,N/A,N/A,N/A,1.17E-01,N/A,1.35E-03,7.94E-03,N/A,3.21E-02
1988,1,1988,19881,20,324.5566093,298.6154187,2.0875,N/A,0.015625,0.115,N/A,0.57,N/A,N/A,N/A,N/A,1.54E-01,N/A,1.34E-03,8.61E-03,N/A,2.86E-02
1988,2,1988,19882,19.75,351.513285,311.7698887,1.915,N/A,0.043025,0.119,N/A,0.62,N/A,N/A,N/A,N/A,3.07E-01,N/A,1.41E-02,1.67E-02,N/A,2.46E-02
1988,3,1988,19883,19.4,267.750002,146.7484043,2.044,N/A,0.0204,0.154,N/A,0.545,4.86E-05,0.000218025,0.000266635,0.002190754,3.21E-01,N/A,5.54E-03,2.37E-02,N/A,9.83E-02
1988,4,1988,19884,21,241.4989984,92.23341686,2.1375,N/A,0.022,0.1055,N/A,0.693333333,0.000105306,0.000351226,0.000456533,0.001510108,7.06E-01,N/A,1.03E-02,4.20E-02,N/A,2.54E-01
1988,5,1988,19885,22.16666667,245.4507624,129.7549767,1.608,N/A,0.07958,0.0908,N/A,0.596,5.03E-05,0.000271422,0.000321747,0.001397932,7.17E-01,N/A,2.08E-02,3.44E-02,N/A,2.25E-01
1988,6,1988,19886,22.75,222.7281195,86.74791336,1.81,N/A,0.1005,0.115,N/A,0.69,3.13E-05,1.46E-05,4.58E-05,0.000794842,3.75E-01,N/A,9.76E-03,5.81E-04,N/A,1.94E-01
1988,7,1988,19887,22.66666667,405.3560693,237.6753228,1.7275,N/A,0.02148,0.05862,N/A,0.64,7.86E-05,5.26E-05,0.000131259,0.002751869,1.74E-01,N/A,9.70E-04,2.10E-03,N/A,1.62E-02
1988,8,1988,19888,22.5,506.3377525,402.3299138,1.82,N/A,0.014125,0.076365,N/A,0.49,0.000112901,0.000433568,0.000546468,0.002688881,9.44E-02,N/A,5.42E-04,2.62E-03,N/A,4.47E-03
1988,9,1988,19889,22.5,335.6356619,246.1765109,1.8,N/A,0.00524,0.091715,N/A,0.533333333,0.000121307,0.000137015,0.000258322,0.00200316,2.25E-01,N/A,9.73E-04,1.13E-02,N/A,7.14E-02
1988,10,1988,198810,21,290.9666154,124.1531411,1.873333333,N/A,0.060716667,0.1019675,N/A,0.545,6.28E-05,0.00022726,0.000290066,0.0011762,1.67E-01,N/A,5.39E-03,1.27E-02,N/A,7.11E-02
1988,11,1988,198811,20.6,317.4998879,164.3324408,2.23,N/A,N/A,0.093012,N/A,0.516,5.72E-05,0.000106419,0.000163574,0.001294877,1.02E-01,N/A,N/A,4.30E-03,N/A,2.28E-02
1988,12,1988,198812,19.5,292.5190941,153.4330227,2.3125,N/A,N/A,0.100755,N/A,0.5175,5.07E-05,0.000179833,0.0002305,0.001616191,9.79E-02,N/A,N/A,4.38E-03,N/A,1.72E-02
1989,1,1989,19891,19.26,264.0099397,167.1602044,2.248,N/A,N/A,0.090202,N/A,0.394,4.24E-05,0.000286429,0.000328866,0.00158171,4.27E-01,N/A,N/A,1.75E-02,N/A,7.17E-02
1989,2,1989,19892,18.75,379.4579017,232.8430685,2.805,0.00099,N/A,0.105365,N/A,0.4375,0.000158161,0.000425626,0.000583787,0.002651735,1.26E-01,3.76E-05,N/A,5.24E-03,N/A,2.56E-02
1989,3,1989,19893,18.875,289.1318678,141.1555174,2.3275,0.00126,N/A,0.08163,N/A,0.455,0.000186975,0.000656786,0.00084376,0.002953225,2.35E-01,4.63E-05,N/A,5.41E-03,N/A,4.20E-02
