WaterYear,CSMeanTempC,CSPrecipitationmm,Runoffmm,StrCamgL,StrDOCmgL,StrNH4NmgL,StrNO3NmgL,StrPO4PmgL,StrSO4SmgL,depNH4Nkgha,depNO3Nkgha,depTotNkgha,depSO4Skgha,FWACamgL,FWADOCmgL,FWANH4NmgL,FWANO3NmgL,FWAPO4PmgL,FWASO4SmgL,iNDVI
1984,21.09482759,N/A,245912.5266,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,220.9987
1985,21.35208333,N/A,245011.4007,N/A,N/A,N/A,N/A,N/A,N/A,0.036555778,0.074941364,0.111497142,0.806288184,N/A,N/A,N/A,N/A,N/A,N/A,223.7592
1986,21.37755102,N/A,219661.7526,2.370212766,0.001437872,0.01741875,0.077581633,N/A,0.872820513,0.026520734,0.087720034,0.114240768,0.777523092,N/A,N/A,N/A,N/A,N/A,N/A,224.9222
1987,21.37755102,N/A,301265.1048,2.276078431,0.001784138,0.02205,0.10518,N/A,0.633888889,0.078119518,0.199284616,0.277404134,0.894552338,N/A,N/A,N/A,N/A,N/A,N/A,208.082
1988,21.07954545,N/A,239397.0371,1.9494,N/A,0.039558125,0.10584093,N/A,0.57875,0.000862801,0.002390341,0.003253142,0.020909778,N/A,N/A,N/A,N/A,N/A,N/A,231.2346
1989,20.48478261,N/A,218008.9426,2.346470588,0.00108,N/A,0.101634082,0.002,0.581428571,0.002929083,0.004996186,0.007925269,0.022531256,N/A,N/A,N/A,N/A,N/A,N/A,246.3969
1990,21.39423077,N/A,242832.4119,2.38137931,0.002848125,N/A,0.224168148,0.004381087,0.717115385,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,286.5056
1991,21.18,N/A,153679.1098,2.428461538,0.00678,N/A,0.120951633,0.002765476,0.95275,0.000570317,0.002755669,0.003325986,0.011141591,N/A,N/A,N/A,N/A,N/A,N/A,291.55
1992,21.48,N/A,214743.5915,2.460384615,0.002375,N/A,0.097480417,0.004441333,0.667647059,0.001714576,0.004994171,0.006708747,0.019237496,N/A,N/A,N/A,N/A,N/A,N/A,247.21025
1993,20.90769231,2991.79847,161327.9419,2.378653846,N/A,N/A,0.101792895,0.002864375,0.526222222,0.001838319,0.004426688,0.006265007,0.016293282,N/A,N/A,N/A,N/A,N/A,N/A,249.3433
1994,20.88235294,2124.452034,137250.9366,2.459607843,N/A,N/A,0.096526071,0.002632857,0.645102041,0.001573092,0.003260504,0.004833596,0.01323078,N/A,N/A,N/A,N/A,N/A,N/A,257.77785
1995,21.33333333,2982.344113,N/A,2.582857143,N/A,N/A,0.12109,0.0028815,0.574883721,0.002676318,0.004313184,0.006989502,0.016254418,N/A,N/A,N/A,N/A,N/A,N/A,236.5594
1996,21.88235294,3990.962252,N/A,2.4282,N/A,N/A,0.115740909,0.002544091,0.600263158,0.002108093,0.005164135,0.007272228,0.021950951,N/A,N/A,N/A,N/A,N/A,N/A,246.6017
1997,21.59803922,4166.245238,N/A,2.458541667,0.001035,N/A,0.098249574,0.002668125,0.80875,0.00108902,0.003908781,0.004997801,0.018091351,N/A,N/A,N/A,N/A,N/A,N/A,246.9508
1998,21.76041667,7811.169885,N/A,2.039166667,0.001528478,0.006850217,0.094367391,0.003431875,0.618723404,0.001876009,0.006200751,0.00807676,0.024210632,N/A,N/A,N/A,N/A,N/A,N/A,221.5252
1999,21.36,5522.591442,N/A,2.48,0.001608611,0.011515278,0.162382647,0.003906944,0.783783784,0.001371469,0.004464368,0.005835837,0.015960825,N/A,N/A,N/A,N/A,N/A,N/A,244.657
2000,20.70816327,2183,N/A,2.566530612,0.001495625,0.003527292,0.123544082,0.004678125,0.565714286,0.00148673,0.004413202,0.005899932,0.017803781,N/A,N/A,N/A,N/A,N/A,N/A,253.64055
2001,19.97857143,2929.041609,N/A,2.575294118,0.001803137,0.003238431,0.089666667,0.003197255,0.556078431,0.001454001,0.004245269,0.00569927,0.015695745,N/A,N/A,N/A,N/A,N/A,N/A,259.1244
2002,21.44807692,1602.035425,N/A,2.386415094,0.002008491,0.004901698,0.092885283,0.004134528,0.571509434,0.001521152,0.00333856,0.004859712,0.013299861,N/A,N/A,N/A,N/A,N/A,N/A,265.2483
2003,21.39230769,4012.68,N/A,2.269615385,0.002016538,0.005913269,0.081275,0.004653269,0.530192308,0.002311952,0.005146097,0.007458049,0.021265617,N/A,N/A,N/A,N/A,N/A,N/A,251.2707
2004,20.91730769,3960.53,N/A,2.660384615,0.001828654,0.003857885,0.071653846,0.003457647,0.561538462,0.001750356,0.005047513,0.006797869,0.021674192,N/A,N/A,N/A,N/A,N/A,N/A,257.8703
2005,21.76923077,3716.7,N/A,2.417115385,0.001993654,0.005799231,0.0778425,0.002963462,0.559807692,0.003017936,0.007517092,0.010535028,0.035238084,N/A,N/A,N/A,N/A,N/A,N/A,255.3419
2006,21.8,3283.485471,N/A,2.729807692,0.001626667,0.0048784,0.068953269,0.0020732,0.550769231,0.002223101,0.004845678,0.007068779,0.023306284,N/A,N/A,N/A,N/A,N/A,N/A,263.0761
2007,21.98653846,3220.14,N/A,2.833076923,0.001619231,0.005480192,0.06501,0.002234615,0.595192308,0.001508811,0.003516212,0.005025023,0.014381449,N/A,N/A,N/A,N/A,N/A,N/A,244.5361
2008,21.80192308,3933.591875,N/A,2.776470588,0.001933922,0.007443,0.063506471,0.0024962,0.545882353,0.001488824,0.003951297,0.005440121,0.016870799,N/A,N/A,N/A,N/A,N/A,N/A,246.4293
2009,21.97692308,3662.895238,N/A,2.695769231,0.001825385,0.006277692,0.065315577,0.002709423,0.556730769,0.000961715,0.003831045,0.00479276,0.017071497,N/A,N/A,N/A,N/A,N/A,N/A,241.3625
2010,23.1372549,5702.377778,N/A,2.6852,0.002005294,0.010461176,0.0633164,0.0024966,0.5402,0.002725142,0.005994229,0.008719371,0.022903273,N/A,N/A,N/A,N/A,N/A,N/A,242.4033
2011,21.07254902,4642.93285,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.001842454,0.004730617,0.006573071,0.019764174,N/A,N/A,N/A,N/A,N/A,N/A,249.3443
2012,21.97115385,3993.047619,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.001765555,0.004631814,0.006397369,0.019583279,N/A,N/A,N/A,N/A,N/A,N/A,234.7026
2013,22.40961538,3664.009711,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.002841564,0.005761915,0.008603479,0.023907549,N/A,N/A,N/A,N/A,N/A,N/A,234.363
2014,22.11568627,2026.486667,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.001265158,0.003069478,0.004334636,0.011752664,N/A,N/A,N/A,N/A,N/A,N/A,238.2413
