WaterYear,CSMeanTempC,CSPrecipitationmm,Runoffmm,StrCamgL,StrDOCmgL,StrNH4NmgL,StrNO3NmgL,StrPO4PmgL,StrSO4SmgL,depNH4Nkgha,depNO3Nkgha,depTotNkgha,depSO4Skgha,FWACamgL,FWADOCmgL,FWANH4NmgL,FWANO3NmgL,FWAPO4PmgL,FWASO4SmgL,iNDVI
1980,N/A,2904.3,11180.51087,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1981,N/A,4073.7,15952.69373,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1982,N/A,3730.2,13727.79269,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,265.7726
1983,20.61333333,3174.4,12258.54996,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,262.2486
1984,19.58666667,3276.8,13590.98287,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,220.9987
1985,19.75849057,4097.6,14889.14367,N/A,N/A,N/A,N/A,N/A,N/A,0.036555778,0.074941364,0.111497142,0.806288184,N/A,N/A,N/A,N/A,N/A,N/A,223.7592
1986,20.10576923,3561,11899.38935,3.285625,0.001121373,0.021012,0.06772549,N/A,0.705,0.026520734,0.087720034,0.114240768,0.777523092,N/A,N/A,N/A,N/A,N/A,N/A,224.9222
1987,20.09756098,4545,14513.54359,3.045897436,0.001562143,0.0394525,0.0854125,N/A,1.073333333,0.078119518,0.199284616,0.277404134,0.894552338,N/A,N/A,N/A,N/A,N/A,N/A,208.082
1988,N/A,3808,14393.17324,N/A,N/A,N/A,N/A,N/A,N/A,2.69E-05,7.44E-05,0.0001013,0.000651072,N/A,N/A,N/A,N/A,N/A,N/A,231.2346
1989,N/A,3230.5,15457.55921,N/A,N/A,N/A,N/A,N/A,N/A,9.12E-05,0.000155567,0.000246767,0.000701561,N/A,N/A,N/A,N/A,N/A,N/A,246.3969
1990,N/A,3806.74,15057.71788,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,286.5056
1991,N/A,2647.72,11490.35307,N/A,N/A,N/A,N/A,N/A,N/A,1.78E-05,8.58E-05,0.0001036,0.000346918,N/A,N/A,N/A,N/A,N/A,N/A,291.55
1992,N/A,3002.42,13665.65707,N/A,N/A,N/A,N/A,N/A,N/A,5.34E-05,0.000155505,0.000208905,0.000599002,N/A,N/A,N/A,N/A,N/A,N/A,247.21025
1993,N/A,2611.89,10853.11466,N/A,N/A,N/A,N/A,N/A,N/A,5.72E-05,0.000137835,0.000195035,0.000507327,N/A,N/A,N/A,N/A,N/A,N/A,249.3433
1994,N/A,1404.52,7785.06389,N/A,N/A,N/A,N/A,N/A,N/A,4.90E-05,0.000101523,0.000150523,0.00041197,N/A,N/A,N/A,N/A,N/A,N/A,257.77785
1995,N/A,3532.38,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8.33E-05,0.000134301,0.000217601,0.000506117,N/A,N/A,N/A,N/A,N/A,N/A,236.5594
1996,N/A,4576.25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.56E-05,0.000160797,0.000226397,0.000683491,N/A,N/A,N/A,N/A,N/A,N/A,246.6017
1997,N/A,3323.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.39E-05,0.000121709,0.000155609,0.000563314,N/A,N/A,N/A,N/A,N/A,N/A,246.9508
1998,N/A,5293.66,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.84E-05,0.000193074,0.000251474,0.000753852,N/A,N/A,N/A,N/A,N/A,N/A,221.5252
1999,N/A,3986.64,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.27E-05,0.000139008,0.000181708,0.000496976,N/A,N/A,N/A,N/A,N/A,N/A,244.657
2000,21.07652174,2828.69,N/A,3.407959184,0.001200612,0.007953673,0.175565417,0.006594898,0.42625,4.63E-05,0.000137415,0.000183715,0.00055436,N/A,N/A,N/A,N/A,N/A,N/A,253.64055
2001,19.92682927,3402.05,N/A,3.599259259,0.001333148,0.007842593,0.1444,0.005163704,0.411090909,4.53E-05,0.000132186,0.000177486,0.000488722,N/A,N/A,N/A,N/A,N/A,N/A,259.1244
2002,21.12115385,3125.83,N/A,3.523396226,0.00140283,0.007950566,0.139238846,0.00587283,0.442307692,4.74E-05,0.000103953,0.000151353,0.000414121,N/A,N/A,N/A,N/A,N/A,N/A,265.2483
2003,21.2106383,4152.98,N/A,3.33106383,0.001284792,0.011577609,0.121014468,0.006195319,0.429166667,7.20E-05,0.000160235,0.000232235,0.000662152,N/A,N/A,N/A,N/A,N/A,N/A,251.2707
2004,21.06304348,5211.34,N/A,3.519347826,0.001176957,0.006825455,0.12072413,0.003188478,0.483043478,5.45E-05,0.000157165,0.000211665,0.000674874,N/A,N/A,N/A,N/A,N/A,N/A,257.8703
2005,21.73061224,3811.95,N/A,3.555918367,0.001082041,0.006792449,0.112732653,0.003012449,0.426734694,9.40E-05,0.000234061,0.000328061,0.001097216,N/A,N/A,N/A,N/A,N/A,N/A,255.3419
2006,21.73461538,3795.69,N/A,3.749230769,0.001002549,0.005187755,0.118265962,0.002250784,0.469230769,6.92E-05,0.000150881,0.000220081,0.000725693,N/A,N/A,N/A,N/A,N/A,N/A,263.0761
2007,21.59607843,3329.54,N/A,3.970196078,0.001110196,0.008468431,0.110376863,0.002202353,0.470980392,4.70E-05,0.000109485,0.000156485,0.000447798,N/A,N/A,N/A,N/A,N/A,N/A,244.5361
2008,21.509375,3436.31,N/A,4.178,0.001077419,0.008578387,0.092028387,0.003340333,0.447741935,4.64E-05,0.000123032,0.000169432,0.00052531,N/A,N/A,N/A,N/A,N/A,N/A,246.4293
2009,21.78205128,3687.54,N/A,3.91,0.001123947,0.007893077,0.091264103,0.002,0.445384615,2.99E-05,0.000119288,0.000149188,0.000531559,N/A,N/A,N/A,N/A,N/A,N/A,241.3625
