Year,Month,WaterYear,WaterYearMonth,CSMeanTempC,CSPrecipitationmm,Runoffmm,StrCamgL,StrDOCmgL,StrNH4NmgL,StrNO3NmgL,StrTDPmgL,StrSO4SmgL,depNH4Nkgha,depNO3Nkgha,depTotNkgha,depSO4Skgha,NAMGridTempC,NAMGridPrecipitationmm,FWACamgL,FWADOCmgL,FWANH4NmgL,FWANO3NmgL,FWATDPmgL,FWASO4SmgL
1981,6,1981,19816,13.23001029,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11.31000042,123.8700027,N/A,N/A,N/A,N/A,N/A,N/A
1981,7,1981,19817,17.47532107,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15.42500019,76.56999969,N/A,N/A,N/A,N/A,N/A,N/A
1981,8,1981,19818,18.12758065,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16.60499954,87.76000214,N/A,N/A,N/A,N/A,N/A,N/A
1981,9,1981,19819,10.78033333,119.3333333,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9.81000042,128.6499939,N/A,N/A,N/A,N/A,N/A,N/A
1981,10,1981,198110,3.5614881,38.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.444999933,69.05000305,N/A,N/A,N/A,N/A,N/A,N/A
1981,11,1981,198111,-0.634666667,61.65517241,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-2.599999905,64.70999908,N/A,N/A,N/A,N/A,N/A,N/A
1981,12,1981,198112,-11.09709677,153.35,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-12.44499969,133.0299988,N/A,N/A,N/A,N/A,N/A,N/A
1982,1,1981,19811,-12.69471495,26,12.52987013,N/A,N/A,N/A,N/A,N/A,N/A,0.056777778,0.198709677,0.255487455,0.186666667,-14.26500034,59.81999969,N/A,N/A,N/A,N/A,N/A,N/A
1982,2,1981,19812,-6.460357143,67.65,32.89558442,7,N/A,0.024148588,0.806,0.0016,2.55078,0.432444444,0.569032258,1.001476703,0.61,-8.529999733,90.30000305,0.08357021,N/A,0.0002883,0.002173774,1.91018E-05,0.030452746
1982,3,1981,19813,-2.349840625,107.8,157.4836364,5.675,N/A,0.004374181,0.881,0.001466667,2.52081,0.762222222,0.652580645,1.414802867,1.55,-3.839999914,64.84999847,0.042456359,N/A,3.27245E-05,0.001488945,1.09726E-05,0.018858928
1982,4,1981,19814,3.566972993,71.9,264.5298701,4.936142857,N/A,0.021652753,0.805571429,0.002857143,2.311971429,0.297888889,0.318387097,0.616275986,0.616666667,1.945000052,100.0999985,0.051298197,N/A,0.000225023,0.001891229,2.96925E-05,0.02402685
1982,5,1981,19815,10.03483871,79,45.18233766,6.17,N/A,0.012915483,0.387333333,0.000866667,2.4084225,0.401333333,0.381612903,0.782946237,0.866666667,7.880000114,53.63000107,0.214519868,N/A,0.000336786,0.002281678,2.25993E-05,0.083736544
1982,6,1982,19826,14.254,337.1,198.6077922,6.244,N/A,0.010047676,0.7664,0.0029,2.31102,1.390666667,1.149354839,2.540021505,3.216666667,12.32499981,159.9499969,0.061734463,N/A,9.93414E-05,0.001711773,2.86723E-05,0.022849068
1982,7,1982,19827,18.42822581,10.4,7.312207792,8.615,N/A,0.012967248,0.3825,0.00555,2.086245,0.135333333,0.110645161,0.245978495,0.366666667,15.97000027,27.30999947,0.925396419,N/A,0.001392901,0.009281748,0.000596164,0.224097928
1982,8,1982,19828,18.01564516,107,4.207792208,10,N/A,0.030243971,0.92,0.00245,2.15451,0.346111111,0.219032258,0.565143369,0.846666667,15.96500015,87.11000061,1.866666667,N/A,0.005645541,0.038795414,0.000457333,0.4021752
1982,9,1982,19829,10.99754527,55.35,0,N/A,N/A,N/A,N/A,N/A,N/A,0.255111111,0.225806452,0.480917563,0.576666667,9.520000458,60.18000031,N/A,N/A,N/A,N/A,N/A,N/A
