WaterYear,CSMeanTempC,CSPrecipitationmm,Runoffmm,StrCamgL,StrDOCmgL,StrNH4NmgL,StrNO3NmgL,StrTDPmgL,StrSO4SmgL,depNH4Nkgha,depNO3Nkgha,depTotNkgha,depSO4Skgha,NAMGridTempC,NAMGridPrecipitationmm,FWACamgL,FWADOCmgL,FWANH4NmgL,FWANO3NmgL,FWATDPmgL,FWASO4SmgL,iNDVI
1981,3.628322415,1230.7,642.2212987,6.365434783,N/A,0.015232609,0.624695652,0.003147826,2.487898551,N/A,N/A,N/A,N/A,2.580416729,1052.34,11.54925378,N/A,0.033896973,1.307262407,7.63E-03,4.879568033,N/A
1982,3.610323515,1330.85,680.9703896,6.203207547,N/A,0.010207547,0.555037736,0.002860465,2.188238994,4.171222222,4.638064516,8.809286738,10.32,1.676249971,1033.540014,8.418738156,N/A,0.013770225,0.877910306,2.94E-03,3.100959331,112.48385
1983,4.336166072,1059.3,511.2280519,6.1918,N/A,0.019938,0.85134,0.006978571,2.082866667,3.363888889,4.213548387,7.577437276,9.333333333,3.047500109,1210.989998,11.7964672,N/A,0.045664163,2.184601092,9.81E-03,3.918919464,114.15185
1984,4.258437865,1331.9,741.0202597,6.210512821,N/A,0.022220513,0.824692308,0.003951852,1.981965812,3.405111111,4.093870968,7.498982079,8.94,2.672083269,1028.370014,13.47471749,N/A,0.034401145,2.558454509,0.004976949,4.379700769,112.1293
1985,4.244937113,1125.7,585.7433766,6.204651163,N/A,0.018323256,0.814697674,0.005167857,1.793875969,4.498666667,5.6,9.82544086,11.31333333,1.81249996,1269.480003,13.41672277,N/A,0.048820675,2.560494691,9.33E-03,3.949059202,123.58595
1986,3.222511781,1233.9,436.2077922,6.861666667,N/A,0.021747619,0.863595238,0.004658333,1.801111111,3.535777778,4.078064516,7.613842294,8.436666667,2.62500006,1069.320019,7.724973334,N/A,0.022738545,1.104047471,3.94E-03,2.077439916,117.37555
1987,5.372874153,1235.64,570.2867532,6.600512821,2.541052632,0.024330233,0.755023256,0.00201875,2.166324786,3.885777778,3.883870968,7.769648746,7.49,4.086249967,968.1900101,14.44749623,8.683235377,0.058747135,2.092527582,0.004101019,5.124327162,115.3143
1988,4.573629852,1522.68,681.5314286,6.39,2.504655172,0.029256897,0.619362069,0.002161111,2.085916667,4.113666667,3.5,6.845222222,5.593333333,2.533333324,1047.469997,10.82423152,3.708212498,0.033384716,1.137868034,2.33E-03,3.586468672,115.4761
1989,3.970923905,1163.3,447.3350649,6.235333333,2.558666667,0.03388,0.743833333,0.002616667,2.030333333,4.553111111,5.367419355,9.920530466,7.573333333,1.415833312,1203.250004,12.92050423,5.456208459,0.061004735,1.907054482,3.85E-03,4.131625299,117.70745
1990,4.265085956,1254.03,498.1651948,6.24972973,1.905675676,0.0097,0.883459459,0.002128571,2.03990991,5.076555556,4.610967742,9.687523297,7.05,3.001250029,1003.640007,14.5777219,5.099741091,0.017778324,3.114382427,3.88E-03,4.715327901,130.62675
