WaterYear,CSMeanTempC,CSPrecipitationmm,Runoffmm,StrCamgL,StrDOCmgL,StrNH4NmgL,StrNO3NmgL,StrTDPmgL,StrSO4SmgL,depNH4Nkgha,depNO3Nkgha,depTotNkgha,depSO4Skgha,NAMGridTempC,NAMGridPrecipitationmm,FWACamgL,FWADOCmgL,FWANH4NmgL,FWANO3NmgL,FWATDPmgL,FWASO4SmgL,iNDVI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981,3.677190027,966.7846743,770.4214996,4.506692308,N/A,0.015171262,0.225383656,0.003023077,2.501598462,4.6816,5.088774194,9.770374194,9.192,1.879561629,1061.073217,0.007114704,N/A,2.39508E-05,0.000355813,4.77252E-06,0.003949267,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982,3.694046881,1230.7,534.7373257,4.604642857,N/A,0.008859289,0.142325513,0.002857143,2.485607143,4.171222222,4.638064516,8.809286738,10.32,1.509074574,1041.818221,0.014098648,N/A,2.71257E-05,0.000435777,8.74809E-06,0.007610514,112.48385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,4.397476507,1330.85,714.0474487,4.439423077,N/A,0.00785292,0.150305006,0.003067442,2.402915192,3.363888889,4.213548387,7.577437276,9.333333333,2.538661952,1222.671428,0.012603046,N/A,2.22936E-05,0.0004267,7.20096E-06,0.006821619,114.15185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984,4.258088937,1060.1,474.5709598,4.32804878,N/A,0.015364873,0.235966012,0.006663158,2.099280732,3.405111111,4.093870968,7.498982079,8.94,2.72824106,1036.20251,0.014576309,N/A,5.17469E-05,0.000794703,1.03993E-05,0.007070106,112.1293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985,4.330948438,1331.9,673.1438884,4.432903226,N/A,0.014537197,0.270055279,0.00262,2.073193548,4.498666667,5.6,10.09866667,11.31333333,2.565807628,1277.892862,0.007958198,N/A,2.69399E-05,0.000500458,3.03456E-06,0.003721914,123.58595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,3.29928489,1125.7,495.3328302,4.5225,N/A,0.016120627,0.300980729,0.003780952,1.816145,3.535777778,4.078064516,7.613842294,8.436666667,2.086495693,1078.234292,0.012813173,N/A,4.56731E-05,0.00085274,6.24879E-06,0.005145512,117.37555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,5.436201259,1233.9,401.3134701,4.950238095,N/A,0.017245294,0.293117084,0.003396,1.937663571,3.885777778,3.883870968,7.769648746,7.49,3.238775514,975.3817966,0.020195954,N/A,7.03573E-05,0.001195857,8.24701E-06,0.007905269,115.3143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988,4.618446787,1235.64,516.397703,4.813658537,N/A,0.015880002,0.226263117,0.0018625,2.258389756,4.113666667,3.5,7.613666667,5.593333333,2.713889931,1055.03786,0.014898672,N/A,4.91499E-05,0.000700303,2.2496E-06,0.006989903,115.4761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,4.065414096,1522.68,618.7345693,4.364358974,2.317142857,0.013247976,0.211331208,0.001978947,2.138457692,4.553111111,5.367419355,9.920530466,7.573333333,2.290456914,1212.266433,0.010723916,0.003065776,3.25524E-05,0.000519274,2.36895E-06,0.005254527,117.70745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,4.337633542,1163.3,385.8621165,4.497666667,2.752,0.021412783,0.226454677,0.002353846,2.023086,5.076555556,4.610967742,9.687523297,7.05,2.174245336,1013.61286,0.013631671,0.008340849,6.48985E-05,0.000686346,3.09145E-06,0.006131633,130.62675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
