WaterYear,CSMeanTempC,CSPrecipitationmm,Runoffmm,StrCamgL,StrDOCmgL,StrNH4NmgL,StrNO3NmgL,StrTDPmgL,StrSO4SmgL,depNH4Nkgha,depNO3Nkgha,depTotNkgha,depSO4Skgha,NAMGridTempC,NAMGridPrecipitationmm,FWACamgL,FWADOCmgL,FWANH4NmgL,FWANO3NmgL,FWATDPmgL,FWASO4SmgL,iNDVI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981,3.677190027,966.7846743,861.4134536,5.009416667,N/A,0.010598978,0.186089223,0.0021,2.46975,4.6816,5.088774194,9.770374194,9.192,1.726250033,1071.150005,0.025661435,N/A,5.42947E-05,0.000953268,1.07575E-05,0.012651639,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982,3.694046881,1230.7,663.9166096,5.7963125,N/A,0.014594625,0.14508747,0.00216875,2.415568125,4.171222222,4.638064516,8.809286738,10.32,1.358750006,1051.369999,0.064208489,N/A,0.000161672,0.001607202,2.40243E-05,0.026758388,112.48385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,4.397476507,1330.85,664.5762308,5.09952381,N/A,0.00927218,0.126521129,0.004087931,2.364511429,3.363888889,4.213548387,7.577437276,9.333333333,2.387916739,1236.150002,0.074069314,N/A,0.000134676,0.001837688,5.46638E-05,0.03434394,114.15185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984,4.258088937,1060.1,571.7825789,4.904603175,N/A,0.016429371,0.184761583,0.006378788,2.075277143,3.405111111,4.093870968,7.498982079,8.94,2.573750099,1045.240005,0.082799261,N/A,0.00027736,0.003119136,5.64071E-05,0.035034723,112.1293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985,4.330948438,1331.9,750.4919026,5.067368421,N/A,0.018864424,0.226784816,0.003259259,2.040764211,4.498666667,5.6,10.09866667,11.31333333,2.420416554,1287.600006,0.039312713,N/A,0.00014635,0.0017594,1.79659E-05,0.015832277,123.58595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,3.29928489,1125.7,607.7293417,4.880888889,N/A,0.014780765,0.250488457,0.003106667,1.827356,3.535777778,4.078064516,7.613842294,8.436666667,1.93749996,1088.519993,0.055375057,N/A,0.000167692,0.002841862,2.34973E-05,0.020731868,117.37555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,5.436201259,1233.9,553.691037,5.277045455,N/A,0.01716378,0.239043403,0.003407692,1.756650682,3.885777778,3.883870968,7.769648746,7.49,3.089999994,983.6800117,0.064252343,N/A,0.000208983,0.002910549,2.45177E-05,0.021388658,115.3143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988,4.618446787,1235.64,672.2443282,5.43125,2.273793103,0.015143339,0.191239857,0.002888235,2.1363615,4.113666667,3.5,7.613666667,5.593333333,2.562916726,1063.770008,0.049516004,0.015029161,0.00013806,0.001743509,1.1191E-05,0.019476932,115.4761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,4.065414096,1522.68,814.4920469,5.2135,2.011891892,0.013188545,0.181509,0.002265,2.16025425,4.553111111,5.367419355,9.920530466,7.573333333,2.140416767,1222.670006,0.039229744,0.014003367,9.92391E-05,0.001365791,8.52166E-06,0.016255149,117.70745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,4.337633542,1163.3,576.1597115,5.339736842,2.475263158,0.022327942,0.192803952,0.0029375,2.005361053,5.076555556,4.610967742,9.687523297,7.05,2.027916749,1025.119997,0.053960196,0.025013533,0.000225633,0.001948362,1.24988E-05,0.020264983,130.62675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
