region,site,catchment,type,Year,Month,WaterYear,WaterYearMonth,CSMeanTempC,CSPrecipitationmm,Runoffmm,StrCamgL,StrDOCmgL,StrNH4NmgL,StrNO3NmgL,StrTDPmgL,StrSO4SmgL,depNH4Nkgha,depNO3Nkgha,depTotNkgha,depSO4Skgha,NAMGridTempC,NAMGridPrecipitationmm,FWACamgL,FWADOCmgL,FWANH4NmgL,FWANO3NmgL,FWATDPmgL,FWASO4SmgL
NE,BBWM,EB,managed,1980,10,1981,198110,4.510870426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.735000134,123.3199997,NA,NA,NA,NA,NA,NA
NE,BBWM,EB,managed,1980,11,1981,198111,-0.04608998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.324999988,145.2599945,NA,NA,NA,NA,NA,NA
NE,BBWM,EB,managed,1980,12,1981,198112,-9.426722987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.4549999239999991,75.25,NA,NA,NA,NA,NA,NA
NE,BBWM,EB,managed,1981,1,1981,19811,-11.58383103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-12.30500031,56.54000092,NA,NA,NA,NA,NA,NA
NE,BBWM,EB,managed,1981,2,1981,19812,-1.416697636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.950000048,93.55000305,NA,NA,NA,NA,NA,NA
NE,BBWM,EB,managed,1981,3,1981,19813,-0.079254819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.370000005,57.15999985,NA,NA,NA,NA,NA,NA
NE,BBWM,EB,managed,1981,4,1981,19814,5.43140374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.364999771,118.3399963,NA,NA,NA,NA,NA,NA
NE,BBWM,EB,managed,1981,5,1981,19815,11.45040404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.01500034,96.19999695,NA,NA,NA,NA,NA,NA
NE,BBWM,EB,managed,1981,6,1981,19816,15.2978041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.075000760000002,110.8700027,NA,NA,NA,NA,NA,NA
NE,BBWM,EB,managed,1981,7,1981,19817,18.07222406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.99500084,129.4600067,NA,NA,NA,NA,NA,NA
